,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אבו סנאן,24.11.2024,13:04:01,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52192,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
1,אבו סנאן,22.11.2024,21:10:54,2024-11-22T21:11:00,1,ירי רקטות וטילים,1,51830,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
2,אבו סנאן,22.11.2024,16:47:09,2024-11-22T16:47:00,1,ירי רקטות וטילים,1,51785,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
3,אבו סנאן,18.11.2024,19:10:11,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51204,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
4,אבו סנאן,15.11.2024,06:54:25,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50880,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
5,אבו סנאן,11.11.2024,15:43:05,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50157,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
6,אבו סנאן,11.11.2024,15:42:20,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50134,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
7,אבו סנאן,08.11.2024,15:19:12,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49719,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
8,אבו סנאן,08.11.2024,06:45:49,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49620,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
9,אבו סנאן,07.11.2024,16:15:21,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49547,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
10,אבו סנאן,07.11.2024,16:14:41,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49534,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
11,אבו סנאן,06.11.2024,16:07:40,2024-11-06T16:08:00,1,ירי רקטות וטילים,1,49363,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
12,אבו סנאן,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49187,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
13,אבו סנאן,31.10.2024,16:19:58,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48336,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
14,אבו סנאן,30.10.2024,17:29:55,2024-10-30T17:30:00,2,חדירת כלי טיס עוין,6,48173,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
15,אבו סנאן,27.10.2024,08:07:07,2024-10-27T08:07:00,2,חדירת כלי טיס עוין,6,47348,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
16,אבו סנאן,22.10.2024,13:27:41,2024-10-22T13:28:00,1,ירי רקטות וטילים,1,46356,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
17,אבו סנאן,22.10.2024,13:27:00,2024-10-22T13:27:00,1,ירי רקטות וטילים,1,46343,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
18,אבו סנאן,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45947,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
19,אבו סנאן,20.10.2024,15:42:34,2024-10-20T15:43:00,1,ירי רקטות וטילים,1,45763,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
20,אבו סנאן,20.10.2024,15:41:47,2024-10-20T15:42:00,1,ירי רקטות וטילים,1,45742,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
21,אבו סנאן,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43954,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
22,אבו סנאן,11.10.2024,17:23:16,2024-10-11T17:23:00,1,ירי רקטות וטילים,1,43687,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
23,אבו סנאן,11.10.2024,17:22:18,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43656,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
24,אבו סנאן,06.10.2024,13:49:33,2024-10-06T13:50:00,1,ירי רקטות וטילים,1,42350,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
25,אבו סנאן,02.10.2024,13:09:03,2024-10-02T13:09:00,2,חדירת כלי טיס עוין,6,41602,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
26,אבו סנאן,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39571,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
27,אבו סנאן,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39266,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
28,אבו סנאן,28.09.2024,10:42:52,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38765,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
29,אבו סנאן,24.09.2024,15:04:25,2024-09-24T15:04:00,1,ירי רקטות וטילים,1,37585,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
30,אבו סנאן,24.09.2024,13:58:06,2024-09-24T13:58:00,1,ירי רקטות וטילים,1,37538,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
31,אבו סנאן,23.09.2024,17:02:55,2024-09-23T17:03:00,1,ירי רקטות וטילים,1,37104,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
32,אבו סנאן,22.09.2024,06:31:40,2024-09-22T06:32:00,1,ירי רקטות וטילים,1,36807,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
33,אבו סנאן,22.09.2024,06:30:56,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36774,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
34,אבו סנאן,24.07.2024,09:54:51,2024-07-24T09:55:00,1,ירי רקטות וטילים,1,34381,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
35,אבו סנאן,28.06.2024,19:49:12,2024-06-28T19:49:00,2,חדירת כלי טיס עוין,6,33456,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
36,אבו סנאן,03.05.2024,12:52:28,2024-05-03T12:52:00,1,ירי רקטות וטילים,1,30397,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
37,אבו סנאן,27.02.2024,16:51:14,2024-02-27T16:51:00,1,ירי רקטות וטילים,1,28385,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
38,אבו סנאן,11.10.2023,18:35:13,2023-10-11T18:35:00,2,חדירת כלי טיס עוין,6,21665,אבו סנאן,Abu Snan,ابو سنان,Абу Снан
