,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אבן מנחם,24.11.2024,18:09:46,2024-11-24T18:10:00,1,ירי רקטות וטילים,1,52348,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
1,אבן מנחם,24.11.2024,15:44:27,2024-11-24T15:44:00,1,ירי רקטות וטילים,1,52303,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
2,אבן מנחם,24.11.2024,14:55:28,2024-11-24T14:55:00,1,ירי רקטות וטילים,1,52271,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
3,אבן מנחם,24.11.2024,14:37:11,2024-11-24T14:37:00,1,ירי רקטות וטילים,1,52262,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
4,אבן מנחם,24.11.2024,08:44:34,2024-11-24T08:45:00,1,ירי רקטות וטילים,1,52052,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
5,אבן מנחם,24.11.2024,08:43:58,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52041,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
6,אבן מנחם,24.11.2024,06:25:39,2024-11-24T06:26:00,2,חדירת כלי טיס עוין,6,51951,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
7,אבן מנחם,22.11.2024,15:45:24,2024-11-22T15:45:00,1,ירי רקטות וטילים,1,51747,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
8,אבן מנחם,19.11.2024,11:24:42,2024-11-19T11:25:00,1,ירי רקטות וטילים,1,51478,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
9,אבן מנחם,19.11.2024,09:50:29,2024-11-19T09:50:00,1,ירי רקטות וטילים,1,51402,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
10,אבן מנחם,18.11.2024,15:10:09,2024-11-18T15:10:00,1,ירי רקטות וטילים,1,51174,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
11,אבן מנחם,18.11.2024,15:09:34,2024-11-18T15:10:00,1,ירי רקטות וטילים,1,51173,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
12,אבן מנחם,18.11.2024,11:48:07,2024-11-18T11:48:00,1,ירי רקטות וטילים,1,51155,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
13,אבן מנחם,13.11.2024,12:15:01,2024-11-13T12:15:00,1,ירי רקטות וטילים,1,50488,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
14,אבן מנחם,13.11.2024,12:14:19,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50479,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
15,אבן מנחם,12.11.2024,15:06:51,2024-11-12T15:07:00,1,ירי רקטות וטילים,1,50334,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
16,אבן מנחם,11.11.2024,13:35:36,2024-11-11T13:36:00,1,ירי רקטות וטילים,1,50106,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
17,אבן מנחם,11.11.2024,12:08:03,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50056,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
18,אבן מנחם,11.11.2024,11:54:26,2024-11-11T11:54:00,1,ירי רקטות וטילים,1,50000,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
19,אבן מנחם,11.11.2024,10:29:58,2024-11-11T10:30:00,1,ירי רקטות וטילים,1,49990,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
20,אבן מנחם,10.11.2024,12:39:00,2024-11-10T12:39:00,1,ירי רקטות וטילים,1,49912,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
21,אבן מנחם,09.11.2024,14:29:00,2024-11-09T14:29:00,1,ירי רקטות וטילים,1,49863,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
22,אבן מנחם,07.11.2024,16:14:39,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49526,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
23,אבן מנחם,01.11.2024,13:36:23,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48423,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
24,אבן מנחם,01.11.2024,08:35:53,2024-11-01T08:36:00,1,ירי רקטות וטילים,1,48402,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
25,אבן מנחם,01.11.2024,08:35:15,2024-11-01T08:35:00,1,ירי רקטות וטילים,1,48399,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
26,אבן מנחם,31.10.2024,15:18:51,2024-10-31T15:19:00,1,ירי רקטות וטילים,1,48324,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
27,אבן מנחם,31.10.2024,12:21:50,2024-10-31T12:22:00,1,ירי רקטות וטילים,1,48276,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
28,אבן מנחם,29.10.2024,10:38:38,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47794,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
29,אבן מנחם,29.10.2024,10:38:36,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47801,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
30,אבן מנחם,28.10.2024,17:10:03,2024-10-28T17:10:00,1,ירי רקטות וטילים,1,47546,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
31,אבן מנחם,28.10.2024,15:39:41,2024-10-28T15:40:00,1,ירי רקטות וטילים,1,47532,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
32,אבן מנחם,25.10.2024,14:47:06,2024-10-25T14:47:00,1,ירי רקטות וטילים,1,47118,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
33,אבן מנחם,25.10.2024,12:26:46,2024-10-25T12:27:00,1,ירי רקטות וטילים,1,47117,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
34,אבן מנחם,21.10.2024,16:10:24,2024-10-21T16:10:00,1,ירי רקטות וטילים,1,46162,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
35,אבן מנחם,20.10.2024,09:32:10,2024-10-20T09:32:00,1,ירי רקטות וטילים,1,45550,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
36,אבן מנחם,19.10.2024,21:26:04,2024-10-19T21:26:00,1,ירי רקטות וטילים,1,45516,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
37,אבן מנחם,19.10.2024,12:27:21,2024-10-19T12:27:00,1,ירי רקטות וטילים,1,45480,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
38,אבן מנחם,19.10.2024,12:20:47,2024-10-19T12:21:00,1,ירי רקטות וטילים,1,45439,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
39,אבן מנחם,17.10.2024,07:29:33,2024-10-17T07:30:00,1,ירי רקטות וטילים,1,45110,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
40,אבן מנחם,14.10.2024,15:51:12,2024-10-14T15:51:00,1,ירי רקטות וטילים,1,44328,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
41,אבן מנחם,13.10.2024,19:01:13,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44123,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
42,אבן מנחם,13.10.2024,15:23:14,2024-10-13T15:23:00,1,ירי רקטות וטילים,1,44069,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
43,אבן מנחם,13.10.2024,14:08:59,2024-10-13T14:09:00,1,ירי רקטות וטילים,1,44052,אבן מנחם,Even Menachem,إيفين مناحيم,Эвен Менахем
