,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אדמית,24.11.2024,11:18:02,2024-11-24T11:18:00,1,ירי רקטות וטילים,1,52085,אדמית,Idmit,أدميت,Идмит
1,אדמית,24.11.2024,07:16:40,2024-11-24T07:17:00,1,ירי רקטות וטילים,1,51974,אדמית,Idmit,أدميت,Идмит
2,אדמית,23.11.2024,11:06:25,2024-11-23T11:06:00,1,ירי רקטות וטילים,1,51886,אדמית,Idmit,أدميت,Идмит
3,אדמית,16.11.2024,14:45:10,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51030,אדמית,Idmit,أدميت,Идмит
4,אדמית,16.11.2024,09:59:13,2024-11-16T09:59:00,1,ירי רקטות וטילים,1,50971,אדמית,Idmit,أدميت,Идмит
5,אדמית,12.11.2024,15:00:50,2024-11-12T15:01:00,1,ירי רקטות וטילים,1,50327,אדמית,Idmit,أدميت,Идмит
6,אדמית,09.11.2024,13:57:03,2024-11-09T13:57:00,1,ירי רקטות וטילים,1,49845,אדמית,Idmit,أدميت,Идмит
7,אדמית,08.11.2024,06:43:51,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49579,אדמית,Idmit,أدميت,Идмит
8,אדמית,03.11.2024,09:00:36,2024-11-03T09:01:00,1,ירי רקטות וטילים,1,48837,אדמית,Idmit,أدميت,Идмит
9,אדמית,30.10.2024,17:24:43,2024-10-30T17:25:00,2,חדירת כלי טיס עוין,6,48143,אדמית,Idmit,أدميت,Идмит
10,אדמית,30.10.2024,17:24:06,2024-10-30T17:24:00,1,ירי רקטות וטילים,1,48138,אדמית,Idmit,أدميت,Идмит
11,אדמית,26.10.2024,19:05:07,2024-10-26T19:05:00,2,חדירת כלי טיס עוין,6,47298,אדמית,Idmit,أدميت,Идмит
12,אדמית,24.10.2024,02:46:55,2024-10-24T02:47:00,1,ירי רקטות וטילים,1,46890,אדמית,Idmit,أدميت,Идмит
13,אדמית,23.10.2024,23:06:26,2024-10-23T23:06:00,2,חדירת כלי טיס עוין,6,46884,אדמית,Idmit,أدميت,Идмит
14,אדמית,23.10.2024,19:14:49,2024-10-23T19:15:00,1,ירי רקטות וטילים,1,46812,אדמית,Idmit,أدميت,Идмит
15,אדמית,20.10.2024,11:11:05,2024-10-20T11:11:00,1,ירי רקטות וטילים,1,45627,אדמית,Idmit,أدميت,Идмит
16,אדמית,20.10.2024,11:10:13,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45599,אדמית,Idmit,أدميت,Идмит
17,אדמית,18.10.2024,09:07:32,2024-10-18T09:08:00,1,ירי רקטות וטילים,1,45245,אדמית,Idmit,أدميت,Идмит
18,אדמית,17.10.2024,07:29:33,2024-10-17T07:30:00,1,ירי רקטות וטילים,1,45111,אדמית,Idmit,أدميت,Идмит
19,אדמית,16.10.2024,18:41:36,2024-10-16T18:42:00,2,חדירת כלי טיס עוין,6,44872,אדמית,Idmit,أدميت,Идмит
20,אדמית,16.10.2024,18:40:36,2024-10-16T18:41:00,2,חדירת כלי טיס עוין,6,44868,אדמית,Idmit,أدميت,Идмит
21,אדמית,13.10.2024,19:02:53,2024-10-13T19:03:00,1,ירי רקטות וטילים,1,44144,אדמית,Idmit,أدميت,Идмит
22,אדמית,13.10.2024,19:01:13,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44124,אדמית,Idmit,أدميت,Идмит
23,אדמית,13.10.2024,07:05:40,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43904,אדמית,Idmit,أدميت,Идмит
24,אדמית,12.10.2024,01:10:17,2024-10-12T01:10:00,1,ירי רקטות וטילים,1,43731,אדמית,Idmit,أدميت,Идмит
25,אדמית,11.10.2024,17:22:08,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43639,אדמית,Idmit,أدميت,Идмит
26,אדמית,11.10.2024,14:22:02,2024-10-11T14:22:00,1,ירי רקטות וטילים,1,43518,אדמית,Idmit,أدميت,Идмит
27,אדמית,08.10.2024,00:09:06,2024-10-08T00:09:00,1,ירי רקטות וטילים,1,42979,אדמית,Idmit,أدميت,Идмит
28,אדמית,07.10.2024,12:38:34,2024-10-07T12:39:00,1,ירי רקטות וטילים,1,42549,אדמית,Idmit,أدميت,Идмит
29,אדמית,07.10.2024,02:35:51,2024-10-07T02:36:00,1,ירי רקטות וטילים,1,42458,אדמית,Idmit,أدميت,Идмит
30,אדמית,05.10.2024,12:32:13,2024-10-05T12:32:00,2,חדירת כלי טיס עוין,6,42140,אדמית,Idmit,أدميت,Идмит
31,אדמית,04.10.2024,05:45:31,2024-10-04T05:46:00,1,ירי רקטות וטילים,1,41861,אדמית,Idmit,أدميت,Идмит
32,אדמית,02.10.2024,09:53:11,2024-10-02T09:53:00,1,ירי רקטות וטילים,1,41540,אדמית,Idmit,أدميت,Идмит
33,אדמית,01.10.2024,23:44:07,2024-10-01T23:44:00,1,ירי רקטות וטילים,1,41485,אדמית,Idmit,أدميت,Идмит
34,אדמית,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39527,אדמית,Idmit,أدميت,Идмит
35,אדמית,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38773,אדמית,Idmit,أدميت,Идмит
36,אדמית,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38278,אדמית,Idmit,أدميت,Идмит
37,אדמית,24.09.2024,13:57:31,2024-09-24T13:58:00,1,ירי רקטות וטילים,1,37520,אדמית,Idmit,أدميت,Идмит
38,אדמית,24.09.2024,13:31:46,2024-09-24T13:32:00,2,חדירת כלי טיס עוין,6,37512,אדמית,Idmit,أدميت,Идмит
39,אדמית,21.09.2024,14:57:49,2024-09-21T14:58:00,1,ירי רקטות וטילים,1,36529,אדמית,Idmit,أدميت,Идмит
40,אדמית,19.09.2024,16:40:09,2024-09-19T16:40:00,1,ירי רקטות וטילים,1,36403,אדמית,Idmit,أدميت,Идмит
41,אדמית,19.09.2024,16:30:39,2024-09-19T16:31:00,1,ירי רקטות וטילים,1,36393,אדמית,Idmit,أدميت,Идмит
42,אדמית,12.09.2024,12:58:30,2024-09-12T12:59:00,1,ירי רקטות וטילים,1,36015,אדמית,Idmit,أدميت,Идмит
43,אדמית,10.09.2024,16:22:12,2024-09-10T16:22:00,1,ירי רקטות וטילים,1,35974,אדמית,Idmit,أدميت,Идмит
44,אדמית,10.09.2024,16:21:33,2024-09-10T16:22:00,1,ירי רקטות וטילים,1,35969,אדמית,Idmit,أدميت,Идмит
45,אדמית,09.09.2024,13:27:49,2024-09-09T13:28:00,1,ירי רקטות וטילים,1,35950,אדמית,Idmit,أدميت,Идмит
46,אדמית,05.09.2024,13:40:09,2024-09-05T13:40:00,2,חדירת כלי טיס עוין,6,35808,אדמית,Idmit,أدميت,Идмит
47,אדמית,02.09.2024,21:58:48,2024-09-02T21:59:00,1,ירי רקטות וטילים,1,35724,אדמית,Idmit,أدميت,Идмит
48,אדמית,30.08.2024,23:00:42,2024-08-30T23:01:00,1,ירי רקטות וטילים,1,35648,אדמית,Idmit,أدميت,Идмит
49,אדמית,26.08.2024,19:02:11,2024-08-26T19:02:00,2,חדירת כלי טיס עוין,6,35584,אדמית,Idmit,أدميت,Идмит
50,אדמית,26.08.2024,14:16:41,2024-08-26T14:17:00,1,ירי רקטות וטילים,1,35557,אדמית,Idmit,أدميت,Идмит
51,אדמית,25.08.2024,05:36:29,2024-08-25T05:36:00,2,חדירת כלי טיס עוין,6,35410,אדמית,Idmit,أدميت,Идмит
52,אדמית,25.08.2024,05:35:27,2024-08-25T05:35:00,2,חדירת כלי טיס עוין,6,35406,אדמית,Idmit,أدميت,Идмит
53,אדמית,25.08.2024,05:34:25,2024-08-25T05:34:00,1,ירי רקטות וטילים,1,35396,אדמית,Idmit,أدميت,Идмит
54,אדמית,25.08.2024,05:31:40,2024-08-25T05:32:00,2,חדירת כלי טיס עוין,6,35383,אדמית,Idmit,أدميت,Идмит
