,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אור הגנוז,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52295,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
1,אור הגנוז,24.11.2024,14:24:13,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52245,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
2,אור הגנוז,24.11.2024,11:46:29,2024-11-24T11:46:00,1,ירי רקטות וטילים,1,52092,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
3,אור הגנוז,21.11.2024,14:52:15,2024-11-21T14:52:00,1,ירי רקטות וטילים,1,51683,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
4,אור הגנוז,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51453,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
5,אור הגנוז,14.11.2024,06:58:38,2024-11-14T06:59:00,1,ירי רקטות וטילים,1,50720,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
6,אור הגנוז,09.11.2024,08:06:47,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49811,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
7,אור הגנוז,06.11.2024,14:55:23,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49332,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
8,אור הגנוז,04.11.2024,23:20:17,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49014,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
9,אור הגנוז,30.10.2024,15:01:00,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48106,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
10,אור הגנוז,30.10.2024,15:00:13,2024-10-30T15:00:00,1,ירי רקטות וטילים,1,48096,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
11,אור הגנוז,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48046,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
12,אור הגנוז,28.10.2024,20:06:11,2024-10-28T20:06:00,1,ירי רקטות וטילים,1,47558,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
13,אור הגנוז,20.10.2024,16:25:57,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45779,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
14,אור הגנוז,20.10.2024,12:30:59,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45688,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
15,אור הגנוז,18.10.2024,22:31:03,2024-10-18T22:31:00,1,ירי רקטות וטילים,1,45293,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
16,אור הגנוז,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44988,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
17,אור הגנוז,16.10.2024,21:15:38,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44896,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
18,אור הגנוז,16.10.2024,02:32:07,2024-10-16T02:32:00,1,ירי רקטות וטילים,1,44808,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
19,אור הגנוז,12.10.2024,10:56:20,2024-10-12T10:56:00,1,ירי רקטות וטילים,1,43758,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
20,אור הגנוז,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43575,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
21,אור הגנוז,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43320,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
22,אור הגנוז,09.10.2024,16:44:13,2024-10-09T16:44:00,1,ירי רקטות וטילים,1,43284,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
23,אור הגנוז,08.10.2024,07:57:50,2024-10-08T07:58:00,1,ירי רקטות וטילים,1,43005,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
24,אור הגנוז,08.10.2024,04:50:45,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42993,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
25,אור הגנוז,06.10.2024,15:39:17,2024-10-06T15:39:00,1,ירי רקטות וטילים,1,42368,אור הגנוז,Or HaGanuz,أور هغنوز,Ор ха-Гануз
