,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אורנית,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52393,אורנית,Oranit,أورنيت,Оранит
1,אורנית,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51245,אורנית,Oranit,أورنيت,Оранит
2,אורנית,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49287,אורנית,Oranit,أورنيت,Оранит
3,אורנית,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46858,אורנית,Oranit,أورنيت,Оранит
4,אורנית,14.10.2024,17:33:56,2024-10-14T17:34:00,1,ירי רקטות וטילים,1,44465,אורנית,Oranit,أورنيت,Оранит
5,אורנית,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42911,אורנית,Oranit,أورنيت,Оранит
6,אורנית,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42802,אורנית,Oranit,أورنيت,Оранит
7,אורנית,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39606,אורנית,Oranit,أورنيت,Оранит
8,אורנית,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39418,אורנית,Oranit,أورنيت,Оранит
9,אורנית,07.11.2023,21:00:04,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24696,אורנית,Oranit,أورنيت,Оранит
10,אורנית,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23826,אורנית,Oranit,أورنيت,Оранит
11,אורנית,14.10.2023,21:01:12,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22267,אורנית,Oranit,أورنيت,Оранит
