,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אושה,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52373,אושה,Usha,أوشة,Уша
1,אושה,23.11.2024,04:19:09,2024-11-23T04:19:00,1,ירי רקטות וטילים,1,51877,אושה,Usha,أوشة,Уша
2,אושה,20.11.2024,06:41:27,2024-11-20T06:41:00,2,חדירת כלי טיס עוין,6,51566,אושה,Usha,أوشة,Уша
3,אושה,11.11.2024,15:42:07,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50128,אושה,Usha,أوشة,Уша
4,אושה,08.11.2024,15:19:37,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49726,אושה,Usha,أوشة,Уша
5,אושה,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49020,אושה,Usha,أوشة,Уша
6,אושה,03.11.2024,17:36:36,2024-11-03T17:37:00,2,חדירת כלי טיס עוין,6,48918,אושה,Usha,أوشة,Уша
7,אושה,02.11.2024,11:05:17,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48605,אושה,Usha,أوشة,Уша
8,אושה,02.11.2024,08:23:41,2024-11-02T08:24:00,2,חדירת כלי טיס עוין,6,48569,אושה,Usha,أوشة,Уша
9,אושה,31.10.2024,21:23:44,2024-10-31T21:24:00,2,חדירת כלי טיס עוין,6,48361,אושה,Usha,أوشة,Уша
10,אושה,31.10.2024,15:12:31,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48312,אושה,Usha,أوشة,Уша
11,אושה,22.10.2024,04:52:55,2024-10-22T04:53:00,1,ירי רקטות וטילים,1,46240,אושה,Usha,أوشة,Уша
12,אושה,21.10.2024,12:27:35,2024-10-21T12:28:00,1,ירי רקטות וטילים,1,45894,אושה,Usha,أوشة,Уша
13,אושה,19.10.2024,10:22:42,2024-10-19T10:23:00,1,ירי רקטות וטילים,1,45384,אושה,Usha,أوشة,Уша
14,אושה,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45122,אושה,Usha,أوشة,Уша
15,אושה,17.10.2024,07:28:17,2024-10-17T07:28:00,1,ירי רקטות וטילים,1,45074,אושה,Usha,أوشة,Уша
16,אושה,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44686,אושה,Usha,أوشة,Уша
17,אושה,11.10.2024,17:22:02,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43631,אושה,Usha,أوشة,Уша
18,אושה,09.10.2024,13:11:53,2024-10-09T13:12:00,1,ירי רקטות וטילים,1,43203,אושה,Usha,أوشة,Уша
19,אושה,08.10.2024,12:44:33,2024-10-08T12:45:00,1,ירי רקטות וטילים,1,43073,אושה,Usha,أوشة,Уша
20,אושה,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42141,אושה,Usha,أوشة,Уша
21,אושה,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39284,אושה,Usha,أوشة,Уша
22,אושה,23.09.2024,17:41:37,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37179,אושה,Usha,أوشة,Уша
