,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אזור תעשייה אפק ולב הארץ,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52416,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
1,אזור תעשייה אפק ולב הארץ,24.11.2024,12:53:42,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52152,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
2,אזור תעשייה אפק ולב הארץ,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51324,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
3,אזור תעשייה אפק ולב הארץ,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49254,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
4,אזור תעשייה אפק ולב הארץ,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46869,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
5,אזור תעשייה אפק ולב הארץ,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42935,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
6,אזור תעשייה אפק ולב הארץ,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42844,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
7,אזור תעשייה אפק ולב הארץ,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39648,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
8,אזור תעשייה אפק ולב הארץ,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39436,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
9,אזור תעשייה אפק ולב הארץ,07.11.2023,21:00:04,2023-11-07T21:00:00,1,ירי רקטות וטילים,1,24701,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
10,אזור תעשייה אפק ולב הארץ,05.11.2023,20:01:52,2023-11-05T20:02:00,1,ירי רקטות וטילים,1,24569,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
11,אזור תעשייה אפק ולב הארץ,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23856,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
12,אזור תעשייה אפק ולב הארץ,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23486,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
13,אזור תעשייה אפק ולב הארץ,14.10.2023,21:01:12,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22273,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
14,אזור תעשייה אפק ולב הארץ,07.10.2023,21:20:58,2023-10-07T21:21:00,1,ירי רקטות וטילים,1,20514,אזור תעשייה אפק ולב הארץ,"Afek and Lev Ha""aretz Industrial Zone",المنطقة الصناعية أفيك وليف,Промзона Афек и Лев ха-Арец
