,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אזור תעשייה טמרה,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52384,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
1,אזור תעשייה טמרה,24.11.2024,18:09:11,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52328,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
2,אזור תעשייה טמרה,22.11.2024,15:35:35,2024-11-22T15:36:00,1,ירי רקטות וטילים,1,51741,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
3,אזור תעשייה טמרה,18.11.2024,18:27:27,2024-11-18T18:27:00,1,ירי רקטות וטילים,1,51198,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
4,אזור תעשייה טמרה,16.11.2024,10:46:58,2024-11-16T10:47:00,1,ירי רקטות וטילים,1,50985,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
5,אזור תעשייה טמרה,11.11.2024,15:42:44,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50150,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
6,אזור תעשייה טמרה,08.11.2024,15:19:36,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49729,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
7,אזור תעשייה טמרה,06.11.2024,18:02:02,2024-11-06T18:02:00,1,ירי רקטות וטילים,1,49413,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
8,אזור תעשייה טמרה,02.11.2024,11:05:11,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48598,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
9,אזור תעשייה טמרה,02.11.2024,09:16:32,2024-11-02T09:17:00,1,ירי רקטות וטילים,1,48578,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
10,אזור תעשייה טמרה,02.11.2024,07:15:16,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48509,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
11,אזור תעשייה טמרה,31.10.2024,15:12:40,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48316,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
12,אזור תעשייה טמרה,23.10.2024,11:03:21,2024-10-23T11:03:00,1,ירי רקטות וטילים,1,46575,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
13,אזור תעשייה טמרה,22.10.2024,04:52:55,2024-10-22T04:53:00,1,ירי רקטות וטילים,1,46246,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
14,אזור תעשייה טמרה,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45979,אזור תעשייה טמרה,Tamra Industiral Park,المنطقة الصناعية طمرة,Промзона Тамра
