,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אזור תעשייה כפר יונה,24.11.2024,18:47:10,2024-11-24T18:47:00,1,ירי רקטות וטילים,1,52423,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
1,אזור תעשייה כפר יונה,24.11.2024,07:28:29,2024-11-24T07:28:00,1,ירי רקטות וטילים,1,52020,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
2,אזור תעשייה כפר יונה,19.11.2024,08:52:56,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51355,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
3,אזור תעשייה כפר יונה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51316,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
4,אזור תעשייה כפר יונה,13.11.2024,17:47:08,2024-11-13T17:47:00,1,ירי רקטות וטילים,1,50697,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
5,אזור תעשייה כפר יונה,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49165,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
6,אזור תעשייה כפר יונה,30.10.2024,06:17:24,2024-10-30T06:17:00,1,ירי רקטות וטילים,1,48016,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
7,אזור תעשייה כפר יונה,14.10.2024,17:35:48,2024-10-14T17:36:00,1,ירי רקטות וטילים,1,44526,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
8,אזור תעשייה כפר יונה,14.10.2024,11:19:27,2024-10-14T11:19:00,1,ירי רקטות וטילים,1,44210,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
9,אזור תעשייה כפר יונה,25.09.2024,06:32:24,2024-09-25T06:32:00,1,ירי רקטות וטילים,1,37766,אזור תעשייה כפר יונה,Kfar Yona Industrial Zone,المنطقة الصناعية كفر يونه,Промзона Кфар Йона
