,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אזור תעשייה קריית ביאליק,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52383,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
1,אזור תעשייה קריית ביאליק,24.11.2024,15:31:45,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52279,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
2,אזור תעשייה קריית ביאליק,23.11.2024,04:19:39,2024-11-23T04:20:00,1,ירי רקטות וטילים,1,51882,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
3,אזור תעשייה קריית ביאליק,22.11.2024,02:09:54,2024-11-22T02:10:00,1,ירי רקטות וטילים,1,51712,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
4,אזור תעשייה קריית ביאליק,20.11.2024,06:38:04,2024-11-20T06:38:00,2,חדירת כלי טיס עוין,6,51560,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
5,אזור תעשייה קריית ביאליק,17.11.2024,10:11:30,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51077,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
6,אזור תעשייה קריית ביאליק,16.11.2024,14:44:38,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51008,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
7,אזור תעשייה קריית ביאליק,16.11.2024,10:46:29,2024-11-16T10:46:00,1,ירי רקטות וטילים,1,50984,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
8,אזור תעשייה קריית ביאליק,15.11.2024,09:02:14,2024-11-15T09:02:00,1,ירי רקטות וטילים,1,50904,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
9,אזור תעשייה קריית ביאליק,15.11.2024,06:53:36,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50873,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
10,אזור תעשייה קריית ביאליק,14.11.2024,18:50:56,2024-11-14T18:51:00,2,חדירת כלי טיס עוין,6,50796,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
11,אזור תעשייה קריית ביאליק,13.11.2024,14:58:14,2024-11-13T14:58:00,2,חדירת כלי טיס עוין,6,50534,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
12,אזור תעשייה קריית ביאליק,11.11.2024,16:02:20,2024-11-11T16:02:00,1,ירי רקטות וטילים,1,50191,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
13,אזור תעשייה קריית ביאליק,11.11.2024,15:45:00,2024-11-11T15:45:00,1,ירי רקטות וטילים,1,50175,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
14,אזור תעשייה קריית ביאליק,11.11.2024,15:42:36,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50148,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
15,אזור תעשייה קריית ביאליק,09.11.2024,13:58:11,2024-11-09T13:58:00,1,ירי רקטות וטילים,1,49855,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
16,אזור תעשייה קריית ביאליק,08.11.2024,07:45:04,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49655,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
17,אזור תעשייה קריית ביאליק,07.11.2024,16:14:56,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49540,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
18,אזור תעשייה קריית ביאליק,07.11.2024,13:46:41,2024-11-07T13:47:00,1,ירי רקטות וטילים,1,49458,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
19,אזור תעשייה קריית ביאליק,06.11.2024,18:02:00,2024-11-06T18:02:00,1,ירי רקטות וטילים,1,49417,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
20,אזור תעשייה קריית ביאליק,03.11.2024,17:30:53,2024-11-03T17:31:00,2,חדירת כלי טיס עוין,6,48909,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
21,אזור תעשייה קריית ביאליק,03.11.2024,08:05:15,2024-11-03T08:05:00,1,ירי רקטות וטילים,1,48812,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
22,אזור תעשייה קריית ביאליק,02.11.2024,16:25:44,2024-11-02T16:26:00,2,חדירת כלי טיס עוין,6,48770,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
23,אזור תעשייה קריית ביאליק,02.11.2024,11:05:38,2024-11-02T11:06:00,1,ירי רקטות וטילים,1,48622,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
24,אזור תעשייה קריית ביאליק,02.11.2024,08:18:17,2024-11-02T08:18:00,2,חדירת כלי טיס עוין,6,48551,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
25,אזור תעשייה קריית ביאליק,02.11.2024,07:15:12,2024-11-02T07:15:00,1,ירי רקטות וטילים,1,48500,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
26,אזור תעשייה קריית ביאליק,31.10.2024,15:13:05,2024-10-31T15:13:00,1,ירי רקטות וטילים,1,48323,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
27,אזור תעשייה קריית ביאליק,30.10.2024,17:31:28,2024-10-30T17:31:00,2,חדירת כלי טיס עוין,6,48178,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
28,אזור תעשייה קריית ביאליק,30.10.2024,13:22:54,2024-10-30T13:23:00,1,ירי רקטות וטילים,1,48081,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
29,אזור תעשייה קריית ביאליק,28.10.2024,15:13:55,2024-10-28T15:14:00,1,ירי רקטות וטילים,1,47524,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
30,אזור תעשייה קריית ביאליק,25.10.2024,09:02:06,2024-10-25T09:02:00,1,ירי רקטות וטילים,1,47100,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
31,אזור תעשייה קריית ביאליק,23.10.2024,13:42:05,2024-10-23T13:42:00,1,ירי רקטות וטילים,1,46629,אזור תעשייה קריית ביאליק,Kiryat Bialik Industrial Zone,المنطقة الصناعية كريات بياليك,Промзона Кирьят Бялик
