,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אזור תעשייה רמת דלתון,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52296,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
1,אזור תעשייה רמת דלתון,24.11.2024,12:11:15,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52103,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
2,אזור תעשייה רמת דלתון,23.11.2024,15:31:53,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51904,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
3,אזור תעשייה רמת דלתון,22.11.2024,14:05:35,2024-11-22T14:06:00,1,ירי רקטות וטילים,1,51723,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
4,אזור תעשייה רמת דלתון,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51454,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
5,אזור תעשייה רמת דלתון,18.11.2024,15:11:13,2024-11-18T15:11:00,1,ירי רקטות וטילים,1,51178,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
6,אזור תעשייה רמת דלתון,13.11.2024,06:20:11,2024-11-13T06:20:00,1,ירי רקטות וטילים,1,50458,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
7,אזור תעשייה רמת דלתון,11.11.2024,15:51:52,2024-11-11T15:52:00,2,חדירת כלי טיס עוין,6,50178,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
8,אזור תעשייה רמת דלתון,09.11.2024,08:06:47,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49812,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
9,אזור תעשייה רמת דלתון,06.11.2024,15:09:22,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49348,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
10,אזור תעשייה רמת דלתון,05.11.2024,10:35:15,2024-11-05T10:35:00,1,ירי רקטות וטילים,1,49081,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
11,אזור תעשייה רמת דלתון,04.11.2024,23:20:17,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49015,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
12,אזור תעשייה רמת דלתון,02.11.2024,13:38:39,2024-11-02T13:39:00,1,ירי רקטות וטילים,1,48670,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
13,אזור תעשייה רמת דלתון,31.10.2024,07:41:26,2024-10-31T07:41:00,1,ירי רקטות וטילים,1,48262,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
14,אזור תעשייה רמת דלתון,30.10.2024,15:18:46,2024-10-30T15:19:00,1,ירי רקטות וטילים,1,48118,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
15,אזור תעשייה רמת דלתון,29.10.2024,07:51:59,2024-10-29T07:52:00,1,ירי רקטות וטילים,1,47589,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
16,אזור תעשייה רמת דלתון,24.10.2024,10:53:17,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46949,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
17,אזור תעשייה רמת דלתון,20.10.2024,16:25:57,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45780,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
18,אזור תעשייה רמת דלתון,20.10.2024,12:30:50,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45680,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
19,אזור תעשייה רמת דלתון,20.10.2024,12:29:40,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45659,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
20,אזור תעשייה רמת דלתון,20.10.2024,12:28:57,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45646,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
21,אזור תעשייה רמת דלתון,16.10.2024,01:39:42,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44796,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
22,אזור תעשייה רמת דלתון,16.10.2024,01:38:59,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44783,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
23,אזור תעשייה רמת דלתון,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43576,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
24,אזור תעשייה רמת דלתון,10.10.2024,15:54:54,2024-10-10T15:55:00,1,ירי רקטות וטילים,1,43467,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
25,אזור תעשייה רמת דלתון,09.10.2024,16:44:54,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43305,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
26,אזור תעשייה רמת דלתון,09.10.2024,16:44:12,2024-10-09T16:44:00,1,ירי רקטות וטילים,1,43289,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
27,אזור תעשייה רמת דלתון,09.10.2024,16:42:26,2024-10-09T16:42:00,1,ירי רקטות וטילים,1,43257,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
28,אזור תעשייה רמת דלתון,06.10.2024,15:39:08,2024-10-06T15:39:00,1,ירי רקטות וטילים,1,42360,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
29,אזור תעשייה רמת דלתון,05.10.2024,18:48:13,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42254,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
30,אזור תעשייה רמת דלתון,04.10.2024,07:23:24,2024-10-04T07:23:00,1,ירי רקטות וטילים,1,41892,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
31,אזור תעשייה רמת דלתון,29.09.2024,16:37:44,2024-09-29T16:38:00,1,ירי רקטות וטילים,1,39204,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
32,אזור תעשייה רמת דלתון,29.09.2024,16:17:48,2024-09-29T16:18:00,1,ירי רקטות וטילים,1,39191,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
33,אזור תעשייה רמת דלתון,28.09.2024,14:02:10,2024-09-28T14:02:00,1,ירי רקטות וטילים,1,38920,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
34,אזור תעשייה רמת דלתון,28.09.2024,14:01:28,2024-09-28T14:01:00,1,ירי רקטות וטילים,1,38905,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
35,אזור תעשייה רמת דלתון,28.09.2024,12:11:41,2024-09-28T12:12:00,1,ירי רקטות וטילים,1,38850,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
36,אזור תעשייה רמת דלתון,28.09.2024,09:49:52,2024-09-28T09:50:00,1,ירי רקטות וטילים,1,38705,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
37,אזור תעשייה רמת דלתון,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38641,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
38,אזור תעשייה רמת דלתון,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38318,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
39,אזור תעשייה רמת דלתון,28.09.2024,01:26:22,2024-09-28T01:26:00,1,ירי רקטות וטילים,1,38190,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
40,אזור תעשייה רמת דלתון,27.09.2024,22:03:30,2024-09-27T22:04:00,1,ירי רקטות וטילים,1,38146,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
41,אזור תעשייה רמת דלתון,25.09.2024,11:01:39,2024-09-25T11:02:00,1,ירי רקטות וטילים,1,37838,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
42,אזור תעשייה רמת דלתון,25.09.2024,11:00:56,2024-09-25T11:01:00,1,ירי רקטות וטילים,1,37822,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
43,אזור תעשייה רמת דלתון,24.09.2024,19:23:39,2024-09-24T19:24:00,1,ירי רקטות וטילים,1,37696,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
44,אזור תעשייה רמת דלתון,24.09.2024,17:37:15,2024-09-24T17:37:00,1,ירי רקטות וטילים,1,37659,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
45,אזור תעשייה רמת דלתון,24.09.2024,15:45:55,2024-09-24T15:46:00,1,ירי רקטות וטילים,1,37638,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
46,אזור תעשייה רמת דלתון,24.09.2024,15:45:14,2024-09-24T15:45:00,1,ירי רקטות וטילים,1,37622,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
47,אזור תעשייה רמת דלתון,23.09.2024,16:15:53,2024-09-23T16:16:00,1,ירי רקטות וטילים,1,37058,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
48,אזור תעשייה רמת דלתון,23.09.2024,12:24:42,2024-09-23T12:25:00,1,ירי רקטות וטילים,1,36984,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
49,אזור תעשייה רמת דלתון,23.09.2024,11:30:34,2024-09-23T11:31:00,1,ירי רקטות וטילים,1,36972,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
50,אזור תעשייה רמת דלתון,21.09.2024,14:00:45,2024-09-21T14:01:00,1,ירי רקטות וטילים,1,36515,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
51,אזור תעשייה רמת דלתון,20.09.2024,17:07:50,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36472,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
52,אזור תעשייה רמת דלתון,20.09.2024,13:02:22,2024-09-20T13:02:00,1,ירי רקטות וטילים,1,36421,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
53,אזור תעשייה רמת דלתון,13.09.2024,01:11:43,2024-09-13T01:12:00,1,ירי רקטות וטילים,1,36035,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
54,אזור תעשייה רמת דלתון,25.08.2024,06:06:40,2024-08-25T06:07:00,1,ירי רקטות וטילים,1,35486,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
55,אזור תעשייה רמת דלתון,23.08.2024,17:53:49,2024-08-23T17:54:00,1,ירי רקטות וטילים,1,35332,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
56,אזור תעשייה רמת דלתון,21.08.2024,08:24:18,2024-08-21T08:24:00,2,חדירת כלי טיס עוין,6,35228,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
57,אזור תעשייה רמת דלתון,17.08.2024,12:00:40,2024-08-17T12:01:00,1,ירי רקטות וטילים,1,35074,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
58,אזור תעשייה רמת דלתון,01.08.2024,07:36:40,2024-08-01T07:37:00,2,חדירת כלי טיס עוין,6,34619,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
59,אזור תעשייה רמת דלתון,21.07.2024,17:59:50,2024-07-21T18:00:00,1,ירי רקטות וטילים,1,34277,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
60,אזור תעשייה רמת דלתון,21.07.2024,16:17:00,2024-07-21T16:17:00,1,ירי רקטות וטילים,1,34249,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
61,אזור תעשייה רמת דלתון,30.06.2024,11:35:20,2024-06-30T11:35:00,1,ירי רקטות וטילים,1,33472,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
62,אזור תעשייה רמת דלתון,27.06.2024,19:44:58,2024-06-27T19:45:00,1,ירי רקטות וטילים,1,33391,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
63,אזור תעשייה רמת דלתון,27.06.2024,19:44:18,2024-06-27T19:44:00,1,ירי רקטות וטילים,1,33381,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
64,אזור תעשייה רמת דלתון,27.06.2024,19:43:37,2024-06-27T19:44:00,1,ירי רקטות וטילים,1,33370,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
65,אזור תעשייה רמת דלתון,13.06.2024,14:58:11,2024-06-13T14:58:00,2,חדירת כלי טיס עוין,6,33032,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
66,אזור תעשייה רמת דלתון,13.06.2024,14:55:49,2024-06-13T14:56:00,2,חדירת כלי טיס עוין,6,33023,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
67,אזור תעשייה רמת דלתון,13.06.2024,14:21:06,2024-06-13T14:21:00,2,חדירת כלי טיס עוין,6,32981,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
68,אזור תעשייה רמת דלתון,12.06.2024,11:53:46,2024-06-12T11:54:00,2,חדירת כלי טיס עוין,6,32767,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
69,אזור תעשייה רמת דלתון,12.06.2024,10:02:12,2024-06-12T10:02:00,1,ירי רקטות וטילים,1,32747,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
70,אזור תעשייה רמת דלתון,12.06.2024,09:01:02,2024-06-12T09:01:00,1,ירי רקטות וטילים,1,32702,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
71,אזור תעשייה רמת דלתון,12.06.2024,09:00:17,2024-06-12T09:00:00,1,ירי רקטות וטילים,1,32676,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
72,אזור תעשייה רמת דלתון,12.06.2024,08:58:52,2024-06-12T08:59:00,1,ירי רקטות וטילים,1,32658,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
73,אזור תעשייה רמת דלתון,09.06.2024,12:58:52,2024-06-09T12:59:00,2,חדירת כלי טיס עוין,6,32467,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
74,אזור תעשייה רמת דלתון,09.06.2024,12:56:58,2024-06-09T12:57:00,2,חדירת כלי טיס עוין,6,32461,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
75,אזור תעשייה רמת דלתון,24.05.2024,22:15:46,2024-05-24T22:16:00,2,חדירת כלי טיס עוין,6,31650,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
76,אזור תעשייה רמת דלתון,24.05.2024,19:16:35,2024-05-24T19:17:00,2,חדירת כלי טיס עוין,6,31640,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
77,אזור תעשייה רמת דלתון,19.05.2024,16:44:42,2024-05-19T16:45:00,2,חדירת כלי טיס עוין,6,31306,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
78,אזור תעשייה רמת דלתון,17.05.2024,13:36:07,2024-05-17T13:36:00,1,ירי רקטות וטילים,1,31093,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
79,אזור תעשייה רמת דלתון,17.05.2024,13:35:14,2024-05-17T13:35:00,1,ירי רקטות וטילים,1,31091,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
80,אזור תעשייה רמת דלתון,21.04.2024,14:40:58,2024-04-21T14:41:00,2,חדירת כלי טיס עוין,6,30204,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
81,אזור תעשייה רמת דלתון,20.04.2024,07:46:19,2024-04-20T07:46:00,2,חדירת כלי טיס עוין,6,30142,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
82,אזור תעשייה רמת דלתון,19.04.2024,05:46:36,2024-04-19T05:47:00,2,חדירת כלי טיס עוין,6,30132,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
83,אזור תעשייה רמת דלתון,07.04.2024,20:31:46,2024-04-07T20:32:00,1,ירי רקטות וטילים,1,29208,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
84,אזור תעשייה רמת דלתון,25.03.2024,14:15:26,2024-03-25T14:15:00,2,חדירת כלי טיס עוין,6,28861,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
85,אזור תעשייה רמת דלתון,24.02.2024,13:18:38,2024-02-24T13:19:00,2,חדירת כלי טיס עוין,6,28274,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
86,אזור תעשייה רמת דלתון,19.02.2024,18:35:21,2024-02-19T18:35:00,2,חדירת כלי טיס עוין,6,28191,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
87,אזור תעשייה רמת דלתון,15.02.2024,13:23:52,2024-02-15T13:24:00,2,חדירת כלי טיס עוין,6,28139,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
88,אזור תעשייה רמת דלתון,14.02.2024,09:17:31,2024-02-14T09:18:00,1,ירי רקטות וטילים,1,28118,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
89,אזור תעשייה רמת דלתון,14.02.2024,09:12:42,2024-02-14T09:13:00,1,ירי רקטות וטילים,1,28107,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
90,אזור תעשייה רמת דלתון,14.02.2024,09:06:00,2024-02-14T09:06:00,1,ירי רקטות וטילים,1,28101,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
91,אזור תעשייה רמת דלתון,08.02.2024,22:57:48,2024-02-08T22:58:00,1,ירי רקטות וטילים,1,28036,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
92,אזור תעשייה רמת דלתון,17.01.2024,18:41:24,2024-01-17T18:41:00,2,חדירת כלי טיס עוין,6,27770,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
93,אזור תעשייה רמת דלתון,09.01.2024,15:53:03,2024-01-09T15:53:00,2,חדירת כלי טיס עוין,6,27673,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
94,אזור תעשייה רמת דלתון,09.01.2024,13:26:17,2024-01-09T13:26:00,2,חדירת כלי טיס עוין,6,27625,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
95,אזור תעשייה רמת דלתון,09.01.2024,10:10:48,2024-01-09T10:11:00,2,חדירת כלי טיס עוין,6,27614,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
96,אזור תעשייה רמת דלתון,09.01.2024,10:06:44,2024-01-09T10:07:00,2,חדירת כלי טיס עוין,6,27594,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
97,אזור תעשייה רמת דלתון,09.01.2024,10:04:57,2024-01-09T10:05:00,2,חדירת כלי טיס עוין,6,27578,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
98,אזור תעשייה רמת דלתון,08.01.2024,14:34:59,2024-01-08T14:35:00,2,חדירת כלי טיס עוין,6,27498,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
99,אזור תעשייה רמת דלתון,06.01.2024,08:06:28,2024-01-06T08:06:00,2,חדירת כלי טיס עוין,6,27302,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
100,אזור תעשייה רמת דלתון,01.01.2024,15:34:54,2024-01-01T15:35:00,2,חדירת כלי טיס עוין,6,27222,אזור תעשייה רמת דלתון,Ramat Dalton Industrial Zone,المنطقة الصناعية رمات دلتو,Промзона Рамат Дальтон
