,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אזור תעשייה שער נעמן,24.11.2024,18:12:22,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52374,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
1,אזור תעשייה שער נעמן,24.11.2024,16:28:07,2024-11-24T16:28:00,1,ירי רקטות וטילים,1,52308,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
2,אזור תעשייה שער נעמן,24.11.2024,15:31:45,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52276,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
3,אזור תעשייה שער נעמן,20.11.2024,06:37:30,2024-11-20T06:38:00,2,חדירת כלי טיס עוין,6,51556,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
4,אזור תעשייה שער נעמן,17.11.2024,10:11:30,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51075,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
5,אזור תעשייה שער נעמן,16.11.2024,14:44:38,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51007,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
6,אזור תעשייה שער נעמן,15.11.2024,09:02:14,2024-11-15T09:02:00,1,ירי רקטות וטילים,1,50903,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
7,אזור תעשייה שער נעמן,15.11.2024,06:53:36,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50871,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
8,אזור תעשייה שער נעמן,14.11.2024,18:50:28,2024-11-14T18:50:00,2,חדירת כלי טיס עוין,6,50794,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
9,אזור תעשייה שער נעמן,13.11.2024,14:57:36,2024-11-13T14:58:00,2,חדירת כלי טיס עוין,6,50533,אזור תעשייה שער נעמן,Sha'ar Na'aman Industrial Zone,المنطقة الصناعية شاعر نعما,Промзона Шаар Нааман
