,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,איזור תעשייה מילואות צפון,24.11.2024,16:32:14,2024-11-24T16:32:00,1,ירי רקטות וטילים,1,52320,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
1,איזור תעשייה מילואות צפון,24.11.2024,16:28:12,2024-11-24T16:28:00,1,ירי רקטות וטילים,1,52311,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
2,איזור תעשייה מילואות צפון,24.11.2024,13:03:21,2024-11-24T13:03:00,1,ירי רקטות וטילים,1,52181,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
3,איזור תעשייה מילואות צפון,24.11.2024,13:00:34,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52168,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
4,איזור תעשייה מילואות צפון,24.11.2024,10:49:36,2024-11-24T10:50:00,1,ירי רקטות וטילים,1,52079,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
5,איזור תעשייה מילואות צפון,24.11.2024,06:18:19,2024-11-24T06:18:00,2,חדירת כלי טיס עוין,6,51936,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
6,איזור תעשייה מילואות צפון,22.11.2024,21:34:58,2024-11-22T21:35:00,2,חדירת כלי טיס עוין,6,51857,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
7,איזור תעשייה מילואות צפון,22.11.2024,21:33:58,2024-11-22T21:34:00,2,חדירת כלי טיס עוין,6,51853,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
8,איזור תעשייה מילואות צפון,22.11.2024,21:11:19,2024-11-22T21:11:00,1,ירי רקטות וטילים,1,51837,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
9,איזור תעשייה מילואות צפון,22.11.2024,21:05:56,2024-11-22T21:06:00,2,חדירת כלי טיס עוין,6,51807,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
10,איזור תעשייה מילואות צפון,22.11.2024,21:04:42,2024-11-22T21:05:00,2,חדירת כלי טיס עוין,6,51801,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
11,איזור תעשייה מילואות צפון,22.11.2024,16:30:55,2024-11-22T16:31:00,1,ירי רקטות וטילים,1,51754,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
12,איזור תעשייה מילואות צפון,21.11.2024,13:49:07,2024-11-21T13:49:00,1,ירי רקטות וטילים,1,51674,איזור תעשייה מילואות צפון,Achziv Miluot Industrial Zone,المنطقة الصناعية أخزيف ميل,Промзона Ахзив Милуот
