,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אליפלט,24.11.2024,12:11:10,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52098,אליפלט,Elifelet,إليفلت,Элифелет
1,אליפלט,19.11.2024,17:07:24,2024-11-19T17:07:00,2,חדירת כלי טיס עוין,6,51518,אליפלט,Elifelet,إليفلت,Элифелет
2,אליפלט,11.11.2024,16:40:34,2024-11-11T16:41:00,1,ירי רקטות וטילים,1,50211,אליפלט,Elifelet,إليفلت,Элифелет
3,אליפלט,24.10.2024,10:53:04,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46941,אליפלט,Elifelet,إليفلت,Элифелет
4,אליפלט,24.10.2024,10:52:23,2024-10-24T10:52:00,1,ירי רקטות וטילים,1,46926,אליפלט,Elifelet,إليفلت,Элифелет
5,אליפלט,20.10.2024,12:30:34,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45678,אליפלט,Elifelet,إليفلت,Элифелет
6,אליפלט,20.10.2024,12:29:50,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45662,אליפלט,Elifelet,إليفلت,Элифелет
7,אליפלט,20.10.2024,12:29:07,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45649,אליפלט,Elifelet,إليفلت,Элифелет
8,אליפלט,19.10.2024,23:58:38,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45526,אליפלט,Elifelet,إليفلت,Элифелет
9,אליפלט,19.10.2024,12:22:19,2024-10-19T12:22:00,1,ירי רקטות וטילים,1,45445,אליפלט,Elifelet,إليفلت,Элифелет
10,אליפלט,16.10.2024,01:39:54,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44801,אליפלט,Elifelet,إليفلت,Элифелет
11,אליפלט,09.10.2024,16:45:36,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43319,אליפלט,Elifelet,إليفلت,Элифелет
12,אליפלט,09.10.2024,16:44:46,2024-10-09T16:45:00,1,ירי רקטות וטילים,1,43298,אליפלט,Elifelet,إليفلت,Элифелет
13,אליפלט,09.10.2024,16:42:24,2024-10-09T16:42:00,1,ירי רקטות וטילים,1,43254,אליפלט,Elifelet,إليفلت,Элифелет
14,אליפלט,09.10.2024,15:36:37,2024-10-09T15:37:00,1,ירי רקטות וטילים,1,43238,אליפלט,Elifelet,إليفلت,Элифелет
15,אליפלט,08.10.2024,20:45:47,2024-10-08T20:46:00,2,חדירת כלי טיס עוין,6,43136,אליפלט,Elifelet,إليفلت,Элифелет
16,אליפלט,05.10.2024,11:30:30,2024-10-05T11:31:00,1,ירי רקטות וטילים,1,42133,אליפלט,Elifelet,إليفلت,Элифелет
17,אליפלט,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41037,אליפלט,Elifelet,إليفلت,Элифелет
18,אליפלט,01.10.2024,10:24:18,2024-10-01T10:24:00,1,ירי רקטות וטילים,1,39406,אליפלט,Elifelet,إليفلت,Элифелет
19,אליפלט,29.09.2024,16:37:35,2024-09-29T16:38:00,1,ירי רקטות וטילים,1,39198,אליפלט,Elifelet,إليفلت,Элифелет
20,אליפלט,28.09.2024,14:01:58,2024-09-28T14:02:00,1,ירי רקטות וטילים,1,38913,אליפלט,Elifelet,إليفلت,Элифелет
21,אליפלט,28.09.2024,06:18:01,2024-09-28T06:18:00,1,ירי רקטות וטילים,1,38204,אליפלט,Elifelet,إليفلت,Элифелет
22,אליפלט,28.09.2024,01:26:38,2024-09-28T01:27:00,1,ירי רקטות וטילים,1,38195,אליפלט,Elifelet,إليفلت,Элифелет
23,אליפלט,26.09.2024,18:03:18,2024-09-26T18:03:00,1,ירי רקטות וטילים,1,37974,אליפלט,Elifelet,إليفلت,Элифелет
24,אליפלט,26.09.2024,18:02:38,2024-09-26T18:03:00,1,ירי רקטות וטילים,1,37964,אליפלט,Elifelet,إليفلت,Элифелет
25,אליפלט,26.09.2024,18:01:57,2024-09-26T18:02:00,1,ירי רקטות וטילים,1,37952,אליפלט,Elifelet,إليفلت,Элифелет
26,אליפלט,26.09.2024,13:25:31,2024-09-26T13:26:00,1,ירי רקטות וטילים,1,37913,אליפלט,Elifelet,إليفلت,Элифелет
27,אליפלט,25.09.2024,11:02:06,2024-09-25T11:02:00,1,ירי רקטות וטילים,1,37844,אליפלט,Elifelet,إليفلت,Элифелет
28,אליפלט,24.09.2024,19:23:29,2024-09-24T19:23:00,1,ירי רקטות וטילים,1,37689,אליפלט,Elifelet,إليفلت,Элифелет
29,אליפלט,24.09.2024,15:45:32,2024-09-24T15:46:00,1,ירי רקטות וטילים,1,37627,אליפלט,Elifelet,إليفلت,Элифелет
30,אליפלט,20.09.2024,17:08:39,2024-09-20T17:09:00,1,ירי רקטות וטילים,1,36502,אליפלט,Elifelet,إليفلت,Элифелет
31,אליפלט,14.09.2024,08:59:58,2024-09-14T09:00:00,1,ירי רקטות וטילים,1,36091,אליפלט,Elifelet,إليفلت,Элифелет
32,אליפלט,14.09.2024,00:58:53,2024-09-14T00:59:00,1,ירי רקטות וטילים,1,36076,אליפלט,Elifelet,إليفلت,Элифелет
33,אליפלט,13.09.2024,13:03:56,2024-09-13T13:04:00,2,חדירת כלי טיס עוין,6,36051,אליפלט,Elifelet,إليفلت,Элифелет
34,אליפלט,21.08.2024,11:34:17,2024-08-21T11:34:00,2,חדירת כלי טיס עוין,6,35268,אליפלט,Elifelet,إليفلت,Элифелет
35,אליפלט,10.08.2024,19:38:39,2024-08-10T19:39:00,2,חדירת כלי טיס עוין,6,34919,אליפלט,Elifelet,إليفلت,Элифелет
36,אליפלט,10.08.2024,19:36:47,2024-08-10T19:37:00,2,חדירת כלי טיס עוין,6,34913,אליפלט,Elifelet,إليفلت,Элифелет
37,אליפלט,12.06.2024,09:01:31,2024-06-12T09:02:00,1,ירי רקטות וטילים,1,32712,אליפלט,Elifelet,إليفلت,Элифелет
38,אליפלט,12.06.2024,09:00:48,2024-06-12T09:01:00,1,ירי רקטות וטילים,1,32697,אליפלט,Elifelet,إليفلت,Элифелет
39,אליפלט,12.06.2024,08:59:58,2024-06-12T09:00:00,1,ירי רקטות וטילים,1,32664,אליפלט,Elifelet,إليفلت,Элифелет
40,אליפלט,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27321,אליפלט,Elifelet,إليفلت,Элифелет
41,אליפלט,11.10.2023,18:21:34,2023-10-11T18:22:00,2,חדירת כלי טיס עוין,6,21561,אליפלט,Elifelet,إليفلت,Элифелет
