,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אלפי מנשה,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52413,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
1,אלפי מנשה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51301,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
2,אלפי מנשה,06.11.2024,11:23:01,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49303,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
3,אלפי מנשה,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46864,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
4,אלפי מנשה,14.10.2024,17:33:56,2024-10-14T17:34:00,1,ירי רקטות וטילים,1,44475,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
5,אלפי מנשה,07.10.2024,23:14:19,2024-10-07T23:14:00,1,ירי רקטות וטילים,1,42965,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
6,אלפי מנשה,07.10.2024,17:44:10,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42790,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
7,אלפי מנשה,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39642,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
8,אלפי מנשה,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39435,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
9,אלפי מנשה,23.09.2024,17:14:52,2024-09-23T17:15:00,1,ירי רקטות וטילים,1,37133,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
10,אלפי מנשה,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23832,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
11,אלפי מנשה,24.10.2023,15:16:34,2023-10-24T15:17:00,1,ירי רקטות וטילים,1,23279,אלפי מנשה,Alfei Menashe,ألفي مناشيه,Алфей Менаше
