,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אמירים,24.11.2024,14:24:07,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52242,אמירים,Amirim,أميريم,Амирим
1,אמירים,04.11.2024,00:00:37,2024-11-04T00:01:00,1,ירי רקטות וטילים,1,48947,אמירים,Amirim,أميريم,Амирим
2,אמירים,02.11.2024,12:37:34,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48644,אמירים,Amirim,أميريم,Амирим
3,אמירים,28.10.2024,23:27:02,2024-10-28T23:27:00,1,ירי רקטות וטילים,1,47567,אמירים,Amirim,أميريم,Амирим
4,אמירים,18.10.2024,22:30:52,2024-10-18T22:31:00,1,ירי רקטות וטילים,1,45292,אמירים,Amirim,أميريم,Амирим
5,אמירים,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44989,אמירים,Amirim,أميريم,Амирим
6,אמירים,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43321,אמירים,Amirim,أميريم,Амирим
7,אמירים,02.10.2024,13:02:40,2024-10-02T13:03:00,1,ירי רקטות וטילים,1,41591,אמירים,Amirim,أميريم,Амирим
8,אמירים,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41079,אמירים,Amirim,أميريم,Амирим
9,אמירים,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38642,אמירים,Amirim,أميريم,Амирим
10,אמירים,26.09.2024,16:08:18,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37945,אמירים,Amirim,أميريم,Амирим
11,אמירים,26.09.2024,16:07:35,2024-09-26T16:08:00,1,ירי רקטות וטילים,1,37936,אמירים,Amirim,أميريم,Амирим
12,אמירים,26.09.2024,16:06:55,2024-09-26T16:07:00,1,ירי רקטות וטילים,1,37927,אמירים,Amirim,أميريم,Амирим
13,אמירים,10.08.2024,19:43:53,2024-08-10T19:44:00,2,חדירת כלי טיס עוין,6,34932,אמירים,Amirim,أميريم,Амирим
14,אמירים,07.07.2024,13:02:39,2024-07-07T13:03:00,1,ירי רקטות וטילים,1,33856,אמירים,Amirim,أميريم,Амирим
15,אמירים,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27361,אמירים,Amirim,أميريم,Амирим
16,אמירים,02.11.2023,16:51:15,2023-11-02T16:51:00,1,ירי רקטות וטילים,1,24311,אמירים,Amirim,أميريم,Амирим
