,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ארבל,24.11.2024,14:32:21,2024-11-24T14:32:00,1,ירי רקטות וטילים,1,52253,ארבל,Arbel,أرابل,Арбель
1,ארבל,23.10.2024,16:36:54,2024-10-23T16:37:00,1,ירי רקטות וטילים,1,46671,ארבל,Arbel,أرابل,Арбель
2,ארבל,21.10.2024,15:44:08,2024-10-21T15:44:00,1,ירי רקטות וטילים,1,46113,ארבל,Arbel,أرابل,Арбель
3,ארבל,20.10.2024,16:32:58,2024-10-20T16:33:00,1,ירי רקטות וטילים,1,45799,ארבל,Arbel,أرابل,Арбель
4,ארבל,08.10.2024,11:09:35,2024-10-08T11:10:00,1,ירי רקטות וטילים,1,43017,ארבל,Arbel,أرابل,Арбель
5,ארבל,06.10.2024,23:57:43,2024-10-06T23:58:00,1,ירי רקטות וטילים,1,42447,ארבל,Arbel,أرابل,Арбель
6,ארבל,01.10.2024,19:52:24,2024-10-01T19:52:00,1,ירי רקטות וטילים,1,41082,ארבל,Arbel,أرابل,Арбель
7,ארבל,27.09.2024,09:59:25,2024-09-27T09:59:00,1,ירי רקטות וטילים,1,38138,ארבל,Arbel,أرابل,Арбель
8,ארבל,24.09.2024,14:51:52,2024-09-24T14:52:00,1,ירי רקטות וטילים,1,37546,ארבל,Arbel,أرابل,Арбель
9,ארבל,18.09.2024,04:36:27,2024-09-18T04:36:00,2,חדירת כלי טיס עוין,6,36334,ארבל,Arbel,أرابل,Арбель
10,ארבל,11.10.2023,18:24:01,2023-10-11T18:24:00,2,חדירת כלי טיס עוין,6,21614,ארבל,Arbel,أرابل,Арбель
