,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ארסוף,24.11.2024,07:27:39,2024-11-24T07:28:00,1,ירי רקטות וטילים,1,52005,ארסוף,Arsuf,أرسوف,Арсуф
1,ארסוף,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51302,ארסוף,Arsuf,أرسوف,Арсуф
2,ארסוף,13.11.2024,17:44:54,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50666,ארסוף,Arsuf,أرسوف,Арсуф
3,ארסוף,22.10.2024,07:43:15,2024-10-22T07:43:00,1,ירי רקטות וטילים,1,46277,ארסוף,Arsuf,أرسوف,Арсуф
4,ארסוף,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44386,ארסוף,Arsuf,أرسوف,Арсуф
5,ארסוף,07.10.2024,23:14:19,2024-10-07T23:14:00,1,ירי רקטות וטילים,1,42966,ארסוף,Arsuf,أرسوف,Арсуф
6,ארסוף,01.10.2024,11:04:50,2024-10-01T11:05:00,1,ירי רקטות וטילים,1,39459,ארסוף,Arsuf,أرسوف,Арсуф
7,ארסוף,26.05.2024,14:01:40,2024-05-26T14:02:00,1,ירי רקטות וטילים,1,31727,ארסוף,Arsuf,أرسوف,Арсуф
8,ארסוף,21.12.2023,13:30:49,2023-12-21T13:31:00,1,ירי רקטות וטילים,1,26895,ארסוף,Arsuf,أرسوف,Арсуф
9,ארסוף,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25426,ארסוף,Arsuf,أرسوف,Арсуф
10,ארסוף,24.10.2023,17:01:25,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23403,ארסוף,Arsuf,أرسوف,Арсуф
