,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,אשרת,24.11.2024,13:04:22,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52210,אשרת,Oshrat,أوشرات,Ошрат
1,אשרת,22.11.2024,21:10:54,2024-11-22T21:11:00,1,ירי רקטות וטילים,1,51831,אשרת,Oshrat,أوشرات,Ошрат
2,אשרת,22.11.2024,21:08:40,2024-11-22T21:09:00,2,חדירת כלי טיס עוין,6,51820,אשרת,Oshrat,أوشرات,Ошрат
3,אשרת,22.11.2024,16:47:06,2024-11-22T16:47:00,1,ירי רקטות וטילים,1,51784,אשרת,Oshrat,أوشرات,Ошрат
4,אשרת,18.11.2024,19:10:11,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51205,אשרת,Oshrat,أوشرات,Ошрат
5,אשרת,15.11.2024,06:54:25,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50885,אשרת,Oshrat,أوشرات,Ошрат
6,אשרת,12.11.2024,09:26:14,2024-11-12T09:26:00,2,חדירת כלי טיס עוין,6,50272,אשרת,Oshrat,أوشرات,Ошрат
7,אשרת,11.11.2024,15:43:09,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50163,אשרת,Oshrat,أوشرات,Ошрат
8,אשרת,08.11.2024,15:19:12,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49720,אשרת,Oshrat,أوشرات,Ошрат
9,אשרת,08.11.2024,06:45:58,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49622,אשרת,Oshrat,أوشرات,Ошрат
10,אשרת,07.11.2024,16:15:21,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49548,אשרת,Oshrat,أوشرات,Ошрат
11,אשרת,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49188,אשרת,Oshrat,أوشرات,Ошрат
12,אשרת,31.10.2024,16:20:10,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48340,אשרת,Oshrat,أوشرات,Ошрат
13,אשרת,27.10.2024,08:07:07,2024-10-27T08:07:00,2,חדירת כלי טיס עוין,6,47349,אשרת,Oshrat,أوشرات,Ошрат
14,אשרת,24.10.2024,09:52:49,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46911,אשרת,Oshrat,أوشرات,Ошрат
15,אשרת,22.10.2024,13:27:41,2024-10-22T13:28:00,1,ירי רקטות וטילים,1,46357,אשרת,Oshrat,أوشرات,Ошрат
16,אשרת,22.10.2024,13:26:57,2024-10-22T13:27:00,1,ירי רקטות וטילים,1,46339,אשרת,Oshrat,أوشرات,Ошрат
17,אשרת,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45948,אשרת,Oshrat,أوشرات,Ошрат
18,אשרת,20.10.2024,15:42:34,2024-10-20T15:43:00,1,ירי רקטות וטילים,1,45764,אשרת,Oshrat,أوشرات,Ошрат
19,אשרת,20.10.2024,15:41:44,2024-10-20T15:42:00,1,ירי רקטות וטילים,1,45744,אשרת,Oshrat,أوشرات,Ошрат
20,אשרת,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43955,אשרת,Oshrat,أوشرات,Ошрат
21,אשרת,06.10.2024,13:49:33,2024-10-06T13:50:00,1,ירי רקטות וטילים,1,42351,אשרת,Oshrat,أوشرات,Ошрат
22,אשרת,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39572,אשרת,Oshrat,أوشرات,Ошрат
23,אשרת,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39267,אשרת,Oshrat,أوشرات,Ошрат
24,אשרת,28.09.2024,10:42:53,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38750,אשרת,Oshrat,أوشرات,Ошрат
25,אשרת,24.09.2024,13:58:06,2024-09-24T13:58:00,1,ירי רקטות וטילים,1,37539,אשרת,Oshrat,أوشرات,Ошрат
26,אשרת,22.09.2024,06:30:56,2024-09-22T06:31:00,1,ירי רקטות וטילים,1,36775,אשרת,Oshrat,أوشرات,Ошрат
27,אשרת,28.06.2024,19:49:10,2024-06-28T19:49:00,2,חדירת כלי טיס עוין,6,33453,אשרת,Oshrat,أوشرات,Ошрат
