,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בארות יצחק,24.11.2024,12:52:31,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52118,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
1,בארות יצחק,12.11.2024,16:36:37,2024-11-12T16:37:00,1,ירי רקטות וטילים,1,50417,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
2,בארות יצחק,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49381,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
3,בארות יצחק,06.11.2024,11:23:11,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49315,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
4,בארות יצחק,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42805,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
5,בארות יצחק,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40255,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
6,בארות יצחק,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38995,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
7,בארות יצחק,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38006,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
8,בארות יצחק,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36152,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
9,בארות יצחק,05.12.2023,15:20:21,2023-12-05T15:20:00,1,ירי רקטות וטילים,1,26168,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
10,בארות יצחק,02.12.2023,22:02:47,2023-12-02T22:03:00,1,ירי רקטות וטילים,1,25981,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
11,בארות יצחק,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25389,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
12,בארות יצחק,07.11.2023,21:34:10,2023-11-07T21:34:00,1,ירי רקטות וטילים,1,24743,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
13,בארות יצחק,07.11.2023,21:01:23,2023-11-07T21:01:00,1,ירי רקטות וטילים,1,24720,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
14,בארות יצחק,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24339,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
15,בארות יצחק,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23841,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
16,בארות יצחק,24.10.2023,17:01:24,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23409,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
17,בארות יצחק,24.10.2023,15:33:27,2023-10-24T15:33:00,1,ירי רקטות וטילים,1,23322,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
18,בארות יצחק,24.10.2023,15:16:12,2023-10-24T15:16:00,1,ירי רקטות וטילים,1,23270,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
19,בארות יצחק,17.10.2023,22:00:26,2023-10-17T22:00:00,1,ירי רקטות וטילים,1,22776,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
20,בארות יצחק,14.10.2023,17:01:13,2023-10-14T17:01:00,1,ירי רקטות וטילים,1,22197,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
21,בארות יצחק,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20266,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
22,בארות יצחק,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17684,בארות יצחק,Be'erot Itzhak,بئروت يتسحاق,Беэрот Ицхак
