,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ביר אלמכסור,24.11.2024,18:09:22,2024-11-24T18:09:00,1,ירי רקטות וטילים,1,52336,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
1,ביר אלמכסור,08.11.2024,07:44:40,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49632,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
2,ביר אלמכסור,02.11.2024,11:05:17,2024-11-02T11:05:00,1,ירי רקטות וטילים,1,48610,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
3,ביר אלמכסור,31.10.2024,23:22:49,2024-10-31T23:23:00,2,חדירת כלי טיס עוין,6,48376,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
4,ביר אלמכסור,30.10.2024,06:18:16,2024-10-30T06:18:00,1,ירי רקטות וטילים,1,48033,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
5,ביר אלמכסור,23.10.2024,08:03:50,2024-10-23T08:04:00,1,ירי רקטות וטילים,1,46543,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
6,ביר אלמכסור,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45983,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
7,ביר אלמכסור,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45132,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
8,ביר אלמכסור,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,45021,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
9,ביר אלמכסור,17.10.2024,03:26:16,2024-10-17T03:26:00,1,ירי רקטות וטילים,1,44924,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
10,ביר אלמכסור,11.10.2024,17:22:19,2024-10-11T17:22:00,1,ירי רקטות וטילים,1,43641,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
11,ביר אלמכסור,11.10.2024,16:31:01,2024-10-11T16:31:00,1,ירי רקטות וטילים,1,43540,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
12,ביר אלמכסור,28.09.2024,09:35:21,2024-09-28T09:35:00,1,ירי רקטות וטילים,1,38560,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
13,ביר אלמכסור,28.09.2024,09:01:02,2024-09-28T09:01:00,1,ירי רקטות וטילים,1,38528,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
14,ביר אלמכסור,28.09.2024,08:04:00,2024-09-28T08:04:00,1,ירי רקטות וטילים,1,38386,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
15,ביר אלמכסור,28.09.2024,07:59:09,2024-09-28T07:59:00,1,ירי רקטות וטילים,1,38256,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
16,ביר אלמכסור,25.09.2024,13:39:23,2024-09-25T13:39:00,1,ירי רקטות וטילים,1,37894,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
17,ביר אלמכסור,25.09.2024,13:36:54,2024-09-25T13:37:00,1,ירי רקטות וטילים,1,37863,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
18,ביר אלמכסור,24.09.2024,15:12:32,2024-09-24T15:13:00,1,ירי רקטות וטילים,1,37592,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
19,ביר אלמכסור,23.09.2024,18:57:15,2024-09-23T18:57:00,1,ירי רקטות וטילים,1,37279,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
20,ביר אלמכסור,23.09.2024,18:04:50,2024-09-23T18:05:00,1,ירי רקטות וטילים,1,37232,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
21,ביר אלמכסור,22.09.2024,06:30:18,2024-09-22T06:30:00,1,ירי רקטות וטילים,1,36736,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
22,ביר אלמכסור,22.09.2024,06:24:29,2024-09-22T06:24:00,1,ירי רקטות וטילים,1,36719,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
23,ביר אלמכסור,22.09.2024,05:10:52,2024-09-22T05:11:00,1,ירי רקטות וטילים,1,36675,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
24,ביר אלמכסור,22.09.2024,04:49:30,2024-09-22T04:50:00,1,ירי רקטות וטילים,1,36668,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
25,ביר אלמכסור,12.06.2024,09:00:28,2024-06-12T09:00:00,1,ירי רקטות וטילים,1,32683,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
26,ביר אלמכסור,13.10.2023,15:03:07,2023-10-13T15:03:00,1,ירי רקטות וטילים,1,21980,ביר אלמכסור,Bir al-Maksur,بئر المكسور,Бир аль-Максур
