,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ביריה,24.11.2024,15:35:19,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52293,ביריה,Biriyeh,بيريه,Бирия
1,ביריה,24.11.2024,12:11:03,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52094,ביריה,Biriyeh,بيريه,Бирия
2,ביריה,23.11.2024,15:31:40,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51900,ביריה,Biriyeh,بيريه,Бирия
3,ביריה,22.11.2024,15:24:36,2024-11-22T15:25:00,1,ירי רקטות וטילים,1,51737,ביריה,Biriyeh,بيريه,Бирия
4,ביריה,22.11.2024,14:05:22,2024-11-22T14:05:00,1,ירי רקטות וטילים,1,51722,ביריה,Biriyeh,بيريه,Бирия
5,ביריה,21.11.2024,14:52:24,2024-11-21T14:52:00,1,ירי רקטות וטילים,1,51685,ביריה,Biriyeh,بيريه,Бирия
6,ביריה,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51448,ביריה,Biriyeh,بيريه,Бирия
7,ביריה,13.11.2024,15:12:56,2024-11-13T15:13:00,1,ירי רקטות וטילים,1,50545,ביריה,Biriyeh,بيريه,Бирия
8,ביריה,13.11.2024,14:36:09,2024-11-13T14:36:00,1,ירי רקטות וטילים,1,50502,ביריה,Biriyeh,بيريه,Бирия
9,ביריה,11.11.2024,16:40:16,2024-11-11T16:40:00,1,ירי רקטות וטילים,1,50205,ביריה,Biriyeh,بيريه,Бирия
10,ביריה,09.11.2024,08:06:31,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49809,ביריה,Biriyeh,بيريه,Бирия
11,ביריה,06.11.2024,15:09:12,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49346,ביריה,Biriyeh,بيريه,Бирия
12,ביריה,06.11.2024,14:55:23,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49331,ביריה,Biriyeh,بيريه,Бирия
13,ביריה,04.11.2024,23:20:06,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49013,ביריה,Biriyeh,بيريه,Бирия
14,ביריה,04.11.2024,00:14:40,2024-11-04T00:15:00,1,ירי רקטות וטילים,1,48952,ביריה,Biriyeh,بيريه,Бирия
15,ביריה,02.11.2024,13:38:21,2024-11-02T13:38:00,1,ירי רקטות וטילים,1,48669,ביריה,Biriyeh,بيريه,Бирия
16,ביריה,02.11.2024,06:52:57,2024-11-02T06:53:00,1,ירי רקטות וטילים,1,48486,ביריה,Biriyeh,بيريه,Бирия
17,ביריה,02.11.2024,06:51:45,2024-11-02T06:52:00,1,ירי רקטות וטילים,1,48474,ביריה,Biriyeh,بيريه,Бирия
18,ביריה,30.10.2024,15:18:25,2024-10-30T15:18:00,1,ירי רקטות וטילים,1,48114,ביריה,Biriyeh,بيريه,Бирия
19,ביריה,28.10.2024,22:30:11,2024-10-28T22:30:00,1,ירי רקטות וטילים,1,47563,ביריה,Biriyeh,بيريه,Бирия
20,ביריה,26.10.2024,19:37:55,2024-10-26T19:38:00,1,ירי רקטות וטילים,1,47301,ביריה,Biriyeh,بيريه,Бирия
21,ביריה,25.10.2024,18:15:58,2024-10-25T18:16:00,1,ירי רקטות וטילים,1,47160,ביריה,Biriyeh,بيريه,Бирия
22,ביריה,24.10.2024,10:53:19,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46955,ביריה,Biriyeh,بيريه,Бирия
23,ביריה,24.10.2024,10:52:37,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46931,ביריה,Biriyeh,بيريه,Бирия
24,ביריה,20.10.2024,16:26:01,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45787,ביריה,Biriyeh,بيريه,Бирия
25,ביריה,20.10.2024,12:30:32,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45672,ביריה,Biriyeh,بيريه,Бирия
26,ביריה,20.10.2024,12:29:40,2024-10-20T12:30:00,1,ירי רקטות וטילים,1,45657,ביריה,Biriyeh,بيريه,Бирия
27,ביריה,20.10.2024,12:28:57,2024-10-20T12:29:00,1,ירי רקטות וטילים,1,45644,ביריה,Biriyeh,بيريه,Бирия
28,ביריה,19.10.2024,23:58:51,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45531,ביריה,Biriyeh,بيريه,Бирия
29,ביריה,19.10.2024,12:23:07,2024-10-19T12:23:00,1,ירי רקטות וטילים,1,45456,ביריה,Biriyeh,بيريه,Бирия
30,ביריה,18.10.2024,23:46:29,2024-10-18T23:46:00,1,ירי רקטות וטילים,1,45303,ביריה,Biriyeh,بيريه,Бирия
31,ביריה,16.10.2024,18:03:18,2024-10-16T18:03:00,1,ירי רקטות וטילים,1,44864,ביריה,Biriyeh,بيريه,Бирия
32,ביריה,16.10.2024,01:39:55,2024-10-16T01:40:00,1,ירי רקטות וטילים,1,44799,ביריה,Biriyeh,بيريه,Бирия
33,ביריה,16.10.2024,01:39:03,2024-10-16T01:39:00,1,ירי רקטות וטילים,1,44788,ביריה,Biriyeh,بيريه,Бирия
34,ביריה,15.10.2024,18:20:00,2024-10-15T18:20:00,1,ירי רקטות וטילים,1,44757,ביריה,Biriyeh,بيريه,Бирия
35,ביריה,14.10.2024,18:25:05,2024-10-14T18:25:00,1,ירי רקטות וטילים,1,44594,ביריה,Biriyeh,بيريه,Бирия
