,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בית אורן,24.11.2024,18:11:55,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52366,בית אורן,Beit Oren,بيت أورن,Бейт Орен
1,בית אורן,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49501,בית אורן,Beit Oren,بيت أورن,Бейт Орен
2,בית אורן,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49034,בית אורן,Beit Oren,بيت أورن,Бейт Орен
3,בית אורן,22.10.2024,04:51:29,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46217,בית אורן,Beit Oren,بيت أورن,Бейт Орен
4,בית אורן,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45704,בית אורן,Beit Oren,بيت أورن,Бейт Орен
5,בית אורן,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45556,בית אורן,Beit Oren,بيت أورن,Бейт Орен
6,בית אורן,15.10.2024,07:27:04,2024-10-15T07:27:00,1,ירי רקטות וטילים,1,44660,בית אורן,Beit Oren,بيت أورن,Бейт Орен
7,בית אורן,13.10.2024,09:00:13,2024-10-13T09:00:00,1,ירי רקטות וטילים,1,43932,בית אורן,Beit Oren,بيت أورن,Бейт Орен
8,בית אורן,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43777,בית אורן,Beit Oren,بيت أورن,Бейт Орен
9,בית אורן,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42319,בית אורן,Beit Oren,بيت أورن,Бейт Орен
10,בית אורן,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41945,בית אורן,Beit Oren,بيت أورن,Бейт Орен
11,בית אורן,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39229,בית אורן,Beit Oren,بيت أورن,Бейт Орен
12,בית אורן,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37314,בית אורן,Beit Oren,بيت أورن,Бейт Орен
