,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בית הלל,24.11.2024,08:08:05,2024-11-24T08:08:00,1,ירי רקטות וטילים,1,52034,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
1,בית הלל,24.11.2024,00:10:11,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51920,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
2,בית הלל,22.11.2024,14:32:42,2024-11-22T14:33:00,1,ירי רקטות וטילים,1,51732,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
3,בית הלל,21.11.2024,12:48:35,2024-11-21T12:49:00,1,ירי רקטות וטילים,1,51668,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
4,בית הלל,15.11.2024,17:12:12,2024-11-15T17:12:00,2,חדירת כלי טיס עוין,6,50931,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
5,בית הלל,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50835,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
6,בית הלל,14.11.2024,16:44:11,2024-11-14T16:44:00,1,ירי רקטות וטילים,1,50764,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
7,בית הלל,13.11.2024,17:21:11,2024-11-13T17:21:00,2,חדירת כלי טיס עוין,6,50569,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
8,בית הלל,13.11.2024,16:05:09,2024-11-13T16:05:00,1,ירי רקטות וטילים,1,50557,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
9,בית הלל,12.11.2024,07:02:13,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50249,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
10,בית הלל,10.11.2024,23:36:21,2024-11-10T23:36:00,2,חדירת כלי טיס עוין,6,49931,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
11,בית הלל,10.11.2024,09:13:27,2024-11-10T09:13:00,1,ירי רקטות וטילים,1,49896,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
12,בית הלל,10.11.2024,00:47:20,2024-11-10T00:47:00,2,חדירת כלי טיס עוין,6,49887,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
13,בית הלל,10.11.2024,00:46:20,2024-11-10T00:46:00,2,חדירת כלי טיס עוין,6,49884,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
14,בית הלל,09.11.2024,16:55:50,2024-11-09T16:56:00,1,ירי רקטות וטילים,1,49874,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
15,בית הלל,09.11.2024,06:59:01,2024-11-09T06:59:00,1,ירי רקטות וטילים,1,49800,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
16,בית הלל,08.11.2024,17:11:34,2024-11-08T17:12:00,1,ירי רקטות וטילים,1,49787,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
17,בית הלל,08.11.2024,15:39:59,2024-11-08T15:40:00,2,חדירת כלי טיס עוין,6,49757,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
18,בית הלל,06.11.2024,09:01:39,2024-11-06T09:02:00,1,ירי רקטות וטילים,1,49129,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
19,בית הלל,02.11.2024,08:27:32,2024-11-02T08:28:00,2,חדירת כלי טיס עוין,6,48574,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
20,בית הלל,01.11.2024,06:39:24,2024-11-01T06:39:00,1,ירי רקטות וטילים,1,48385,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
21,בית הלל,30.10.2024,21:43:32,2024-10-30T21:44:00,1,ירי רקטות וטילים,1,48236,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
22,בית הלל,29.10.2024,14:51:13,2024-10-29T14:51:00,1,ירי רקטות וטילים,1,47935,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
23,בית הלל,29.10.2024,08:56:07,2024-10-29T08:56:00,2,חדירת כלי טיס עוין,6,47604,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
24,בית הלל,29.10.2024,08:54:00,2024-10-29T08:54:00,2,חדירת כלי טיס עוין,6,47594,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
25,בית הלל,28.10.2024,07:13:05,2024-10-28T07:13:00,1,ירי רקטות וטילים,1,47471,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
26,בית הלל,25.10.2024,19:20:05,2024-10-25T19:20:00,1,ירי רקטות וטילים,1,47164,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
27,בית הלל,24.10.2024,18:17:51,2024-10-24T18:18:00,2,חדירת כלי טיס עוין,6,47024,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
28,בית הלל,21.10.2024,16:52:24,2024-10-21T16:52:00,1,ירי רקטות וטילים,1,46172,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
29,בית הלל,20.10.2024,19:01:29,2024-10-20T19:01:00,1,ירי רקטות וטילים,1,45816,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
30,בית הלל,20.10.2024,03:33:49,2024-10-20T03:34:00,1,ירי רקטות וטילים,1,45545,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
31,בית הלל,19.10.2024,17:40:25,2024-10-19T17:40:00,1,ירי רקטות וטילים,1,45504,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
32,בית הלל,15.10.2024,05:32:16,2024-10-15T05:32:00,1,ירי רקטות וטילים,1,44604,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
33,בית הלל,13.10.2024,12:57:44,2024-10-13T12:58:00,1,ירי רקטות וטילים,1,44010,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
34,בית הלל,12.10.2024,16:59:01,2024-10-12T16:59:00,1,ירי רקטות וטילים,1,43835,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
35,בית הלל,10.10.2024,13:56:57,2024-10-10T13:57:00,1,ירי רקטות וטילים,1,43398,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
36,בית הלל,10.10.2024,10:02:37,2024-10-10T10:03:00,1,ירי רקטות וטילים,1,43371,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
37,בית הלל,09.10.2024,14:04:53,2024-10-09T14:05:00,2,חדירת כלי טיס עוין,6,43215,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
38,בית הלל,07.10.2024,16:13:53,2024-10-07T16:14:00,1,ירי רקטות וטילים,1,42622,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
39,בית הלל,07.10.2024,16:09:21,2024-10-07T16:09:00,1,ירי רקטות וטילים,1,42614,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
40,בית הלל,06.10.2024,20:15:18,2024-10-06T20:15:00,1,ירי רקטות וטילים,1,42390,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
41,בית הלל,02.10.2024,14:50:10,2024-10-02T14:50:00,1,ירי רקטות וטילים,1,41607,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
42,בית הלל,02.10.2024,08:35:54,2024-10-02T08:36:00,1,ירי רקטות וטילים,1,41518,בית הלל,Beit Hillel,بيت هيلل,Бейт Хилель
