,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בית העלמין החדש נהריה,24.11.2024,13:04:16,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52209,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
1,בית העלמין החדש נהריה,22.11.2024,21:08:36,2024-11-22T21:09:00,2,חדירת כלי טיס עוין,6,51816,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
2,בית העלמין החדש נהריה,18.11.2024,19:10:17,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51206,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
3,בית העלמין החדש נהריה,16.11.2024,14:44:55,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51021,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
4,בית העלמין החדש נהריה,15.11.2024,00:18:44,2024-11-15T00:19:00,1,ירי רקטות וטילים,1,50859,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
5,בית העלמין החדש נהריה,15.11.2024,00:18:03,2024-11-15T00:18:00,1,ירי רקטות וטילים,1,50854,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
6,בית העלמין החדש נהריה,13.11.2024,13:08:40,2024-11-13T13:09:00,1,ירי רקטות וטילים,1,50493,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
7,בית העלמין החדש נהריה,12.11.2024,16:35:09,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50361,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
8,בית העלמין החדש נהריה,12.11.2024,16:30:26,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50348,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
9,בית העלמין החדש נהריה,12.11.2024,14:24:37,2024-11-12T14:25:00,2,חדירת כלי טיס עוין,6,50321,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
10,בית העלמין החדש נהריה,12.11.2024,09:24:40,2024-11-12T09:25:00,2,חדירת כלי טיס עוין,6,50263,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
11,בית העלמין החדש נהריה,08.11.2024,14:56:20,2024-11-08T14:56:00,1,ירי רקטות וטילים,1,49691,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
12,בית העלמין החדש נהריה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49178,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
13,בית העלמין החדש נהריה,05.11.2024,17:19:34,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49117,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
14,בית העלמין החדש נהריה,05.11.2024,17:18:43,2024-11-05T17:19:00,1,ירי רקטות וטילים,1,49093,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
15,בית העלמין החדש נהריה,02.11.2024,15:54:25,2024-11-02T15:54:00,1,ירי רקטות וטילים,1,48727,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
16,בית העלמין החדש נהריה,28.10.2024,14:34:45,2024-10-28T14:35:00,1,ירי רקטות וטילים,1,47518,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
17,בית העלמין החדש נהריה,24.10.2024,09:53:18,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46918,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
18,בית העלמין החדש נהריה,24.10.2024,09:52:35,2024-10-24T09:53:00,1,ירי רקטות וטילים,1,46895,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
19,בית העלמין החדש נהריה,22.10.2024,13:27:16,2024-10-22T13:27:00,1,ירי רקטות וטילים,1,46345,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
20,בית העלמין החדש נהריה,20.10.2024,11:10:13,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45600,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
21,בית העלמין החדש נהריה,19.10.2024,10:35:25,2024-10-19T10:35:00,1,ירי רקטות וטילים,1,45413,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
22,בית העלמין החדש נהריה,15.10.2024,14:31:17,2024-10-15T14:31:00,2,חדירת כלי טיס עוין,6,44751,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
23,בית העלמין החדש נהריה,13.10.2024,09:01:24,2024-10-13T09:01:00,1,ירי רקטות וטילים,1,43936,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
24,בית העלמין החדש נהריה,07.10.2024,17:08:29,2024-10-07T17:08:00,1,ירי רקטות וטילים,1,42640,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
25,בית העלמין החדש נהריה,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39548,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
26,בית העלמין החדש נהריה,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39246,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
27,בית העלמין החדש נהריה,28.09.2024,13:15:29,2024-09-28T13:15:00,1,ירי רקטות וטילים,1,38857,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
28,בית העלמין החדש נהריה,28.09.2024,10:42:53,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38731,בית העלמין החדש נהריה,Nahariya Cemetery,مقبرة نهريا,Кладбище Нагария
