,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בית העלמין החדש עכו,24.11.2024,18:12:31,2024-11-24T18:13:00,1,ירי רקטות וטילים,1,52390,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
1,בית העלמין החדש עכו,24.11.2024,15:32:22,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52286,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
2,בית העלמין החדש עכו,17.11.2024,10:12:14,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51083,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
3,בית העלמין החדש עכו,16.11.2024,14:45:16,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51031,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
4,בית העלמין החדש עכו,15.11.2024,06:54:29,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50888,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
5,בית העלמין החדש עכו,14.11.2024,18:48:22,2024-11-14T18:48:00,2,חדירת כלי טיס עוין,6,50788,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
6,בית העלמין החדש עכו,13.11.2024,14:55:29,2024-11-13T14:55:00,2,חדירת כלי טיס עוין,6,50529,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
7,בית העלמין החדש עכו,11.11.2024,16:03:08,2024-11-11T16:03:00,1,ירי רקטות וטילים,1,50198,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
8,בית העלמין החדש עכו,09.11.2024,09:27:12,2024-11-09T09:27:00,1,ירי רקטות וטילים,1,49827,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
9,בית העלמין החדש עכו,08.11.2024,15:55:01,2024-11-08T15:55:00,1,ירי רקטות וטילים,1,49773,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
10,בית העלמין החדש עכו,08.11.2024,07:45:41,2024-11-08T07:46:00,1,ירי רקטות וטילים,1,49665,בית העלמין החדש עכו,Akko New Cemetery,المقبرة الجديدة عكا,Новое Кладбище Акко
