,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בית ספר שדה מירון,24.11.2024,14:58:44,2024-11-24T14:59:00,1,ירי רקטות וטילים,1,52272,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
1,בית ספר שדה מירון,19.11.2024,16:53:52,2024-11-19T16:54:00,1,ירי רקטות וטילים,1,51498,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
2,בית ספר שדה מירון,19.11.2024,09:02:27,2024-11-19T09:02:00,1,ירי רקטות וטילים,1,51388,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
3,בית ספר שדה מירון,09.11.2024,15:00:18,2024-11-09T15:00:00,1,ירי רקטות וטילים,1,49870,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
4,בית ספר שדה מירון,05.11.2024,09:09:39,2024-11-05T09:10:00,1,ירי רקטות וטילים,1,49076,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
5,בית ספר שדה מירון,04.11.2024,00:00:25,2024-11-04T00:00:00,1,ירי רקטות וטילים,1,48943,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
6,בית ספר שדה מירון,28.10.2024,17:04:04,2024-10-28T17:04:00,1,ירי רקטות וטילים,1,47541,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
7,בית ספר שדה מירון,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44990,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
8,בית ספר שדה מירון,13.10.2024,07:05:34,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43895,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
9,בית ספר שדה מירון,12.10.2024,20:01:33,2024-10-12T20:02:00,1,ירי רקטות וטילים,1,43845,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
10,בית ספר שדה מירון,04.10.2024,08:33:14,2024-10-04T08:33:00,1,ירי רקטות וטילים,1,41900,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
11,בית ספר שדה מירון,03.10.2024,12:24:33,2024-10-03T12:25:00,1,ירי רקטות וטילים,1,41755,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
12,בית ספר שדה מירון,01.10.2024,01:48:05,2024-10-01T01:48:00,1,ירי רקטות וטילים,1,39384,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
13,בית ספר שדה מירון,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38802,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
14,בית ספר שדה מירון,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38643,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
15,בית ספר שדה מירון,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38319,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
16,בית ספר שדה מירון,25.09.2024,10:33:46,2024-09-25T10:34:00,1,ירי רקטות וטילים,1,37819,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
17,בית ספר שדה מירון,20.09.2024,13:57:15,2024-09-20T13:57:00,1,ירי רקטות וטילים,1,36457,בית ספר שדה מירון,Sdeh Meron School,مدرسة سده ميرون,Школа Сде Мирон
