,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בית עלמין מורשה,24.11.2024,12:52:43,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52137,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
1,בית עלמין מורשה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51317,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
2,בית עלמין מורשה,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50387,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
3,בית עלמין מורשה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49215,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
4,בית עלמין מורשה,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46855,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
5,בית עלמין מורשה,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44398,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
6,בית עלמין מורשה,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42934,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
7,בית עלמין מורשה,07.10.2024,17:44:17,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42852,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
8,בית עלמין מורשה,01.10.2024,11:04:01,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39452,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
9,בית עלמין מורשה,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38038,בית עלמין מורשה,Morasha Cemetery,مقبرة موراشاه,Кладбище Мораша
