,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בן עמי,24.11.2024,13:03:53,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52188,בן עמי,Ben Ami,بن عامي,Бен Ами
1,בן עמי,24.11.2024,13:00:51,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52170,בן עמי,Ben Ami,بن عامي,Бен Ами
2,בן עמי,22.11.2024,21:10:41,2024-11-22T21:11:00,1,ירי רקטות וטילים,1,51828,בן עמי,Ben Ami,بن عامي,Бен Ами
3,בן עמי,22.11.2024,21:08:50,2024-11-22T21:09:00,2,חדירת כלי טיס עוין,6,51822,בן עמי,Ben Ami,بن عامي,Бен Ами
4,בן עמי,22.11.2024,21:07:48,2024-11-22T21:08:00,2,חדירת כלי טיס עוין,6,51813,בן עמי,Ben Ami,بن عامي,Бен Ами
5,בן עמי,22.11.2024,16:30:55,2024-11-22T16:31:00,1,ירי רקטות וטילים,1,51751,בן עמי,Ben Ami,بن عامي,Бен Ами
6,בן עמי,21.11.2024,06:31:43,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51636,בן עמי,Ben Ami,بن عامي,Бен Ами
7,בן עמי,20.11.2024,16:43:01,2024-11-20T16:43:00,1,ירי רקטות וטילים,1,51608,בן עמי,Ben Ami,بن عامي,Бен Ами
8,בן עמי,20.11.2024,16:19:34,2024-11-20T16:20:00,1,ירי רקטות וטילים,1,51600,בן עמי,Ben Ami,بن عامي,Бен Ами
9,בן עמי,20.11.2024,06:32:40,2024-11-20T06:33:00,2,חדירת כלי טיס עוין,6,51546,בן עמי,Ben Ami,بن عامي,Бен Ами
10,בן עמי,20.11.2024,06:30:20,2024-11-20T06:30:00,2,חדירת כלי טיס עוין,6,51540,בן עמי,Ben Ami,بن عامي,Бен Ами
11,בן עמי,18.11.2024,19:10:26,2024-11-18T19:10:00,1,ירי רקטות וטילים,1,51211,בן עמי,Ben Ami,بن عامي,Бен Ами
12,בן עמי,18.11.2024,11:05:35,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51143,בן עמי,Ben Ami,بن عامي,Бен Ами
13,בן עמי,18.11.2024,11:04:54,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51132,בן עמי,Ben Ami,بن عامي,Бен Ами
14,בן עמי,16.11.2024,10:00:36,2024-11-16T10:01:00,1,ירי רקטות וטילים,1,50976,בן עמי,Ben Ami,بن عامي,Бен Ами
15,בן עמי,15.11.2024,00:18:44,2024-11-15T00:19:00,1,ירי רקטות וטילים,1,50860,בן עמי,Ben Ami,بن عامي,Бен Ами
16,בן עמי,15.11.2024,00:17:59,2024-11-15T00:18:00,1,ירי רקטות וטילים,1,50853,בן עמי,Ben Ami,بن عامي,Бен Ами
17,בן עמי,14.11.2024,18:44:07,2024-11-14T18:44:00,2,חדירת כלי טיס עוין,6,50775,בן עמי,Ben Ami,بن عامي,Бен Ами
18,בן עמי,13.11.2024,14:51:11,2024-11-13T14:51:00,2,חדירת כלי טיס עוין,6,50513,בן עמי,Ben Ami,بن عامي,Бен Ами
