,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בני ברק,24.11.2024,12:52:43,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52133,בני ברק,Bnei Brak,بني براك,Бней Брак
1,בני ברק,18.11.2024,20:45:44,2024-11-18T20:46:00,1,ירי רקטות וטילים,1,51219,בני ברק,Bnei Brak,بني براك,Бней Брак
2,בני ברק,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50365,בני ברק,Bnei Brak,بني براك,Бней Брак
3,בני ברק,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49376,בני ברק,Bnei Brak,بني براك,Бней Брак
4,בני ברק,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49211,בני ברק,Bnei Brak,بني براك,Бней Брак
5,בני ברק,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46824,בני ברק,Bnei Brak,بني براك,Бней Брак
6,בני ברק,23.10.2024,08:03:00,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46502,בני ברק,Bnei Brak,بني براك,Бней Брак
7,בני ברק,22.10.2024,07:43:53,2024-10-22T07:44:00,1,ירי רקטות וטילים,1,46303,בני ברק,Bnei Brak,بني براك,Бней Брак
8,בני ברק,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44345,בני ברק,Bnei Brak,بني براك,Бней Брак
9,בני ברק,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42854,בני ברק,Bnei Brak,بني براك,Бней Брак
10,בני ברק,01.10.2024,11:04:01,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39445,בני ברק,Bnei Brak,بني براك,Бней Брак
11,בני ברק,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38969,בני ברק,Bnei Brak,بني براك,Бней Брак
12,בני ברק,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37986,בני ברק,Bnei Brak,بني براك,Бней Брак
