,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בני דרור,24.11.2024,07:27:27,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,52000,בני דרור,Bnei Dror,بني درور,Бней Дрор
1,בני דרור,19.11.2024,08:52:48,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51346,בני דרור,Bnei Dror,بني درور,Бней Дрор
2,בני דרור,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51249,בני דרור,Bnei Dror,بني درور,Бней Дрор
3,בני דרור,13.11.2024,17:46:07,2024-11-13T17:46:00,1,ירי רקטות וטילים,1,50676,בני דרור,Bnei Dror,بني درور,Бней Дрор
4,בני דרור,06.11.2024,11:21:23,2024-11-06T11:21:00,1,ירי רקטות וטילים,1,49145,בני דרור,Bnei Dror,بني درور,Бней Дрор
5,בני דרור,14.10.2024,17:37:02,2024-10-14T17:37:00,1,ירי רקטות וטילים,1,44557,בני דרור,Bnei Dror,بني درور,Бней Дрор
6,בני דרור,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44356,בני דרור,Bnei Dror,بني درور,Бней Дрор
7,בני דרור,07.10.2024,23:14:19,2024-10-07T23:14:00,1,ירי רקטות וטילים,1,42948,בני דרור,Bnei Dror,بني درور,Бней Дрор
8,בני דרור,25.09.2024,06:32:24,2024-09-25T06:32:00,1,ירי רקטות וטילים,1,37754,בני דרור,Bnei Dror,بني درور,Бней Дрор
9,בני דרור,12.10.2023,08:40:43,2023-10-12T08:41:00,1,ירי רקטות וטילים,1,21768,בני דרור,Bnei Dror,بني درور,Бней Дрор
