,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בני עטרות,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52124,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
1,בני עטרות,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50378,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
2,בני עטרות,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49382,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
3,בני עטרות,06.11.2024,11:22:19,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49276,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
4,בני עטרות,07.10.2024,17:43:49,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42713,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
5,בני עטרות,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40259,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
6,בני עטרות,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38998,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
7,בני עטרות,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38008,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
8,בני עטרות,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36154,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
9,בני עטרות,29.01.2024,16:51:00,2024-01-29T16:51:00,1,ירי רקטות וטילים,1,27921,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
10,בני עטרות,05.12.2023,15:21:21,2023-12-05T15:21:00,1,ירי רקטות וטילים,1,26172,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
11,בני עטרות,02.12.2023,22:02:47,2023-12-02T22:03:00,1,ירי רקטות וטילים,1,25982,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
12,בני עטרות,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25393,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
13,בני עטרות,02.11.2023,17:00:49,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24323,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
14,בני עטרות,28.10.2023,18:10:34,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23802,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
15,בני עטרות,24.10.2023,15:33:27,2023-10-24T15:33:00,1,ירי רקטות וטילים,1,23323,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
16,בני עטרות,24.10.2023,15:16:12,2023-10-24T15:16:00,1,ירי רקטות וטילים,1,23271,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
17,בני עטרות,17.10.2023,22:00:26,2023-10-17T22:00:00,1,ירי רקטות וטילים,1,22777,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
18,בני עטרות,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22727,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
19,בני עטרות,11.10.2023,15:26:29,2023-10-11T15:26:00,1,ירי רקטות וטילים,1,21410,בני עטרות,Bnei Atarot,بني عطاروت,Бней Атарот
