,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,בר יוחאי,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52297,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
1,בר יוחאי,24.11.2024,14:24:15,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52246,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
2,בר יוחאי,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51455,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
3,בר יוחאי,14.11.2024,06:58:38,2024-11-14T06:59:00,1,ירי רקטות וטילים,1,50721,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
4,בר יוחאי,09.11.2024,08:06:47,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49813,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
5,בר יוחאי,06.11.2024,14:55:23,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49333,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
6,בר יוחאי,04.11.2024,23:20:17,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49016,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
7,בר יוחאי,30.10.2024,15:01:00,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48107,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
8,בר יוחאי,30.10.2024,15:00:13,2024-10-30T15:00:00,1,ירי רקטות וטילים,1,48097,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
9,בר יוחאי,28.10.2024,20:05:46,2024-10-28T20:06:00,1,ירי רקטות וטילים,1,47554,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
10,בר יוחאי,20.10.2024,16:25:57,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45781,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
11,בר יוחאי,19.10.2024,23:58:44,2024-10-19T23:59:00,1,ירי רקטות וטילים,1,45528,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
12,בר יוחאי,18.10.2024,23:46:34,2024-10-18T23:47:00,1,ירי רקטות וטילים,1,45307,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
13,בר יוחאי,18.10.2024,22:31:03,2024-10-18T22:31:00,1,ירי רקטות וטילים,1,45294,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
14,בר יוחאי,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44991,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
15,בר יוחאי,16.10.2024,21:15:38,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44897,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
16,בר יוחאי,16.10.2024,02:32:07,2024-10-16T02:32:00,1,ירי רקטות וטילים,1,44809,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
17,בר יוחאי,14.10.2024,18:24:22,2024-10-14T18:24:00,1,ירי רקטות וטילים,1,44586,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
18,בר יוחאי,12.10.2024,10:56:20,2024-10-12T10:56:00,1,ירי רקטות וטילים,1,43759,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
19,בר יוחאי,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43577,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
20,בר יוחאי,09.10.2024,16:45:33,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43322,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
21,בר יוחאי,09.10.2024,16:44:13,2024-10-09T16:44:00,1,ירי רקטות וטילים,1,43285,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
22,בר יוחאי,08.10.2024,07:57:50,2024-10-08T07:58:00,1,ירי רקטות וטילים,1,43006,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
23,בר יוחאי,08.10.2024,04:50:45,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42994,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
24,בר יוחאי,05.10.2024,18:48:23,2024-10-05T18:48:00,1,ירי רקטות וטילים,1,42257,בר יוחאי,Bar Yochai,بار يوحاي,Бар Йохай
