,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ברעם,24.11.2024,14:24:03,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52236,ברעם,Baram,برعام,Барам
1,ברעם,24.11.2024,14:12:28,2024-11-24T14:12:00,1,ירי רקטות וטילים,1,52233,ברעם,Baram,برعام,Барам
2,ברעם,24.11.2024,11:46:21,2024-11-24T11:46:00,1,ירי רקטות וטילים,1,52091,ברעם,Baram,برعام,Барам
3,ברעם,20.11.2024,14:26:45,2024-11-20T14:27:00,1,ירי רקטות וטילים,1,51583,ברעם,Baram,برعام,Барам
4,ברעם,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51456,ברעם,Baram,برعام,Барам
5,ברעם,14.11.2024,13:57:33,2024-11-14T13:58:00,1,ירי רקטות וטילים,1,50739,ברעם,Baram,برعام,Барам
6,ברעם,13.11.2024,18:44:59,2024-11-13T18:45:00,1,ירי רקטות וטילים,1,50708,ברעם,Baram,برعام,Барам
7,ברעם,12.11.2024,17:11:26,2024-11-12T17:11:00,2,חדירת כלי טיס עוין,6,50420,ברעם,Baram,برعام,Барам
8,ברעם,09.11.2024,12:52:16,2024-11-09T12:52:00,1,ירי רקטות וטילים,1,49840,ברעם,Baram,برعام,Барам
9,ברעם,05.11.2024,10:35:31,2024-11-05T10:36:00,1,ירי רקטות וטילים,1,49084,ברעם,Baram,برعام,Барам
10,ברעם,03.11.2024,07:26:59,2024-11-03T07:27:00,1,ירי רקטות וטילים,1,48804,ברעם,Baram,برعام,Барам
11,ברעם,02.11.2024,12:37:48,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48653,ברעם,Baram,برعام,Барам
12,ברעם,30.10.2024,15:01:16,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48112,ברעם,Baram,برعام,Барам
13,ברעם,30.10.2024,15:00:40,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48104,ברעם,Baram,برعام,Барам
14,ברעם,19.10.2024,12:28:15,2024-10-19T12:28:00,2,חדירת כלי טיס עוין,6,45486,ברעם,Baram,برعام,Барам
15,ברעם,16.10.2024,21:15:48,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44902,ברעם,Baram,برعام,Барам
16,ברעם,11.10.2024,16:31:48,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43573,ברעם,Baram,برعام,Барам
17,ברעם,09.10.2024,16:45:43,2024-10-09T16:46:00,1,ירי רקטות וטילים,1,43331,ברעם,Baram,برعام,Барам
18,ברעם,08.10.2024,04:51:00,2024-10-08T04:51:00,1,ירי רקטות וטילים,1,42998,ברעם,Baram,برعام,Барам
19,ברעם,06.10.2024,15:39:18,2024-10-06T15:39:00,1,ירי רקטות וטילים,1,42367,ברעם,Baram,برعام,Барам
20,ברעם,05.10.2024,14:53:14,2024-10-05T14:53:00,1,ירי רקטות וטילים,1,42204,ברעם,Baram,برعام,Барам
21,ברעם,04.10.2024,18:32:58,2024-10-04T18:33:00,1,ירי רקטות וטילים,1,42082,ברעם,Baram,برعام,Барам
22,ברעם,04.10.2024,11:17:59,2024-10-04T11:18:00,1,ירי רקטות וטילים,1,41986,ברעם,Baram,برعام,Барам
23,ברעם,04.10.2024,11:17:17,2024-10-04T11:17:00,1,ירי רקטות וטילים,1,41983,ברעם,Baram,برعام,Барам
24,ברעם,03.10.2024,09:26:52,2024-10-03T09:27:00,1,ירי רקטות וטילים,1,41716,ברעם,Baram,برعام,Барам
25,ברעם,01.10.2024,06:10:06,2024-10-01T06:10:00,1,ירי רקטות וטילים,1,39392,ברעם,Baram,برعام,Барам
26,ברעם,28.09.2024,14:02:15,2024-09-28T14:02:00,1,ירי רקטות וטילים,1,38916,ברעם,Baram,برعام,Барам
27,ברעם,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38776,ברעם,Baram,برعام,Барам
28,ברעם,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38678,ברעם,Baram,برعام,Барам
29,ברעם,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38281,ברעם,Baram,برعام,Барам
30,ברעם,21.09.2024,15:05:47,2024-09-21T15:06:00,1,ירי רקטות וטילים,1,36533,ברעם,Baram,برعام,Барам
31,ברעם,20.09.2024,17:07:55,2024-09-20T17:08:00,1,ירי רקטות וטילים,1,36484,ברעם,Baram,برعام,Барам
32,ברעם,20.09.2024,15:32:53,2024-09-20T15:33:00,1,ירי רקטות וטילים,1,36461,ברעם,Baram,برعام,Барам
33,ברעם,20.09.2024,13:02:36,2024-09-20T13:03:00,1,ירי רקטות וטילים,1,36429,ברעם,Baram,برعام,Барам
34,ברעם,17.09.2024,10:40:31,2024-09-17T10:41:00,1,ירי רקטות וטילים,1,36297,ברעם,Baram,برعام,Барам
35,ברעם,14.09.2024,15:40:40,2024-09-14T15:41:00,1,ירי רקטות וטילים,1,36115,ברעם,Baram,برعام,Барам
36,ברעם,25.08.2024,04:45:45,2024-08-25T04:46:00,1,ירי רקטות וטילים,1,35372,ברעם,Baram,برعام,Барам
37,ברעם,23.08.2024,06:53:54,2024-08-23T06:54:00,1,ירי רקטות וטילים,1,35316,ברעם,Baram,برعام,Барам
38,ברעם,23.08.2024,06:52:45,2024-08-23T06:53:00,1,ירי רקטות וטילים,1,35307,ברעם,Baram,برعام,Барам
39,ברעם,21.08.2024,08:23:40,2024-08-21T08:24:00,2,חדירת כלי טיס עוין,6,35226,ברעם,Baram,برعام,Барам
40,ברעם,20.08.2024,04:00:05,2024-08-20T04:00:00,1,ירי רקטות וטילים,1,35148,ברעם,Baram,برعام,Барам
41,ברעם,17.08.2024,17:12:59,2024-08-17T17:13:00,1,ירי רקטות וטילים,1,35082,ברעם,Baram,برعام,Барам
42,ברעם,10.08.2024,19:30:47,2024-08-10T19:31:00,2,חדירת כלי טיס עוין,6,34897,ברעם,Baram,برعام,Барам
43,ברעם,06.08.2024,17:00:13,2024-08-06T17:00:00,1,ירי רקטות וטילים,1,34788,ברעם,Baram,برعام,Барам
44,ברעם,03.08.2024,16:06:09,2024-08-03T16:06:00,1,ירי רקטות וטילים,1,34653,ברעם,Baram,برعام,Барам
45,ברעם,25.07.2024,07:52:02,2024-07-25T07:52:00,1,ירי רקטות וטילים,1,34390,ברעם,Baram,برعام,Барам
46,ברעם,21.07.2024,07:54:57,2024-07-21T07:55:00,1,ירי רקטות וטילים,1,34235,ברעם,Baram,برعام,Барам
47,ברעם,04.07.2024,12:14:09,2024-07-04T12:14:00,1,ירי רקטות וטילים,1,33784,ברעם,Baram,برعام,Барам
48,ברעם,04.07.2024,11:46:29,2024-07-04T11:46:00,1,ירי רקטות וטילים,1,33773,ברעם,Baram,برعام,Барам
49,ברעם,04.07.2024,11:04:48,2024-07-04T11:05:00,2,חדירת כלי טיס עוין,6,33720,ברעם,Baram,برعام,Барам
50,ברעם,04.07.2024,10:27:05,2024-07-04T10:27:00,2,חדירת כלי טיס עוין,6,33580,ברעם,Baram,برعام,Барам
51,ברעם,23.06.2024,12:08:06,2024-06-23T12:08:00,2,חדירת כלי טיס עוין,6,33299,ברעם,Baram,برعام,Барам
52,ברעם,14.06.2024,17:52:50,2024-06-14T17:53:00,1,ירי רקטות וטילים,1,33120,ברעם,Baram,برعام,Барам
53,ברעם,13.06.2024,14:07:00,2024-06-13T14:07:00,2,חדירת כלי טיס עוין,6,32923,ברעם,Baram,برعام,Барам
54,ברעם,13.06.2024,13:19:55,2024-06-13T13:20:00,2,חדירת כלי טיס עוין,6,32901,ברעם,Baram,برعام,Барам
55,ברעם,12.06.2024,11:53:16,2024-06-12T11:53:00,1,ירי רקטות וטילים,1,32765,ברעם,Baram,برعام,Барам
56,ברעם,12.06.2024,11:52:53,2024-06-12T11:53:00,2,חדירת כלי טיס עוין,6,32763,ברעם,Baram,برعام,Барам
57,ברעם,08.06.2024,11:38:45,2024-06-08T11:39:00,2,חדירת כלי טיס עוין,6,32416,ברעם,Baram,برعام,Барам
58,ברעם,05.06.2024,17:52:17,2024-06-05T17:52:00,1,ירי רקטות וטילים,1,32321,ברעם,Baram,برعام,Барам
59,ברעם,03.06.2024,14:30:06,2024-06-03T14:30:00,2,חדירת כלי טיס עוין,6,32197,ברעם,Baram,برعام,Барам
60,ברעם,24.05.2024,22:15:10,2024-05-24T22:15:00,2,חדירת כלי טיס עוין,6,31648,ברעם,Baram,برعام,Барам
61,ברעם,23.05.2024,23:35:55,2024-05-23T23:36:00,1,ירי רקטות וטילים,1,31575,ברעם,Baram,برعام,Барам
62,ברעם,21.05.2024,17:17:39,2024-05-21T17:18:00,1,ירי רקטות וטילים,1,31400,ברעם,Baram,برعام,Барам
63,ברעם,19.05.2024,16:44:42,2024-05-19T16:45:00,2,חדירת כלי טיס עוין,6,31307,ברעם,Baram,برعام,Барам
64,ברעם,19.05.2024,10:34:54,2024-05-19T10:35:00,2,חדירת כלי טיס עוין,6,31287,ברעם,Baram,برعام,Барам
65,ברעם,18.05.2024,18:51:27,2024-05-18T18:51:00,2,חדירת כלי טיס עוין,6,31265,ברעם,Baram,برعام,Барам
