,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ג'דידה מכר,24.11.2024,15:32:22,2024-11-24T15:32:00,1,ירי רקטות וטילים,1,52287,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
1,ג'דידה מכר,20.11.2024,06:34:57,2024-11-20T06:35:00,2,חדירת כלי טיס עוין,6,51553,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
2,ג'דידה מכר,17.11.2024,10:12:14,2024-11-17T10:12:00,1,ירי רקטות וטילים,1,51082,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
3,ג'דידה מכר,16.11.2024,14:45:12,2024-11-16T14:45:00,1,ירי רקטות וטילים,1,51029,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
4,ג'דידה מכר,15.11.2024,06:54:18,2024-11-15T06:54:00,1,ירי רקטות וטילים,1,50878,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
5,ג'דידה מכר,14.11.2024,18:48:52,2024-11-14T18:49:00,2,חדירת כלי טיס עוין,6,50790,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
6,ג'דידה מכר,14.11.2024,18:47:52,2024-11-14T18:48:00,2,חדירת כלי טיס עוין,6,50787,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
7,ג'דידה מכר,13.11.2024,14:56:52,2024-11-13T14:57:00,2,חדירת כלי טיס עוין,6,50530,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
8,ג'דידה מכר,13.11.2024,14:55:02,2024-11-13T14:55:00,2,חדירת כלי טיס עוין,6,50528,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
9,ג'דידה מכר,12.11.2024,09:28:00,2024-11-12T09:28:00,2,חדירת כלי טיס עוין,6,50274,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
10,ג'דידה מכר,11.11.2024,16:03:08,2024-11-11T16:03:00,1,ירי רקטות וטילים,1,50193,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
11,ג'דידה מכר,11.11.2024,15:43:05,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50156,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
12,ג'דידה מכר,09.11.2024,09:27:07,2024-11-09T09:27:00,1,ירי רקטות וטילים,1,49825,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
13,ג'דידה מכר,08.11.2024,15:55:01,2024-11-08T15:55:00,1,ירי רקטות וטילים,1,49772,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
14,ג'דידה מכר,08.11.2024,15:19:01,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49713,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
15,ג'דידה מכר,08.11.2024,07:45:41,2024-11-08T07:46:00,1,ירי רקטות וטילים,1,49662,ג'דידה מכר,Jadeidi-Makr,جديدة المكر,Дждейда Макр
