,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ג'לג'וליה,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52395,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
1,ג'לג'וליה,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52140,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
2,ג'לג'וליה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51250,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
3,ג'לג'וליה,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49739,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
4,ג'לג'וליה,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49234,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
5,ג'לג'וליה,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48456,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
6,ג'לג'וליה,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46816,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
7,ג'לג'וליה,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44357,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
8,ג'לג'וליה,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42913,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
9,ג'לג'וליה,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42806,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
10,ג'לג'וליה,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39611,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
11,ג'לג'וליה,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39419,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
12,ג'לג'וליה,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24557,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
13,ג'לג'וליה,31.10.2023,14:36:39,2023-10-31T14:37:00,1,ירי רקטות וטילים,1,24151,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
14,ג'לג'וליה,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23827,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
15,ג'לג'וליה,14.10.2023,21:01:04,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22261,ג'לג'וליה,Jaljulia,جلجوليه,Джальджулия
