,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,ג'ש - גוש חלב,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52298,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
1,ג'ש - גוש חלב,24.11.2024,14:24:03,2024-11-24T14:24:00,1,ירי רקטות וטילים,1,52237,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
2,ג'ש - גוש חלב,24.11.2024,11:46:14,2024-11-24T11:46:00,1,ירי רקטות וטילים,1,52090,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
3,ג'ש - גוש חלב,19.11.2024,16:54:02,2024-11-19T16:54:00,1,ירי רקטות וטילים,1,51500,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
4,ג'ש - גוש חלב,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51457,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
5,ג'ש - גוש חלב,16.11.2024,16:40:58,2024-11-16T16:41:00,1,ירי רקטות וטילים,1,51035,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
6,ג'ש - גוש חלב,09.11.2024,08:06:47,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49814,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
7,ג'ש - גוש חלב,05.11.2024,10:35:21,2024-11-05T10:35:00,1,ירי רקטות וטילים,1,49082,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
8,ג'ש - גוש חלב,02.11.2024,12:37:32,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48648,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
9,ג'ש - גוש חלב,30.10.2024,15:18:46,2024-10-30T15:19:00,1,ירי רקטות וטילים,1,48119,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
10,ג'ש - גוש חלב,30.10.2024,15:01:24,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48113,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
11,ג'ש - גוש חלב,30.10.2024,15:00:30,2024-10-30T15:01:00,1,ירי רקטות וטילים,1,48103,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
12,ג'ש - גוש חלב,30.10.2024,06:20:07,2024-10-30T06:20:00,1,ירי רקטות וטילים,1,48047,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
13,ג'ש - גוש חלב,28.10.2024,20:05:58,2024-10-28T20:06:00,1,ירי רקטות וטילים,1,47555,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
14,ג'ש - גוש חלב,24.10.2024,10:53:16,2024-10-24T10:53:00,1,ירי רקטות וטילים,1,46951,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
15,ג'ש - גוש חלב,20.10.2024,16:25:57,2024-10-20T16:26:00,1,ירי רקטות וטילים,1,45782,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
16,ג'ש - גוש חלב,20.10.2024,12:30:59,2024-10-20T12:31:00,1,ירי רקטות וטילים,1,45689,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
17,ג'ש - גוש חלב,16.10.2024,21:15:38,2024-10-16T21:16:00,1,ירי רקטות וטילים,1,44900,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
18,ג'ש - גוש חלב,16.10.2024,02:32:07,2024-10-16T02:32:00,1,ירי רקטות וטילים,1,44810,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
19,ג'ש - גוש חלב,11.10.2024,16:31:54,2024-10-11T16:32:00,1,ירי רקטות וטילים,1,43578,ג'ש - גוש חלב,Jish (Gush Halav),الجش,Джиш (Гуш Халав)
