,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גבעת השלושה,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52391,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
1,גבעת השלושה,24.11.2024,12:52:23,2024-11-24T12:52:00,1,ירי רקטות וטילים,1,52111,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
2,גבעת השלושה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51232,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
3,גבעת השלושה,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50366,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
4,גבעת השלושה,08.11.2024,15:18:42,2024-11-08T15:19:00,1,ירי רקטות וטילים,1,49704,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
5,גבעת השלושה,06.11.2024,16:18:39,2024-11-06T16:19:00,1,ירי רקטות וטילים,1,49410,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
6,גבעת השלושה,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49230,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
7,גבעת השלושה,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46814,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
8,גבעת השלושה,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42907,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
9,גבעת השלושה,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42792,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
10,גבעת השלושה,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39605,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
11,גבעת השלושה,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39416,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
12,גבעת השלושה,28.09.2024,17:42:03,2024-09-28T17:42:00,1,ירי רקטות וטילים,1,39064,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
13,גבעת השלושה,04.12.2023,14:01:15,2023-12-04T14:01:00,1,ירי רקטות וטילים,1,26080,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
14,גבעת השלושה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25358,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
15,גבעת השלושה,05.11.2023,20:01:48,2023-11-05T20:02:00,1,ירי רקטות וטילים,1,24564,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
16,גבעת השלושה,31.10.2023,14:37:54,2023-10-31T14:38:00,1,ירי רקטות וטילים,1,24157,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
17,גבעת השלושה,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23848,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
18,גבעת השלושה,25.10.2023,21:31:15,2023-10-25T21:31:00,1,ירי רקטות וטילים,1,23476,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
19,גבעת השלושה,24.10.2023,17:01:13,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23345,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
20,גבעת השלושה,14.10.2023,21:02:19,2023-10-14T21:02:00,1,ירי רקטות וטילים,1,22279,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
21,גבעת השלושה,07.10.2023,21:20:58,2023-10-07T21:21:00,1,ירי רקטות וטילים,1,20511,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
22,גבעת השלושה,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20258,גבעת השלושה,Givat HaShlosha,جفعات هشلوشا,Гиват ха-Шлоша
