,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גבעת וולפסון,24.11.2024,18:11:55,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52367,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
1,גבעת וולפסון,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49502,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
2,גבעת וולפסון,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49035,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
3,גבעת וולפסון,22.10.2024,04:51:29,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46218,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
4,גבעת וולפסון,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45705,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
5,גבעת וולפסון,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45557,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
6,גבעת וולפסון,15.10.2024,07:27:04,2024-10-15T07:27:00,1,ירי רקטות וטילים,1,44661,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
7,גבעת וולפסון,15.10.2024,07:24:59,2024-10-15T07:25:00,1,ירי רקטות וטילים,1,44613,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
8,גבעת וולפסון,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43778,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
9,גבעת וולפסון,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42320,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
10,גבעת וולפסון,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41946,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
11,גבעת וולפסון,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39230,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
12,גבעת וולפסון,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37315,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
13,גבעת וולפסון,23.09.2024,17:41:48,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37201,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
14,גבעת וולפסון,23.09.2024,16:15:39,2024-09-23T16:16:00,1,ירי רקטות וטילים,1,37048,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
15,גבעת וולפסון,22.09.2024,01:10:21,2024-09-22T01:10:00,1,ירי רקטות וטילים,1,36565,גבעת וולפסון,Givat Wolfson,جفعات فولفسون,Гиват Вольфсон
