,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גבעת חן,24.11.2024,12:53:48,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52154,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
1,גבעת חן,19.11.2024,08:53:04,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51361,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
2,גבעת חן,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51233,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
3,גבעת חן,13.11.2024,17:44:54,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50651,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
4,גבעת חן,12.11.2024,16:36:09,2024-11-12T16:36:00,1,ירי רקטות וטילים,1,50402,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
5,גבעת חן,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49212,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
6,גבעת חן,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48452,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
7,גבעת חן,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46825,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
8,גבעת חן,23.10.2024,08:04:16,2024-10-23T08:04:00,1,ירי רקטות וטילים,1,46549,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
9,גבעת חן,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44346,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
10,גבעת חן,11.10.2024,21:55:44,2024-10-11T21:56:00,2,חדירת כלי טיס עוין,6,43727,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
11,גבעת חן,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42908,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
12,גבעת חן,07.10.2024,17:44:29,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42855,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
13,גבעת חן,01.10.2024,11:03:18,2024-10-01T11:03:00,1,ירי רקטות וטילים,1,39411,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
14,גבעת חן,21.12.2023,13:30:29,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26883,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
15,גבעת חן,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25359,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
16,גבעת חן,17.11.2023,18:02:24,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25162,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
17,גבעת חן,31.10.2023,14:31:22,2023-10-31T14:31:00,1,ירי רקטות וטילים,1,24138,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
18,גבעת חן,29.10.2023,12:00:41,2023-10-29T12:01:00,1,ירי רקטות וטילים,1,23929,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
19,גבעת חן,09.10.2023,12:02:17,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20853,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
20,גבעת חן,07.10.2023,20:00:41,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20287,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
21,גבעת חן,07.10.2023,06:33:21,2023-10-07T06:33:00,1,ירי רקטות וטילים,1,16637,גבעת חן,Givat Hen,جفعات حين,Гиват Хен
