,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גבעת כ''ח,24.11.2024,12:52:33,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52125,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
1,גבעת כ''ח,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50379,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
2,גבעת כ''ח,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49383,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
3,גבעת כ''ח,06.11.2024,11:22:42,2024-11-06T11:23:00,1,ירי רקטות וטילים,1,49288,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
4,גבעת כ''ח,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42807,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
5,גבעת כ''ח,01.10.2024,19:39:37,2024-10-01T19:40:00,1,ירי רקטות וטילים,1,40260,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
6,גבעת כ''ח,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38999,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
7,גבעת כ''ח,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38009,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
8,גבעת כ''ח,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36155,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
9,גבעת כ''ח,02.12.2023,22:01:13,2023-12-02T22:01:00,1,ירי רקטות וטילים,1,25925,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
10,גבעת כ''ח,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25394,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
11,גבעת כ''ח,17.11.2023,18:02:14,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25148,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
12,גבעת כ''ח,02.11.2023,17:01:28,2023-11-02T17:01:00,1,ירי רקטות וטילים,1,24340,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
13,גבעת כ''ח,24.10.2023,15:16:12,2023-10-24T15:16:00,1,ירי רקטות וטילים,1,23272,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
14,גבעת כ''ח,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22728,גבעת כ''ח,Giv'at Ko'ah,جفعات كواح,Гиват Коах
