,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גבעת שמואל,24.11.2024,12:52:43,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52134,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
1,גבעת שמואל,18.11.2024,20:45:44,2024-11-18T20:46:00,1,ירי רקטות וטילים,1,51221,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
2,גבעת שמואל,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50367,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
3,גבעת שמואל,06.11.2024,16:17:26,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49377,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
4,גבעת שמואל,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49194,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
5,גבעת שמואל,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46826,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
6,גבעת שמואל,23.10.2024,08:03:09,2024-10-23T08:03:00,1,ירי רקטות וטילים,1,46508,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
7,גבעת שמואל,14.10.2024,17:35:30,2024-10-14T17:36:00,1,ירי רקטות וטילים,1,44502,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
8,גבעת שמואל,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42793,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
9,גבעת שמואל,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38971,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
10,גבעת שמואל,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37987,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
11,גבעת שמואל,21.12.2023,13:30:15,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26875,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
12,גבעת שמואל,19.12.2023,13:02:53,2023-12-19T13:03:00,1,ירי רקטות וטילים,1,26674,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
13,גבעת שמואל,08.12.2023,17:58:07,2023-12-08T17:58:00,1,ירי רקטות וטילים,1,26314,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
14,גבעת שמואל,05.12.2023,15:20:15,2023-12-05T15:20:00,1,ירי רקטות וטילים,1,26155,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
15,גבעת שמואל,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25360,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
16,גבעת שמואל,17.11.2023,18:02:13,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25154,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
17,גבעת שמואל,10.11.2023,13:30:35,2023-11-10T13:31:00,1,ירי רקטות וטילים,1,24833,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
18,גבעת שמואל,05.11.2023,20:02:31,2023-11-05T20:03:00,1,ירי רקטות וטילים,1,24582,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
19,גבעת שמואל,28.10.2023,18:10:44,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23825,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
20,גבעת שמואל,27.10.2023,14:30:28,2023-10-27T14:30:00,1,ירי רקטות וטילים,1,23662,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
21,גבעת שמואל,26.10.2023,22:01:43,2023-10-26T22:02:00,1,ירי רקטות וטילים,1,23619,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
22,גבעת שמואל,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23512,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
23,גבעת שמואל,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23365,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
24,גבעת שמואל,19.10.2023,14:32:00,2023-10-19T14:32:00,1,ירי רקטות וטילים,1,22849,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
25,גבעת שמואל,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22721,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
26,גבעת שמואל,17.10.2023,19:01:25,2023-10-17T19:01:00,1,ירי רקטות וטילים,1,22652,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
27,גבעת שמואל,15.10.2023,18:55:51,2023-10-15T18:56:00,1,ירי רקטות וטילים,1,22364,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
28,גבעת שמואל,13.10.2023,21:59:23,2023-10-13T21:59:00,1,ירי רקטות וטילים,1,22075,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
29,גבעת שמואל,10.10.2023,15:23:55,2023-10-10T15:24:00,1,ירי רקטות וטילים,1,21175,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
30,גבעת שמואל,09.10.2023,12:02:17,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20854,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
31,גבעת שמואל,07.10.2023,21:19:42,2023-10-07T21:20:00,1,ירי רקטות וטילים,1,20471,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
32,גבעת שמואל,07.10.2023,19:59:46,2023-10-07T20:00:00,1,ירי רקטות וטילים,1,20198,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
33,גבעת שמואל,07.10.2023,09:00:29,2023-10-07T09:00:00,1,ירי רקטות וטילים,1,18621,גבעת שמואל,Givat Shmuel,جفعات شموئيل,Гиват Шмуэль
