,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גורנות הגליל,24.11.2024,08:44:27,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52049,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
1,גורנות הגליל,24.11.2024,06:56:21,2024-11-24T06:56:00,2,חדירת כלי טיס עוין,6,51973,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
2,גורנות הגליל,24.11.2024,06:55:45,2024-11-24T06:56:00,1,ירי רקטות וטילים,1,51971,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
3,גורנות הגליל,24.11.2024,06:25:39,2024-11-24T06:26:00,2,חדירת כלי טיס עוין,6,51952,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
4,גורנות הגליל,24.11.2024,06:20:05,2024-11-24T06:20:00,2,חדירת כלי טיס עוין,6,51941,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
5,גורנות הגליל,22.11.2024,16:43:22,2024-11-22T16:43:00,1,ירי רקטות וטילים,1,51780,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
6,גורנות הגליל,22.11.2024,16:36:53,2024-11-22T16:37:00,1,ירי רקטות וטילים,1,51773,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
7,גורנות הגליל,19.11.2024,15:23:23,2024-11-19T15:23:00,1,ירי רקטות וטילים,1,51493,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
8,גורנות הגליל,19.11.2024,07:00:52,2024-11-19T07:01:00,1,ירי רקטות וטילים,1,51340,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
9,גורנות הגליל,18.11.2024,11:48:16,2024-11-18T11:48:00,1,ירי רקטות וטילים,1,51157,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
10,גורנות הגליל,18.11.2024,09:49:14,2024-11-18T09:49:00,1,ירי רקטות וטילים,1,51124,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
11,גורנות הגליל,15.11.2024,15:58:28,2024-11-15T15:58:00,1,ירי רקטות וטילים,1,50925,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
12,גורנות הגליל,11.11.2024,11:54:26,2024-11-11T11:54:00,1,ירי רקטות וטילים,1,50001,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
13,גורנות הגליל,10.11.2024,12:39:18,2024-11-10T12:39:00,1,ירי רקטות וטילים,1,49913,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
14,גורנות הגליל,07.11.2024,14:24:39,2024-11-07T14:25:00,1,ירי רקטות וטילים,1,49493,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
15,גורנות הגליל,06.11.2024,16:07:14,2024-11-06T16:07:00,1,ירי רקטות וטילים,1,49352,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
16,גורנות הגליל,02.11.2024,08:14:49,2024-11-02T08:15:00,2,חדירת כלי טיס עוין,6,48539,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
17,גורנות הגליל,29.10.2024,10:38:38,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47795,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
18,גורנות הגליל,29.10.2024,10:38:36,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47803,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
19,גורנות הגליל,29.10.2024,10:38:35,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47820,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
20,גורנות הגליל,29.10.2024,10:38:28,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47735,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
21,גורנות הגליל,29.10.2024,10:38:21,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47704,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
22,גורנות הגליל,26.10.2024,13:19:51,2024-10-26T13:20:00,2,חדירת כלי טיס עוין,6,47235,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
23,גורנות הגליל,26.10.2024,12:24:18,2024-10-26T12:24:00,1,ירי רקטות וטילים,1,47217,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
24,גורנות הגליל,21.10.2024,15:43:49,2024-10-21T15:44:00,1,ירי רקטות וטילים,1,46077,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
25,גורנות הגליל,20.10.2024,11:10:02,2024-10-20T11:10:00,1,ירי רקטות וטילים,1,45592,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
26,גורנות הגליל,17.10.2024,07:29:33,2024-10-17T07:30:00,1,ירי רקטות וטילים,1,45115,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
27,גורנות הגליל,13.10.2024,19:01:13,2024-10-13T19:01:00,1,ירי רקטות וטילים,1,44127,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
28,גורנות הגליל,13.10.2024,18:35:42,2024-10-13T18:36:00,1,ירי רקטות וטילים,1,44087,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
29,גורנות הגליל,13.10.2024,07:05:40,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43908,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
30,גורנות הגליל,12.10.2024,03:49:17,2024-10-12T03:49:00,1,ירי רקטות וטילים,1,43740,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
31,גורנות הגליל,07.10.2024,14:57:07,2024-10-07T14:57:00,1,ירי רקטות וטילים,1,42597,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
32,גורנות הגליל,07.10.2024,12:40:49,2024-10-07T12:41:00,1,ירי רקטות וטילים,1,42570,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
33,גורנות הגליל,01.10.2024,23:44:07,2024-10-01T23:44:00,1,ירי רקטות וטילים,1,41488,גורנות הגליל,Gornot HaGalil,جورنوت هجاليل,Горнот ха-Галиль
