,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גני עם,24.11.2024,12:53:42,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52148,גני עם,Ganei Am,جاني عام,Ганей Ам
1,גני עם,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51253,גני עם,Ganei Am,جاني عام,Ганей Ам
2,גני עם,08.11.2024,15:20:00,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49737,גני עם,Ganei Am,جاني عام,Ганей Ам
3,גני עם,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49236,גני עם,Ganei Am,جاني عام,Ганей Ам
4,גני עם,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48458,גני עם,Ganei Am,جاني عام,Ганей Ам
5,גני עם,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46840,גני עם,Ganei Am,جاني عام,Ганей Ам
6,גני עם,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44359,גני עם,Ganei Am,جاني عام,Ганей Ам
7,גני עם,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42914,גני עם,Ganei Am,جاني عام,Ганей Ам
8,גני עם,07.10.2024,17:44:10,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42787,גני עם,Ganei Am,جاني عام,Ганей Ам
9,גני עם,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39420,גני עם,Ganei Am,جاني عام,Ганей Ам
10,גני עם,21.12.2023,13:30:32,2023-12-21T13:31:00,1,ירי רקטות וטילים,1,26889,גני עם,Ganei Am,جاني عام,Ганей Ам
11,גני עם,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25397,גני עם,Ganei Am,جاني عام,Ганей Ам
12,גני עם,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24552,גני עם,Ganei Am,جاني عام,Ганей Ам
13,גני עם,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23530,גני עם,Ganei Am,جاني عام,Ганей Ам
14,גני עם,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23368,גני עם,Ganei Am,جاني عام,Ганей Ам
15,גני עם,18.10.2023,18:28:43,2023-10-18T18:29:00,1,ירי רקטות וטילים,1,22822,גני עם,Ganei Am,جاني عام,Ганей Ам
16,גני עם,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20269,גני עם,Ganei Am,جاني عام,Ганей Ам
