,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גני תקווה,24.11.2024,12:52:38,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52131,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
1,גני תקווה,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51254,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
2,גני תקווה,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50382,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
3,גני תקווה,06.11.2024,16:17:21,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49374,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
4,גני תקווה,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49200,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
5,גני תקווה,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46841,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
6,גני תקווה,14.10.2024,17:35:30,2024-10-14T17:36:00,1,ירי רקטות וטילים,1,44510,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
7,גני תקווה,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42808,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
8,גני תקווה,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,39001,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
9,גני תקווה,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,38011,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
10,גני תקווה,15.09.2024,06:32:34,2024-09-15T06:33:00,1,ירי רקטות וטילים,1,36226,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
11,גני תקווה,21.12.2023,13:30:21,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26882,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
12,גני תקווה,19.12.2023,13:02:53,2023-12-19T13:03:00,1,ירי רקטות וטילים,1,26697,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
13,גני תקווה,08.12.2023,17:58:07,2023-12-08T17:58:00,1,ירי רקטות וטילים,1,26319,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
14,גני תקווה,04.12.2023,14:01:15,2023-12-04T14:01:00,1,ירי רקטות וטילים,1,26084,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
15,גני תקווה,02.12.2023,22:01:25,2023-12-02T22:01:00,1,ירי רקטות וטילים,1,25936,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
16,גני תקווה,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25398,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
17,גני תקווה,17.11.2023,18:02:13,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25161,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
18,גני תקווה,10.11.2023,13:30:35,2023-11-10T13:31:00,1,ירי רקטות וטילים,1,24837,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
19,גני תקווה,05.11.2023,22:01:40,2023-11-05T22:02:00,1,ירי רקטות וטילים,1,24597,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
20,גני תקווה,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23842,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
21,גני תקווה,27.10.2023,19:31:03,2023-10-27T19:31:00,1,ירי רקטות וטילים,1,23723,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
22,גני תקווה,27.10.2023,14:30:28,2023-10-27T14:30:00,1,ירי רקטות וטילים,1,23668,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
23,גני תקווה,26.10.2023,18:04:01,2023-10-26T18:04:00,1,ירי רקטות וטילים,1,23587,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
24,גני תקווה,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23531,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
25,גני תקווה,24.10.2023,17:01:13,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23348,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
26,גני תקווה,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22715,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
27,גני תקווה,16.10.2023,16:44:46,2023-10-16T16:45:00,1,ירי רקטות וטילים,1,22443,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
28,גני תקווה,07.10.2023,21:19:42,2023-10-07T21:20:00,1,ירי רקטות וטילים,1,20476,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
29,גני תקווה,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20270,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
30,גני תקווה,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17685,גני תקווה,Ganei Tikva,جاني تكفا,Ганей Тиква
