,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,געתון,24.11.2024,13:04:01,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52193,געתון,Ga'aton,جعتون,Гаатон
1,געתון,15.11.2024,00:18:47,2024-11-15T00:19:00,1,ירי רקטות וטילים,1,50865,געתון,Ga'aton,جعتون,Гаатон
2,געתון,12.11.2024,16:35:13,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50391,געתון,Ga'aton,جعتون,Гаатон
3,געתון,11.11.2024,15:42:20,2024-11-11T15:42:00,1,ירי רקטות וטילים,1,50135,געתון,Ga'aton,جعتون,Гаатон
4,געתון,08.11.2024,06:45:39,2024-11-08T06:46:00,1,ירי רקטות וטילים,1,49611,געתון,Ga'aton,جعتون,Гаатон
5,געתון,07.11.2024,16:15:35,2024-11-07T16:16:00,1,ירי רקטות וטילים,1,49552,געתון,Ga'aton,جعتون,Гаатон
6,געתון,06.11.2024,16:07:16,2024-11-06T16:07:00,1,ירי רקטות וטילים,1,49358,געתון,Ga'aton,جعتون,Гаатон
7,געתון,06.11.2024,11:21:42,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49201,געתון,Ga'aton,جعتون,Гаатон
8,געתון,31.10.2024,16:20:25,2024-10-31T16:20:00,1,ירי רקטות וטילים,1,48349,געתון,Ga'aton,جعتون,Гаатон
9,געתון,29.10.2024,10:38:25,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47683,געתון,Ga'aton,جعتون,Гаатон
10,געתון,26.10.2024,09:05:47,2024-10-26T09:06:00,2,חדירת כלי טיס עוין,6,47206,געתון,Ga'aton,جعتون,Гаатон
11,געתון,26.10.2024,09:04:45,2024-10-26T09:05:00,2,חדירת כלי טיס עוין,6,47204,געתון,Ga'aton,جعتون,Гаатон
12,געתון,21.10.2024,12:28:43,2024-10-21T12:29:00,1,ירי רקטות וטילים,1,45952,געתון,Ga'aton,جعتون,Гаатон
13,געתון,14.10.2024,15:13:47,2024-10-14T15:14:00,1,ירי רקטות וטילים,1,44317,געתון,Ga'aton,جعتون,Гаатон
14,געתון,13.10.2024,18:36:00,2024-10-13T18:36:00,1,ירי רקטות וטילים,1,44090,געתון,Ga'aton,جعتون,Гаатон
15,געתון,11.10.2024,17:23:03,2024-10-11T17:23:00,1,ירי רקטות וטילים,1,43684,געתון,Ga'aton,جعتون,Гаатон
16,געתון,02.10.2024,13:08:59,2024-10-02T13:09:00,2,חדירת כלי טיס עוין,6,41598,געתון,Ga'aton,جعتون,Гаатон
17,געתון,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39574,געתון,Ga'aton,جعتون,Гаатон
18,געתון,29.09.2024,21:15:11,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39270,געתון,Ga'aton,جعتون,Гаатон
19,געתון,29.09.2024,18:38:04,2024-09-29T18:38:00,1,ירי רקטות וטילים,1,39217,געתון,Ga'aton,جعتون,Гаатон
