,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גשר הזיו,24.11.2024,16:32:05,2024-11-24T16:32:00,1,ירי רקטות וטילים,1,52317,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
1,גשר הזיו,24.11.2024,16:28:12,2024-11-24T16:28:00,1,ירי רקטות וטילים,1,52309,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
2,גשר הזיו,24.11.2024,13:04:10,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52200,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
3,גשר הזיו,24.11.2024,13:03:16,2024-11-24T13:03:00,1,ירי רקטות וטילים,1,52179,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
4,גשר הזיו,24.11.2024,13:01:06,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52174,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
5,גשר הזיו,24.11.2024,13:00:26,2024-11-24T13:00:00,1,ירי רקטות וטילים,1,52160,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
6,גשר הזיו,24.11.2024,06:54:46,2024-11-24T06:55:00,2,חדירת כלי טיס עוין,6,51969,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
7,גשר הזיו,24.11.2024,06:19:45,2024-11-24T06:20:00,2,חדירת כלי טיס עוין,6,51938,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
8,גשר הזיו,23.11.2024,18:40:26,2024-11-23T18:40:00,2,חדירת כלי טיס עוין,6,51914,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
9,גשר הזיו,22.11.2024,21:34:36,2024-11-22T21:35:00,2,חדירת כלי טיס עוין,6,51855,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
10,גשר הזיו,22.11.2024,21:06:59,2024-11-22T21:07:00,2,חדירת כלי טיס עוין,6,51811,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
11,גשר הזיו,22.11.2024,21:05:48,2024-11-22T21:06:00,2,חדירת כלי טיס עוין,6,51805,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
12,גשר הזיו,22.11.2024,16:30:55,2024-11-22T16:31:00,1,ירי רקטות וטילים,1,51752,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
13,גשר הזיו,21.11.2024,13:49:32,2024-11-21T13:50:00,1,ירי רקטות וטילים,1,51676,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
14,גשר הזיו,21.11.2024,13:48:52,2024-11-21T13:49:00,1,ירי רקטות וטילים,1,51673,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
15,גשר הזיו,21.11.2024,11:47:25,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51663,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
16,גשר הזיו,21.11.2024,11:46:43,2024-11-21T11:47:00,1,ירי רקטות וטילים,1,51658,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
17,גשר הזיו,21.11.2024,06:36:05,2024-11-21T06:36:00,2,חדירת כלי טיס עוין,6,51646,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
18,גשר הזיו,21.11.2024,06:31:50,2024-11-21T06:32:00,2,חדירת כלי טיס עוין,6,51643,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
19,גשר הזיו,21.11.2024,06:28:16,2024-11-21T06:28:00,2,חדירת כלי טיס עוין,6,51632,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
20,גשר הזיו,20.11.2024,16:50:35,2024-11-20T16:51:00,1,ירי רקטות וטילים,1,51616,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
21,גשר הזיו,20.11.2024,16:43:17,2024-11-20T16:43:00,1,ירי רקטות וטילים,1,51610,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
22,גשר הזיו,20.11.2024,06:30:20,2024-11-20T06:30:00,2,חדירת כלי טיס עוין,6,51541,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
23,גשר הזיו,20.11.2024,06:29:19,2024-11-20T06:29:00,2,חדירת כלי טיס עוין,6,51535,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
24,גשר הזיו,20.11.2024,06:28:18,2024-11-20T06:28:00,2,חדירת כלי טיס עוין,6,51531,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
25,גשר הזיו,18.11.2024,16:55:38,2024-11-18T16:56:00,2,חדירת כלי טיס עוין,6,51183,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
26,גשר הזיו,18.11.2024,11:05:35,2024-11-18T11:06:00,1,ירי רקטות וטילים,1,51144,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
27,גשר הזיו,18.11.2024,11:04:54,2024-11-18T11:05:00,1,ירי רקטות וטילים,1,51133,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
28,גשר הזיו,16.11.2024,10:00:53,2024-11-16T10:01:00,1,ירי רקטות וטילים,1,50979,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
29,גשר הזיו,16.11.2024,08:21:09,2024-11-16T08:21:00,2,חדירת כלי טיס עוין,6,50964,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
30,גשר הזיו,16.11.2024,08:19:28,2024-11-16T08:19:00,2,חדירת כלי טיס עוין,6,50960,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
31,גשר הזיו,16.11.2024,08:18:28,2024-11-16T08:18:00,2,חדירת כלי טיס עוין,6,50954,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
32,גשר הזיו,16.11.2024,07:05:46,2024-11-16T07:06:00,2,חדירת כלי טיס עוין,6,50943,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
33,גשר הזיו,14.11.2024,18:41:58,2024-11-14T18:42:00,2,חדירת כלי טיס עוין,6,50773,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
34,גשר הזיו,13.11.2024,15:02:06,2024-11-13T15:02:00,2,חדירת כלי טיס עוין,6,50541,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
35,גשר הזיו,13.11.2024,14:48:11,2024-11-13T14:48:00,2,חדירת כלי טיס עוין,6,50503,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
36,גשר הזיו,12.11.2024,16:30:26,2024-11-12T16:30:00,1,ירי רקטות וטילים,1,50349,גשר הזיו,Gesher HaZiv,جيشير هزيف,Гешер ха-Зив
