,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,גת רימון,24.11.2024,12:52:31,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52116,גת רימון,Gat Rimon,جت ريمون,Гат Римон
1,גת רימון,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51234,גת רימון,Gat Rimon,جت ريمون,Гат Римон
2,גת רימון,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50369,גת רימון,Gat Rimon,جت ريمون,Гат Римон
3,גת רימון,06.11.2024,16:17:21,2024-11-06T16:17:00,1,ירי רקטות וטילים,1,49368,גת רימון,Gat Rimon,جت ريمون,Гат Римон
4,גת רימון,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49195,גת רימון,Gat Rimon,جت ريمون,Гат Римон
5,גת רימון,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46828,גת רימון,Gat Rimon,جت ريمون,Гат Римон
6,גת רימון,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42794,גת רימון,Gat Rimon,جت ريمون,Гат Римон
7,גת רימון,28.09.2024,17:41:08,2024-09-28T17:41:00,1,ירי רקטות וטילים,1,38975,גת רימון,Gat Rimon,جت ريمون,Гат Римон
8,גת רימון,27.09.2024,00:40:30,2024-09-27T00:41:00,1,ירי רקטות וטילים,1,37990,גת רימון,Gat Rimon,جت ريمون,Гат Римон
9,גת רימון,15.09.2024,06:32:26,2024-09-15T06:32:00,1,ירי רקטות וטילים,1,36126,גת רימון,Gat Rimon,جت ريمون,Гат Римон
10,גת רימון,08.12.2023,17:58:07,2023-12-08T17:58:00,1,ירי רקטות וטילים,1,26315,גת רימון,Gat Rimon,جت ريمون,Гат Римон
11,גת רימון,04.12.2023,14:01:15,2023-12-04T14:01:00,1,ירי רקטות וטילים,1,26081,גת רימון,Gat Rimon,جت ريمون,Гат Римон
12,גת רימון,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25364,גת רימון,Gat Rimon,جت ريمون,Гат Римон
13,גת רימון,17.11.2023,18:02:13,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25155,גת רימון,Gat Rimon,جت ريمون,Гат Римон
14,גת רימון,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23834,גת רימון,Gat Rimon,جت ريمون,Гат Римон
15,גת רימון,27.10.2023,19:31:03,2023-10-27T19:31:00,1,ירי רקטות וטילים,1,23719,גת רימון,Gat Rimon,جت ريمون,Гат Римон
16,גת רימון,27.10.2023,14:30:28,2023-10-27T14:30:00,1,ירי רקטות וטילים,1,23663,גת רימון,Gat Rimon,جت ريمون,Гат Римон
17,גת רימון,26.10.2023,13:31:33,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23514,גת רימון,Gat Rimon,جت ريمون,Гат Римон
18,גת רימון,24.10.2023,17:01:13,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23346,גת רימון,Gat Rimon,جت ريمون,Гат Римон
19,גת רימון,16.10.2023,16:44:46,2023-10-16T16:45:00,1,ירי רקטות וטילים,1,22438,גת רימון,Gat Rimon,جت ريمون,Гат Римон
20,גת רימון,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20259,גת רימון,Gat Rimon,جت ريمون,Гат Римон
21,גת רימון,07.10.2023,07:33:23,2023-10-07T07:33:00,1,ירי רקטות וטילים,1,17677,גת רימון,Gat Rimon,جت ريمون,Гат Римон
