,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,דישון,24.11.2024,13:37:02,2024-11-24T13:37:00,1,ירי רקטות וטילים,1,52220,דישון,Dishon,ديشون,Дишон
1,דישון,24.11.2024,12:11:18,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52107,דישון,Dishon,ديشون,Дишон
2,דישון,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51459,דישון,Dishon,ديشون,Дишон
3,דישון,14.11.2024,11:08:58,2024-11-14T11:09:00,1,ירי רקטות וטילים,1,50733,דישון,Dishon,ديشون,Дишон
4,דישון,13.11.2024,23:32:30,2024-11-13T23:33:00,2,חדירת כלי טיס עוין,6,50711,דישון,Dishon,ديشون,Дишон
5,דישון,13.11.2024,07:02:54,2024-11-13T07:03:00,2,חדירת כלי טיס עוין,6,50462,דישון,Dishon,ديشون,Дишон
6,דישון,12.11.2024,22:21:24,2024-11-12T22:21:00,2,חדירת כלי טיס עוין,6,50444,דישון,Dishon,ديشون,Дишон
7,דישון,12.11.2024,22:20:23,2024-11-12T22:20:00,2,חדירת כלי טיס עוין,6,50442,דישון,Dishon,ديشون,Дишон
8,דישון,12.11.2024,13:13:12,2024-11-12T13:13:00,1,ירי רקטות וטילים,1,50299,דישון,Dishon,ديشون,Дишон
9,דישון,04.11.2024,09:25:45,2024-11-04T09:26:00,1,ירי רקטות וטילים,1,48970,דישון,Dishon,ديشون,Дишон
10,דישון,04.11.2024,09:25:09,2024-11-04T09:25:00,1,ירי רקטות וטילים,1,48962,דישון,Dishon,ديشون,Дишон
11,דישון,02.11.2024,12:37:35,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48641,דישון,Dishon,ديشون,Дишон
12,דישון,27.10.2024,09:16:11,2024-10-27T09:16:00,1,ירי רקטות וטילים,1,47360,דישון,Dishon,ديشون,Дишон
13,דישון,25.10.2024,09:51:05,2024-10-25T09:51:00,1,ירי רקטות וטילים,1,47107,דישון,Dishon,ديشون,Дишон
14,דישון,24.10.2024,23:26:12,2024-10-24T23:26:00,1,ירי רקטות וטילים,1,47043,דישון,Dishon,ديشون,Дишон
15,דישון,23.10.2024,10:40:03,2024-10-23T10:40:00,2,חדירת כלי טיס עוין,6,46566,דישון,Dishon,ديشون,Дишон
16,דישון,17.10.2024,16:51:05,2024-10-17T16:51:00,1,ירי רקטות וטילים,1,45219,דישון,Dishon,ديشون,Дишон
17,דישון,16.10.2024,02:29:14,2024-10-16T02:29:00,1,ירי רקטות וטילים,1,44807,דישון,Dishon,ديشون,Дишон
18,דישון,12.10.2024,23:22:28,2024-10-12T23:22:00,1,ירי רקטות וטילים,1,43859,דישון,Dishon,ديشون,Дишон
19,דישון,12.10.2024,23:21:53,2024-10-12T23:22:00,1,ירי רקטות וטילים,1,43856,דישון,Dishon,ديشون,Дишон
20,דישון,07.10.2024,02:50:32,2024-10-07T02:51:00,1,ירי רקטות וטילים,1,42466,דישון,Dishon,ديشون,Дишон
21,דישון,02.10.2024,20:00:17,2024-10-02T20:00:00,1,ירי רקטות וטילים,1,41655,דישון,Dishon,ديشون,Дишон
22,דישון,01.10.2024,23:31:06,2024-10-01T23:31:00,1,ירי רקטות וטילים,1,41480,דישון,Dishon,ديشون,Дишон
23,דישון,01.10.2024,15:09:54,2024-10-01T15:10:00,1,ירי רקטות וטילים,1,39481,דישון,Dishon,ديشون,Дишон
24,דישון,01.10.2024,12:05:12,2024-10-01T12:05:00,1,ירי רקטות וטילים,1,39463,דישון,Dishon,ديشون,Дишон
25,דישון,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38682,דישון,Dishon,ديشون,Дишон
26,דישון,28.09.2024,06:18:06,2024-09-28T06:18:00,1,ירי רקטות וטילים,1,38205,דישון,Dishon,ديشون,Дишон
27,דישון,23.09.2024,14:30:03,2024-09-23T14:30:00,1,ירי רקטות וטילים,1,37026,דישון,Dishon,ديشون,Дишон
28,דישון,22.09.2024,12:16:09,2024-09-22T12:16:00,2,חדירת כלי טיס עוין,6,36904,דישון,Dishon,ديشون,Дишон
29,דישון,21.09.2024,19:40:29,2024-09-21T19:40:00,2,חדירת כלי טיס עוין,6,36546,דישון,Dishon,ديشون,Дишон
30,דישון,21.09.2024,17:47:45,2024-09-21T17:48:00,2,חדירת כלי טיס עוין,6,36539,דישון,Dishon,ديشون,Дишон
31,דישון,21.09.2024,14:03:39,2024-09-21T14:04:00,1,ירי רקטות וטילים,1,36522,דישון,Dishon,ديشون,Дишон
32,דישון,18.09.2024,11:13:26,2024-09-18T11:13:00,1,ירי רקטות וטילים,1,36342,דישון,Dishon,ديشون,Дишон
33,דישון,17.09.2024,13:45:05,2024-09-17T13:45:00,2,חדירת כלי טיס עוין,6,36311,דישון,Dishon,ديشون,Дишон
34,דישון,17.09.2024,13:45:04,2024-09-17T13:45:00,1,ירי רקטות וטילים,1,36316,דישון,Dishon,ديشون,Дишон
35,דישון,17.09.2024,13:43:24,2024-09-17T13:43:00,2,חדירת כלי טיס עוין,6,36302,דישון,Dishon,ديشون,Дишон
36,דישון,14.09.2024,09:00:00,2024-09-14T09:00:00,1,ירי רקטות וטילים,1,36090,דישון,Dishon,ديشون,Дишон
37,דישון,14.09.2024,08:17:45,2024-09-14T08:18:00,1,ירי רקטות וטילים,1,36082,דישון,Dishon,ديشون,Дишон
38,דישון,12.09.2024,14:21:36,2024-09-12T14:22:00,2,חדירת כלי טיס עוין,6,36026,דישון,Dishon,ديشون,Дишон
39,דישון,10.09.2024,18:37:15,2024-09-10T18:37:00,2,חדירת כלי טיס עוין,6,35986,דישון,Dishon,ديشون,Дишон
40,דישון,04.09.2024,12:02:32,2024-09-04T12:03:00,1,ירי רקטות וטילים,1,35777,דישון,Dishon,ديشون,Дишон
41,דישון,25.08.2024,05:51:44,2024-08-25T05:52:00,1,ירי רקטות וטילים,1,35447,דישון,Dishon,ديشون,Дишон
42,דישון,21.08.2024,11:28:34,2024-08-21T11:29:00,2,חדירת כלי טיס עוין,6,35260,דישון,Dishon,ديشون,Дишон
43,דישון,21.08.2024,11:26:30,2024-08-21T11:27:00,2,חדירת כלי טיס עוין,6,35255,דישון,Dishon,ديشون,Дишон
44,דישון,21.08.2024,11:24:14,2024-08-21T11:24:00,2,חדירת כלי טיס עוין,6,35236,דישון,Dishon,ديشون,Дишон
45,דישון,15.08.2024,18:20:23,2024-08-15T18:20:00,2,חדירת כלי טיס עוין,6,35036,דישון,Dishon,ديشون,Дишон
46,דישון,13.08.2024,21:58:29,2024-08-13T21:58:00,1,ירי רקטות וטילים,1,34970,דישון,Dishon,ديشون,Дишон
47,דישון,10.08.2024,19:28:16,2024-08-10T19:28:00,2,חדירת כלי טיס עוין,6,34887,דישון,Dishon,ديشون,Дишон
48,דישון,09.08.2024,17:41:56,2024-08-09T17:42:00,2,חדירת כלי טיס עוין,6,34872,דישון,Dishon,ديشون,Дишон
49,דישון,05.08.2024,02:02:52,2024-08-05T02:03:00,1,ירי רקטות וטילים,1,34691,דישון,Dishon,ديشون,Дишон
50,דישון,29.07.2024,15:59:04,2024-07-29T15:59:00,2,חדירת כלי טיס עוין,6,34558,דישון,Dishon,ديشون,Дишон
51,דישון,18.07.2024,17:34:46,2024-07-18T17:35:00,2,חדירת כלי טיס עוין,6,34141,דישון,Dishon,ديشون,Дишон
52,דישון,15.07.2024,15:19:40,2024-07-15T15:20:00,2,חדירת כלי טיס עוין,6,34042,דישון,Dishon,ديشون,Дишон
53,דישון,14.07.2024,12:09:26,2024-07-14T12:09:00,2,חדירת כלי טיס עוין,6,34025,דישון,Dishon,ديشون,Дишон
54,דישון,14.07.2024,12:05:48,2024-07-14T12:06:00,2,חדירת כלי טיס עוין,6,34013,דישון,Dishon,ديشون,Дишон
55,דישון,11.07.2024,10:41:05,2024-07-11T10:41:00,2,חדירת כלי טיס עוין,6,33938,דישון,Dishon,ديشون,Дишон
