,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,דלית אל כרמל,24.11.2024,18:11:55,2024-11-24T18:12:00,1,ירי רקטות וטילים,1,52368,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
1,דלית אל כרמל,20.11.2024,06:46:34,2024-11-20T06:47:00,2,חדירת כלי טיס עוין,6,51573,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
2,דלית אל כרמל,14.11.2024,19:01:12,2024-11-14T19:01:00,2,חדירת כלי טיס עוין,6,50810,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
3,דלית אל כרמל,13.11.2024,17:44:36,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50627,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
4,דלית אל כרמל,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49036,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
5,דלית אל כרמל,22.10.2024,18:31:09,2024-10-22T18:31:00,2,חדירת כלי טיס עוין,6,46453,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
6,דלית אל כרמל,22.10.2024,04:51:18,2024-10-22T04:51:00,1,ירי רקטות וטילים,1,46200,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
7,דלית אל כרמל,21.10.2024,12:27:35,2024-10-21T12:28:00,1,ירי רקטות וטילים,1,45904,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
8,דלית אל כרמל,20.10.2024,15:41:01,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45706,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
9,דלית אל כרמל,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45558,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
10,דלית אל כרמל,17.10.2024,07:31:13,2024-10-17T07:31:00,1,ירי רקטות וטילים,1,45138,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
11,דלית אל כרמל,15.10.2024,07:27:04,2024-10-15T07:27:00,1,ירי רקטות וטילים,1,44662,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
12,דלית אל כרמל,15.10.2024,07:24:59,2024-10-15T07:25:00,1,ירי רקטות וטילים,1,44614,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
13,דלית אל כרמל,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42321,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
14,דלית אל כרמל,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41947,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
15,דלית אל כרמל,28.09.2024,08:04:00,2024-09-28T08:04:00,1,ירי רקטות וטילים,1,38394,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
16,דלית אל כרמל,25.09.2024,09:08:49,2024-09-25T09:09:00,1,ירי רקטות וטילים,1,37813,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
17,דלית אל כרמל,24.09.2024,13:07:55,2024-09-24T13:08:00,1,ירי רקטות וטילים,1,37490,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
18,דלית אל כרמל,23.09.2024,17:41:45,2024-09-23T17:42:00,1,ירי רקטות וטילים,1,37199,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
19,דלית אל כרמל,23.09.2024,17:23:01,2024-09-23T17:23:00,1,ירי רקטות וטילים,1,37163,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
20,דלית אל כרמל,23.09.2024,16:15:39,2024-09-23T16:16:00,1,ירי רקטות וטילים,1,37049,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
21,דלית אל כרמל,22.09.2024,01:10:21,2024-09-22T01:10:00,1,ירי רקטות וטילים,1,36568,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
22,דלית אל כרמל,25.10.2023,13:01:50,2023-10-25T13:02:00,1,ירי רקטות וטילים,1,23443,דלית אל כרמל,Daliyat al-Karmel,دالية الكرمل,Далият эль Кармель
