,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,דלתון,24.11.2024,16:45:11,2024-11-24T16:45:00,1,ירי רקטות וטילים,1,52324,דלתון,Dalton,دلتون,Дальтон
1,דלתון,24.11.2024,15:35:23,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52299,דלתון,Dalton,دلتون,Дальтон
2,דלתון,24.11.2024,12:11:15,2024-11-24T12:11:00,1,ירי רקטות וטילים,1,52104,דלתון,Dalton,دلتون,Дальтон
3,דלתון,23.11.2024,15:31:53,2024-11-23T15:32:00,1,ירי רקטות וטילים,1,51905,דלתון,Dalton,دلتون,Дальтон
4,דלתון,22.11.2024,15:24:56,2024-11-22T15:25:00,1,ירי רקטות וטילים,1,51739,דלתון,Dalton,دلتون,Дальтон
5,דלתון,22.11.2024,14:05:35,2024-11-22T14:06:00,1,ירי רקטות וטילים,1,51724,דלתון,Dalton,دلتون,Дальтон
6,דלתון,21.11.2024,14:52:15,2024-11-21T14:52:00,1,ירי רקטות וטילים,1,51682,דלתון,Dalton,دلتون,Дальтон
7,דלתון,19.11.2024,10:58:34,2024-11-19T10:59:00,2,חדירת כלי טיס עוין,6,51460,דלתון,Dalton,دلتون,Дальтон
8,דלתון,11.11.2024,15:51:52,2024-11-11T15:52:00,2,חדירת כלי טיס עוין,6,50179,דלתון,Dalton,دلتون,Дальтон
9,דלתון,09.11.2024,08:06:47,2024-11-09T08:07:00,1,ירי רקטות וטילים,1,49815,דלתון,Dalton,دلتون,Дальтон
10,דלתון,06.11.2024,15:09:22,2024-11-06T15:09:00,1,ירי רקטות וטילים,1,49349,דלתון,Dalton,دلتون,Дальтон
11,דלתון,06.11.2024,14:55:23,2024-11-06T14:55:00,1,ירי רקטות וטילים,1,49334,דלתון,Dalton,دلتون,Дальтон
12,דלתון,05.11.2024,10:35:11,2024-11-05T10:35:00,1,ירי רקטות וטילים,1,49079,דלתון,Dalton,دلتون,Дальтон
13,דלתון,04.11.2024,23:20:17,2024-11-04T23:20:00,1,ירי רקטות וטילים,1,49017,דלתון,Dalton,دلتون,Дальтон
14,דלתון,04.11.2024,00:15:05,2024-11-04T00:15:00,1,ירי רקטות וטילים,1,48953,דלתון,Dalton,دلتون,Дальтон
15,דלתון,02.11.2024,13:38:39,2024-11-02T13:39:00,1,ירי רקטות וטילים,1,48671,דלתון,Dalton,دلتون,Дальтон
16,דלתון,02.11.2024,12:37:32,2024-11-02T12:38:00,1,ירי רקטות וטילים,1,48649,דלתון,Dalton,دلتون,Дальтон
17,דלתון,02.11.2024,06:52:12,2024-11-02T06:52:00,1,ירי רקטות וטילים,1,48476,דלתון,Dalton,دلتون,Дальтон
18,דלתון,30.10.2024,15:18:46,2024-10-30T15:19:00,1,ירי רקטות וטילים,1,48120,דלתון,Dalton,دلتون,Дальтон
19,דלתון,29.10.2024,07:51:59,2024-10-29T07:52:00,1,ירי רקטות וטילים,1,47590,דלתון,Dalton,دلتون,Дальтон
20,דלתון,26.10.2024,19:37:55,2024-10-26T19:38:00,1,ירי רקטות וטילים,1,47302,דלתון,Dalton,دلتون,Дальтон
