,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,דפנה,24.11.2024,15:34:48,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52288,דפנה,Dafna,دفنا,Дафна
1,דפנה,10.11.2024,00:45:19,2024-11-10T00:45:00,2,חדירת כלי טיס עוין,6,49881,דפנה,Dafna,دفنا,Дафна
2,דפנה,29.10.2024,20:23:30,2024-10-29T20:24:00,1,ירי רקטות וטילים,1,47951,דפנה,Dafna,دفنا,Дафна
3,דפנה,29.10.2024,07:51:11,2024-10-29T07:51:00,2,חדירת כלי טיס עוין,6,47586,דפנה,Dafna,دفنا,Дафна
4,דפנה,26.10.2024,16:04:14,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47269,דפנה,Dafna,دفنا,Дафна
5,דפנה,26.10.2024,16:03:33,2024-10-26T16:04:00,1,ירי רקטות וטילים,1,47262,דפנה,Dafna,دفنا,Дафна
6,דפנה,25.10.2024,19:20:24,2024-10-25T19:20:00,1,ירי רקטות וטילים,1,47170,דפנה,Dafna,دفنا,Дафна
7,דפנה,24.10.2024,16:46:23,2024-10-24T16:46:00,2,חדירת כלי טיס עוין,6,47014,דפנה,Dafna,دفنا,Дафна
8,דפנה,24.10.2024,16:41:33,2024-10-24T16:42:00,2,חדירת כלי טיס עוין,6,46994,דפנה,Dafna,دفنا,Дафна
9,דפנה,24.10.2024,16:40:31,2024-10-24T16:41:00,2,חדירת כלי טיס עוין,6,46989,דפנה,Dafna,دفنا,Дафна
10,דפנה,22.10.2024,16:17:28,2024-10-22T16:17:00,1,ירי רקטות וטילים,1,46378,דפנה,Dafna,دفنا,Дафна
11,דפנה,22.10.2024,16:16:50,2024-10-22T16:17:00,1,ירי רקטות וטילים,1,46374,דפנה,Dafna,دفنا,Дафна
12,דפנה,08.10.2024,17:54:32,2024-10-08T17:55:00,2,חדירת כלי טיס עוין,6,43103,דפנה,Dafna,دفنا,Дафна
13,דפנה,07.10.2024,16:09:21,2024-10-07T16:09:00,1,ירי רקטות וטילים,1,42616,דפנה,Dafna,دفنا,Дафна
14,דפנה,05.10.2024,14:57:29,2024-10-05T14:57:00,1,ירי רקטות וטילים,1,42218,דפנה,Dafna,دفنا,Дафна
15,דפנה,05.10.2024,14:56:53,2024-10-05T14:57:00,1,ירי רקטות וטילים,1,42214,דפנה,Dafna,دفنا,Дафна
16,דפנה,05.10.2024,14:56:17,2024-10-05T14:56:00,1,ירי רקטות וטילים,1,42207,דפנה,Dafna,دفنا,Дафна
17,דפנה,27.09.2024,15:49:09,2024-09-27T15:49:00,1,ירי רקטות וטילים,1,38140,דפנה,Dafna,دفنا,Дафна
18,דפנה,24.09.2024,10:50:43,2024-09-24T10:51:00,1,ירי רקטות וטילים,1,37481,דפנה,Dafna,دفنا,Дафна
