,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,הגושרים,24.11.2024,15:34:48,2024-11-24T15:35:00,1,ירי רקטות וטילים,1,52289,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
1,הגושרים,24.11.2024,00:10:26,2024-11-24T00:10:00,1,ירי רקטות וטילים,1,51929,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
2,הגושרים,16.11.2024,20:45:51,2024-11-16T20:46:00,1,ירי רקטות וטילים,1,51063,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
3,הגושרים,15.11.2024,17:11:52,2024-11-15T17:12:00,2,חדירת כלי טיס עוין,6,50929,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
4,הגושרים,14.11.2024,22:02:23,2024-11-14T22:02:00,1,ירי רקטות וטילים,1,50848,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
5,הגושרים,13.11.2024,17:20:52,2024-11-13T17:21:00,2,חדירת כלי טיס עוין,6,50567,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
6,הגושרים,12.11.2024,07:02:17,2024-11-12T07:02:00,1,ירי רקטות וטילים,1,50247,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
7,הגושרים,10.11.2024,23:36:30,2024-11-10T23:37:00,2,חדירת כלי טיס עוין,6,49934,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
8,הגושרים,10.11.2024,23:35:28,2024-11-10T23:35:00,2,חדירת כלי טיס עוין,6,49930,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
9,הגושרים,10.11.2024,00:46:22,2024-11-10T00:46:00,2,חדירת כלי טיס עוין,6,49885,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
10,הגושרים,10.11.2024,00:45:19,2024-11-10T00:45:00,2,חדירת כלי טיס עוין,6,49882,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
11,הגושרים,09.11.2024,16:55:50,2024-11-09T16:56:00,1,ירי רקטות וטילים,1,49876,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
12,הגושרים,06.11.2024,09:01:43,2024-11-06T09:02:00,1,ירי רקטות וטילים,1,49133,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
13,הגושרים,02.11.2024,08:27:32,2024-11-02T08:28:00,2,חדירת כלי טיס עוין,6,48575,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
14,הגושרים,01.11.2024,06:39:28,2024-11-01T06:39:00,1,ירי רקטות וטילים,1,48390,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
15,הגושרים,29.10.2024,14:51:03,2024-10-29T14:51:00,1,ירי רקטות וטילים,1,47932,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
16,הגושרים,29.10.2024,07:51:43,2024-10-29T07:52:00,2,חדירת כלי טיס עוין,6,47588,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
17,הגושרים,25.10.2024,19:20:06,2024-10-25T19:20:00,1,ירי רקטות וטילים,1,47163,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
18,הגושרים,24.10.2024,16:46:03,2024-10-24T16:46:00,2,חדירת כלי טיס עוין,6,47005,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
19,הגושרים,24.10.2024,16:41:17,2024-10-24T16:41:00,2,חדירת כלי טיס עוין,6,46991,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
20,הגושרים,24.10.2024,16:40:17,2024-10-24T16:40:00,2,חדירת כלי טיס עוין,6,46988,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
21,הגושרים,21.10.2024,16:52:24,2024-10-21T16:52:00,1,ירי רקטות וטילים,1,46173,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
22,הגושרים,20.10.2024,19:01:19,2024-10-20T19:01:00,1,ירי רקטות וטילים,1,45810,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
23,הגושרים,20.10.2024,03:33:49,2024-10-20T03:34:00,1,ירי רקטות וטילים,1,45546,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
24,הגושרים,19.10.2024,17:40:29,2024-10-19T17:40:00,1,ירי רקטות וטילים,1,45505,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
25,הגושרים,15.10.2024,05:32:16,2024-10-15T05:32:00,1,ירי רקטות וטילים,1,44605,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
26,הגושרים,12.10.2024,16:59:01,2024-10-12T16:59:00,1,ירי רקטות וטילים,1,43839,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
27,הגושרים,10.10.2024,13:57:11,2024-10-10T13:57:00,1,ירי רקטות וטילים,1,43400,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
28,הגושרים,10.10.2024,10:02:18,2024-10-10T10:02:00,1,ירי רקטות וטילים,1,43369,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
29,הגושרים,09.10.2024,17:28:00,2024-10-09T17:28:00,1,ירי רקטות וטילים,1,43351,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
30,הגושרים,09.10.2024,14:05:43,2024-10-09T14:06:00,2,חדירת כלי טיס עוין,6,43216,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
31,הגושרים,09.10.2024,14:04:43,2024-10-09T14:05:00,2,חדירת כלי טיס עוין,6,43214,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
32,הגושרים,08.10.2024,17:54:32,2024-10-08T17:55:00,2,חדירת כלי טיס עוין,6,43104,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
33,הגושרים,07.10.2024,16:09:21,2024-10-07T16:09:00,1,ירי רקטות וטילים,1,42613,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
34,הגושרים,06.10.2024,20:15:18,2024-10-06T20:15:00,1,ירי רקטות וטילים,1,42392,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
35,הגושרים,05.10.2024,14:57:03,2024-10-05T14:57:00,1,ירי רקטות וטילים,1,42215,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
36,הגושרים,02.10.2024,06:40:51,2024-10-02T06:41:00,1,ירי רקטות וטילים,1,41500,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
37,הגושרים,21.09.2024,13:59:46,2024-09-21T14:00:00,1,ירי רקטות וטילים,1,36508,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
38,הגושרים,18.09.2024,16:44:07,2024-09-18T16:44:00,1,ירי רקטות וטילים,1,36370,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
39,הגושרים,18.09.2024,16:39:48,2024-09-18T16:40:00,2,חדירת כלי טיס עוין,6,36364,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
40,הגושרים,18.09.2024,16:39:11,2024-09-18T16:39:00,1,ירי רקטות וטילים,1,36360,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
41,הגושרים,09.09.2024,15:35:47,2024-09-09T15:36:00,1,ירי רקטות וטילים,1,35955,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
42,הגושרים,08.09.2024,18:57:59,2024-09-08T18:58:00,2,חדירת כלי טיס עוין,6,35899,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
43,הגושרים,08.09.2024,05:35:11,2024-09-08T05:35:00,1,ירי רקטות וטילים,1,35884,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
44,הגושרים,04.09.2024,12:00:16,2024-09-04T12:00:00,1,ירי רקטות וטילים,1,35768,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
45,הגושרים,04.09.2024,11:50:51,2024-09-04T11:51:00,1,ירי רקטות וטילים,1,35759,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
46,הגושרים,03.09.2024,15:52:43,2024-09-03T15:53:00,2,חדירת כלי טיס עוין,6,35745,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
47,הגושרים,31.08.2024,14:32:46,2024-08-31T14:33:00,2,חדירת כלי טיס עוין,6,35675,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
48,הגושרים,27.08.2024,19:27:00,2024-08-27T19:27:00,2,חדירת כלי טיס עוין,6,35616,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
49,הגושרים,25.08.2024,06:09:42,2024-08-25T06:10:00,1,ירי רקטות וטילים,1,35494,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
50,הגושרים,25.08.2024,05:44:43,2024-08-25T05:45:00,1,ירי רקטות וטילים,1,35437,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
51,הגושרים,20.08.2024,19:16:40,2024-08-20T19:17:00,2,חדירת כלי טיס עוין,6,35179,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
52,הגושרים,18.08.2024,15:21:00,2024-08-18T15:21:00,1,ירי רקטות וטילים,1,35096,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
53,הגושרים,18.08.2024,15:11:09,2024-08-18T15:11:00,1,ירי רקטות וטילים,1,35091,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
54,הגושרים,14.08.2024,22:03:10,2024-08-14T22:03:00,1,ירי רקטות וטילים,1,34993,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
55,הגושרים,06.08.2024,22:33:37,2024-08-06T22:34:00,2,חדירת כלי טיס עוין,6,34824,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
56,הגושרים,06.08.2024,18:26:32,2024-08-06T18:27:00,1,ירי רקטות וטילים,1,34792,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
57,הגושרים,04.08.2024,00:25:20,2024-08-04T00:25:00,1,ירי רקטות וטילים,1,34676,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
58,הגושרים,04.08.2024,00:24:42,2024-08-04T00:25:00,1,ירי רקטות וטילים,1,34659,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
59,הגושרים,30.07.2024,19:20:45,2024-07-30T19:21:00,1,ירי רקטות וטילים,1,34615,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
60,הגושרים,30.07.2024,16:26:53,2024-07-30T16:27:00,1,ירי רקטות וטילים,1,34607,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
61,הגושרים,30.07.2024,15:53:08,2024-07-30T15:53:00,2,חדירת כלי טיס עוין,6,34602,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
62,הגושרים,30.07.2024,15:52:44,2024-07-30T15:53:00,2,חדירת כלי טיס עוין,6,34597,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
63,הגושרים,30.07.2024,15:52:06,2024-07-30T15:52:00,2,חדירת כלי טיס עוין,6,34593,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
64,הגושרים,30.07.2024,15:51:06,2024-07-30T15:51:00,2,חדירת כלי טיס עוין,6,34580,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
65,הגושרים,30.07.2024,15:49:43,2024-07-30T15:50:00,2,חדירת כלי טיס עוין,6,34574,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
66,הגושרים,30.07.2024,14:53:08,2024-07-30T14:53:00,1,ירי רקטות וטילים,1,34567,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
67,הגושרים,27.07.2024,18:32:31,2024-07-27T18:33:00,1,ירי רקטות וטילים,1,34535,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
68,הגושרים,27.07.2024,18:31:49,2024-07-27T18:32:00,1,ירי רקטות וטילים,1,34524,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
69,הגושרים,27.07.2024,17:24:10,2024-07-27T17:24:00,1,ירי רקטות וטילים,1,34507,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
70,הגושרים,27.07.2024,17:23:26,2024-07-27T17:23:00,1,ירי רקטות וטילים,1,34494,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
71,הגושרים,22.07.2024,19:31:04,2024-07-22T19:31:00,2,חדירת כלי טיס עוין,6,34304,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
72,הגושרים,21.07.2024,12:06:33,2024-07-21T12:07:00,1,ירי רקטות וטילים,1,34245,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
73,הגושרים,20.07.2024,19:37:26,2024-07-20T19:37:00,2,חדירת כלי טיס עוין,6,34218,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
74,הגושרים,19.07.2024,08:22:58,2024-07-19T08:23:00,2,חדירת כלי טיס עוין,6,34158,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
75,הגושרים,16.07.2024,19:54:47,2024-07-16T19:55:00,1,ירי רקטות וטילים,1,34100,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
76,הגושרים,15.07.2024,23:39:26,2024-07-15T23:39:00,1,ירי רקטות וטילים,1,34070,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
77,הגושרים,15.07.2024,16:45:21,2024-07-15T16:45:00,1,ירי רקטות וטילים,1,34058,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
78,הגושרים,15.07.2024,16:15:29,2024-07-15T16:15:00,1,ירי רקטות וטילים,1,34050,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
79,הגושרים,10.07.2024,15:01:33,2024-07-10T15:02:00,1,ירי רקטות וטילים,1,33923,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
80,הגושרים,08.07.2024,18:31:29,2024-07-08T18:31:00,1,ירי רקטות וטילים,1,33897,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
81,הגושרים,08.07.2024,18:30:53,2024-07-08T18:31:00,1,ירי רקטות וטילים,1,33890,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
82,הגושרים,06.07.2024,08:27:59,2024-07-06T08:28:00,2,חדירת כלי טיס עוין,6,33815,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
83,הגושרים,04.07.2024,10:43:38,2024-07-04T10:44:00,2,חדירת כלי טיס עוין,6,33659,הגושרים,HaGoshrim,هجوشريم,ха-Гошрим
