,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,הוד השרון,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52396,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
1,הוד השרון,24.11.2024,12:52:37,2024-11-24T12:53:00,1,ירי רקטות וטילים,1,52121,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
2,הוד השרון,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51255,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
3,הוד השרון,13.11.2024,17:44:54,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50656,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
4,הוד השרון,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50383,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
5,הוד השרון,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49740,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
6,הוד השרון,06.11.2024,11:21:45,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49214,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
7,הוד השרון,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48459,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
8,הוד השרון,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46842,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
9,הוד השרון,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44360,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
10,הוד השרון,11.10.2024,21:56:03,2024-10-11T21:56:00,2,חדירת כלי טיס עוין,6,43728,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
11,הוד השרון,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42915,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
12,הוד השרון,07.10.2024,17:44:10,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42788,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
13,הוד השרון,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39612,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
14,הוד השרון,01.10.2024,11:03:33,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39438,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
15,הוד השרון,26.05.2024,14:00:28,2024-05-26T14:00:00,1,ירי רקטות וטילים,1,31719,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
16,הוד השרון,21.12.2023,13:30:29,2023-12-21T13:30:00,1,ירי רקטות וטילים,1,26885,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
17,הוד השרון,20.11.2023,18:03:48,2023-11-20T18:04:00,1,ירי רקטות וטילים,1,25399,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
18,הוד השרון,17.11.2023,18:02:24,2023-11-17T18:02:00,1,ירי רקטות וטילים,1,25165,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
19,הוד השרון,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24553,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
20,הוד השרון,31.10.2023,14:36:39,2023-10-31T14:37:00,1,ירי רקטות וטילים,1,24152,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
21,הוד השרון,29.10.2023,12:00:41,2023-10-29T12:01:00,1,ירי רקטות וטילים,1,23932,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
22,הוד השרון,26.10.2023,13:31:39,2023-10-26T13:32:00,1,ירי רקטות וטילים,1,23541,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
23,הוד השרון,24.10.2023,17:01:11,2023-10-24T17:01:00,1,ירי רקטות וטילים,1,23369,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
24,הוד השרון,18.10.2023,18:28:43,2023-10-18T18:29:00,1,ירי רקטות וטילים,1,22823,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
25,הוד השרון,17.10.2023,19:59:36,2023-10-17T20:00:00,1,ירי רקטות וטילים,1,22723,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
26,הוד השרון,09.10.2023,12:02:17,2023-10-09T12:02:00,1,ירי רקטות וטילים,1,20860,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
27,הוד השרון,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20271,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
28,הוד השרון,07.10.2023,06:33:21,2023-10-07T06:33:00,1,ירי רקטות וטילים,1,16647,הוד השרון,Hod HaSharon,هود هشارون,Ход ха-Шарон
