,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,החותרים,24.11.2024,13:04:17,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52206,החותרים,HaHotrim,هحوتريم,ха-Хотрим
1,החותרים,22.11.2024,16:34:41,2024-11-22T16:35:00,1,ירי רקטות וטילים,1,51761,החותרים,HaHotrim,هحوتريم,ха-Хотрим
2,החותרים,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49503,החותרים,HaHotrim,هحوتريم,ха-Хотрим
3,החותרים,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49037,החותרים,HaHotrim,هحوتريم,ха-Хотрим
4,החותרים,22.10.2024,04:51:36,2024-10-22T04:52:00,1,ירי רקטות וטילים,1,46225,החותרים,HaHotrim,هحوتريم,ха-Хотрим
5,החותרים,20.10.2024,15:40:52,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45696,החותרים,HaHotrim,هحوتريم,ха-Хотрим
6,החותרים,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45559,החותרים,HaHotrim,هحوتريم,ха-Хотрим
7,החותרים,19.10.2024,08:02:44,2024-10-19T08:03:00,1,ירי רקטות וטילים,1,45372,החותרים,HaHotrim,هحوتريم,ха-Хотрим
8,החותרים,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44704,החותרים,HaHotrim,هحوتريم,ха-Хотрим
9,החותרים,14.10.2024,17:16:40,2024-10-14T17:17:00,1,ירי רקטות וטילים,1,44337,החותרים,HaHotrim,هحوتريم,ха-Хотрим
10,החותרים,14.10.2024,09:32:10,2024-10-14T09:32:00,1,ירי רקטות וטילים,1,44182,החותרים,HaHotrim,هحوتريم,ха-Хотрим
11,החותרים,13.10.2024,09:00:13,2024-10-13T09:00:00,1,ירי רקטות וטילים,1,43933,החותרים,HaHotrim,هحوتريم,ха-Хотрим
12,החותרים,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43779,החותרים,HaHotrim,هحوتريم,ха-Хотрим
13,החותרים,09.10.2024,08:28:22,2024-10-09T08:28:00,1,ירי רקטות וטילים,1,43170,החותרים,HaHotrim,هحوتريم,ха-Хотрим
14,החותרים,06.10.2024,23:22:41,2024-10-06T23:23:00,1,ירי רקטות וטילים,1,42426,החותרים,HaHotrim,هحوتريم,ха-Хотрим
15,החותרים,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42322,החותרים,HaHotrim,هحوتريم,ха-Хотрим
16,החותרים,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41948,החותרים,HaHotrim,هحوتريم,ха-Хотрим
17,החותרים,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39231,החותרים,HaHotrim,هحوتريم,ха-Хотрим
18,החותרים,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37316,החותרים,HaHotrim,هحوتريم,ха-Хотрим
