,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,הרצליה - מרכז וגליל ים,24.11.2024,12:53:58,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52158,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
1,הרצליה - מרכז וגליל ים,24.11.2024,07:27:22,2024-11-24T07:27:00,1,ירי רקטות וטילים,1,51993,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
2,הרצליה - מרכז וגליל ים,19.11.2024,08:53:04,2024-11-19T08:53:00,1,ירי רקטות וטילים,1,51362,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
3,הרצליה - מרכז וגליל ים,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51236,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
4,הרצליה - מרכז וגליל ים,13.11.2024,17:44:52,2024-11-13T17:45:00,1,ירי רקטות וטילים,1,50645,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
5,הרצליה - מרכז וגליל ים,12.11.2024,16:35:06,2024-11-12T16:35:00,1,ירי רקטות וטילים,1,50370,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
6,הרצליה - מרכז וגליל ים,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49231,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
7,הרצליה - מרכז וגליל ים,02.11.2024,02:17:43,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48473,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
8,הרצליה - מרכז וגליל ים,23.10.2024,20:33:12,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46829,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
9,הרצליה - מרכז וגליל ים,23.10.2024,08:04:16,2024-10-23T08:04:00,1,ירי רקטות וטילים,1,46551,הרצליה - מרכז וגליל ים,Herzeliya - Center and Glil Yam,هرتسليا - المركز وجليل يام,Герцлия - центр и Глиль Ям
