,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,זרעית,24.11.2024,18:09:46,2024-11-24T18:10:00,1,ירי רקטות וטילים,1,52349,זרעית,Zarit,زرعيت,Зарит
1,זרעית,24.11.2024,15:44:27,2024-11-24T15:44:00,1,ירי רקטות וטילים,1,52304,זרעית,Zarit,زرعيت,Зарит
2,זרעית,24.11.2024,08:44:12,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52045,זרעית,Zarit,زرعيت,Зарит
3,זרעית,24.11.2024,06:22:08,2024-11-24T06:22:00,2,חדירת כלי טיס עוין,6,51943,זרעית,Zarit,زرعيت,Зарит
4,זרעית,22.11.2024,16:35:36,2024-11-22T16:36:00,1,ירי רקטות וטילים,1,51764,זרעית,Zarit,زرعيت,Зарит
5,זרעית,22.11.2024,15:45:24,2024-11-22T15:45:00,1,ירי רקטות וטילים,1,51748,זרעית,Zarit,زرعيت,Зарит
6,זרעית,22.11.2024,13:36:54,2024-11-22T13:37:00,1,ירי רקטות וטילים,1,51718,זרעית,Zarit,زرعيت,Зарит
7,זרעית,18.11.2024,14:55:33,2024-11-18T14:56:00,1,ירי רקטות וטילים,1,51172,זרעית,Zarit,زرعيت,Зарит
8,זרעית,18.11.2024,11:48:15,2024-11-18T11:48:00,1,ירי רקטות וטילים,1,51159,זרעית,Zarit,زرعيت,Зарит
9,זרעית,18.11.2024,08:35:02,2024-11-18T08:35:00,1,ירי רקטות וטילים,1,51120,זרעית,Zarit,زرعيت,Зарит
10,זרעית,12.11.2024,15:06:39,2024-11-12T15:07:00,1,ירי רקטות וטילים,1,50331,זרעית,Zarit,زرعيت,Зарит
11,זרעית,11.11.2024,13:35:21,2024-11-11T13:35:00,1,ירי רקטות וטילים,1,50099,זרעית,Zarit,زرعيت,Зарит
12,זרעית,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50067,זרעית,Zarit,زرعيت,Зарит
13,זרעית,10.11.2024,14:48:14,2024-11-10T14:48:00,1,ירי רקטות וטילים,1,49917,זרעית,Zarit,زرعيت,Зарит
14,זרעית,10.11.2024,12:38:55,2024-11-10T12:39:00,1,ירי רקטות וטילים,1,49910,זרעית,Zarit,زرعيت,Зарит
15,זרעית,08.11.2024,09:31:34,2024-11-08T09:32:00,1,ירי רקטות וטילים,1,49670,זרעית,Zarit,زرعيت,Зарит
16,זרעית,07.11.2024,16:14:42,2024-11-07T16:15:00,1,ירי רקטות וטילים,1,49528,זרעית,Zarit,زرعيت,Зарит
17,זרעית,07.11.2024,13:41:47,2024-11-07T13:42:00,1,ירי רקטות וטילים,1,49453,זרעית,Zarit,زرعيت,Зарит
18,זרעית,06.11.2024,23:11:43,2024-11-06T23:12:00,1,ירי רקטות וטילים,1,49447,זרעית,Zarit,زرعيت,Зарит
19,זרעית,03.11.2024,07:29:30,2024-11-03T07:30:00,1,ירי רקטות וטילים,1,48808,זרעית,Zarit,زرعيت,Зарит
20,זרעית,01.11.2024,13:36:21,2024-11-01T13:36:00,1,ירי רקטות וטילים,1,48426,זרעית,Zarit,زرعيت,Зарит
