,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חגור,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52397,חגור,Hagor,حاجور,Хагор
1,חגור,24.11.2024,12:53:34,2024-11-24T12:54:00,1,ירי רקטות וטילים,1,52141,חגור,Hagor,حاجور,Хагор
2,חגור,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51256,חגור,Hagor,حاجور,Хагор
3,חגור,08.11.2024,15:19:59,2024-11-08T15:20:00,1,ירי רקטות וטילים,1,49741,חגור,Hagor,حاجور,Хагор
4,חגור,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49237,חגור,Hagor,حاجور,Хагор
5,חגור,02.11.2024,02:17:36,2024-11-02T02:18:00,1,ירי רקטות וטילים,1,48460,חגור,Hagor,حاجور,Хагор
6,חגור,23.10.2024,20:33:13,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46817,חגור,Hagor,حاجور,Хагор
7,חגור,14.10.2024,17:33:13,2024-10-14T17:33:00,1,ירי רקטות וטילים,1,44361,חגור,Hagor,حاجور,Хагор
8,חגור,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42916,חגור,Hagor,حاجور,Хагор
9,חגור,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42809,חגור,Hagor,حاجور,Хагор
10,חגור,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39613,חגור,Hagor,حاجور,Хагор
11,חגור,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39421,חגור,Hagor,حاجور,Хагор
12,חגור,05.11.2023,20:01:21,2023-11-05T20:01:00,1,ירי רקטות וטילים,1,24558,חגור,Hagor,حاجور,Хагор
13,חגור,28.10.2023,18:10:46,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23849,חגור,Hagor,حاجور,Хагор
14,חגור,14.10.2023,21:01:04,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22262,חגור,Hagor,حاجور,Хагор
15,חגור,07.10.2023,20:00:37,2023-10-07T20:01:00,1,ירי רקטות וטילים,1,20272,חגור,Hagor,حاجور,Хагор
