,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חולתה,24.11.2024,16:47:10,2024-11-24T16:47:00,1,ירי רקטות וטילים,1,52326,חולתה,Hulata,حولاتا,Хулата
1,חולתה,14.11.2024,06:30:40,2024-11-14T06:31:00,1,ירי רקטות וטילים,1,50714,חולתה,Hulata,حولاتا,Хулата
2,חולתה,11.11.2024,13:43:36,2024-11-11T13:44:00,1,ירי רקטות וטילים,1,50115,חולתה,Hulata,حولاتا,Хулата
3,חולתה,02.11.2024,09:50:23,2024-11-02T09:50:00,1,ירי רקטות וטילים,1,48590,חולתה,Hulata,حولاتا,Хулата
4,חולתה,02.11.2024,06:53:23,2024-11-02T06:53:00,1,ירי רקטות וטילים,1,48488,חולתה,Hulata,حولاتا,Хулата
5,חולתה,30.10.2024,16:18:05,2024-10-30T16:18:00,1,ירי רקטות וטילים,1,48126,חולתה,Hulata,حولاتا,Хулата
6,חולתה,27.10.2024,19:17:42,2024-10-27T19:18:00,1,ירי רקטות וטילים,1,47440,חולתה,Hulata,حولاتا,Хулата
7,חולתה,26.10.2024,14:10:23,2024-10-26T14:10:00,1,ירי רקטות וטילים,1,47258,חולתה,Hulata,حولاتا,Хулата
8,חולתה,26.10.2024,14:09:43,2024-10-26T14:10:00,1,ירי רקטות וטילים,1,47249,חולתה,Hulata,حولاتا,Хулата
9,חולתה,21.10.2024,15:38:09,2024-10-21T15:38:00,1,ירי רקטות וטילים,1,46066,חולתה,Hulata,حولاتا,Хулата
10,חולתה,11.10.2024,16:35:20,2024-10-11T16:35:00,2,חדירת כלי טיס עוין,6,43599,חולתה,Hulata,حولاتا,Хулата
11,חולתה,26.08.2024,18:42:34,2024-08-26T18:43:00,2,חדירת כלי טיס עוין,6,35569,חולתה,Hulata,حولاتا,Хулата
12,חולתה,21.08.2024,11:26:09,2024-08-21T11:26:00,2,חדירת כלי טיס עוין,6,35253,חולתה,Hulata,حولاتا,Хулата
13,חולתה,20.08.2024,08:01:32,2024-08-20T08:02:00,1,ירי רקטות וטילים,1,35152,חולתה,Hulata,حولاتا,Хулата
14,חולתה,14.07.2024,12:14:30,2024-07-14T12:15:00,2,חדירת כלי טיס עוין,6,34035,חולתה,Hulata,حولاتا,Хулата
15,חולתה,14.07.2024,12:08:53,2024-07-14T12:09:00,2,חדירת כלי טיס עוין,6,34020,חולתה,Hulata,حولاتا,Хулата
16,חולתה,23.06.2024,12:12:54,2024-06-23T12:13:00,2,חדירת כלי טיס עוין,6,33305,חולתה,Hulata,حولاتا,Хулата
17,חולתה,13.06.2024,16:36:57,2024-06-13T16:37:00,2,חדירת כלי טיס עוין,6,33057,חולתה,Hulata,حولاتا,Хулата
18,חולתה,13.06.2024,14:24:04,2024-06-13T14:24:00,2,חדירת כלי טיס עוין,6,33005,חולתה,Hulata,حولاتا,Хулата
19,חולתה,13.06.2024,14:11:51,2024-06-13T14:12:00,2,חדירת כלי טיס עוין,6,32940,חולתה,Hulata,حولاتا,Хулата
20,חולתה,24.05.2024,19:16:19,2024-05-24T19:16:00,2,חדירת כלי טיס עוין,6,31631,חולתה,Hulata,حولاتا,Хулата
21,חולתה,25.03.2024,14:15:42,2024-03-25T14:16:00,2,חדירת כלי טיס עוין,6,28870,חולתה,Hulata,حولاتا,Хулата
22,חולתה,18.03.2024,12:43:50,2024-03-18T12:44:00,1,ירי רקטות וטילים,1,28719,חולתה,Hulata,حولاتا,Хулата
23,חולתה,13.03.2024,16:51:49,2024-03-13T16:52:00,1,ירי רקטות וטילים,1,28681,חולתה,Hulata,حولاتا,Хулата
24,חולתה,03.03.2024,17:32:09,2024-03-03T17:32:00,2,חדירת כלי טיס עוין,6,28449,חולתה,Hulata,حولاتا,Хулата
25,חולתה,24.02.2024,10:23:39,2024-02-24T10:24:00,2,חדירת כלי טיס עוין,6,28256,חולתה,Hulata,حولاتا,Хулата
26,חולתה,16.01.2024,07:19:41,2024-01-16T07:20:00,2,חדירת כלי טיס עוין,6,27736,חולתה,Hulata,حولاتا,Хулата
27,חולתה,09.01.2024,10:06:44,2024-01-09T10:07:00,2,חדירת כלי טיס עוין,6,27601,חולתה,Hulata,حولاتا,Хулата
28,חולתה,09.01.2024,10:06:02,2024-01-09T10:06:00,2,חדירת כלי טיס עוין,6,27586,חולתה,Hulata,حولاتا,Хулата
29,חולתה,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27368,חולתה,Hulata,حولاتا,Хулата
30,חולתה,29.12.2023,16:06:54,2023-12-29T16:07:00,2,חדירת כלי טיס עוין,6,27103,חולתה,Hulata,حولاتا,Хулата
31,חולתה,25.12.2023,21:45:15,2023-12-25T21:45:00,2,חדירת כלי טיס עוין,6,26977,חולתה,Hulata,حولاتا,Хулата
32,חולתה,19.12.2023,13:34:07,2023-12-19T13:34:00,2,חדירת כלי טיס עוין,6,26721,חולתה,Hulata,حولاتا,Хулата
