,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חוסן,24.11.2024,08:44:24,2024-11-24T08:44:00,1,ירי רקטות וטילים,1,52046,חוסן,Hossen,حوسن,Хосен
1,חוסן,19.11.2024,09:50:44,2024-11-19T09:51:00,1,ירי רקטות וטילים,1,51415,חוסן,Hossen,حوسن,Хосен
2,חוסן,13.11.2024,12:14:25,2024-11-13T12:14:00,1,ירי רקטות וטילים,1,50481,חוסן,Hossen,حوسن,Хосен
3,חוסן,11.11.2024,12:09:38,2024-11-11T12:10:00,1,ירי רקטות וטילים,1,50094,חוסן,Hossen,حوسن,Хосен
4,חוסן,11.11.2024,12:08:07,2024-11-11T12:08:00,1,ירי רקטות וטילים,1,50059,חוסן,Hossen,حوسن,Хосен
5,חוסן,11.11.2024,12:07:24,2024-11-11T12:07:00,1,ירי רקטות וטילים,1,50015,חוסן,Hossen,حوسن,Хосен
6,חוסן,06.11.2024,11:48:57,2024-11-06T11:49:00,1,ירי רקטות וטילים,1,49328,חוסן,Hossen,حوسن,Хосен
7,חוסן,01.11.2024,13:36:39,2024-11-01T13:37:00,1,ירי רקטות וטילים,1,48427,חוסן,Hossen,حوسن,Хосен
8,חוסן,31.10.2024,12:21:54,2024-10-31T12:22:00,1,ירי רקטות וטילים,1,48282,חוסן,Hossen,حوسن,Хосен
9,חוסן,29.10.2024,10:38:52,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47871,חוסן,Hossen,حوسن,Хосен
10,חוסן,29.10.2024,10:38:48,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47855,חוסן,Hossen,حوسن,Хосен
11,חוסן,29.10.2024,10:38:38,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47797,חוסן,Hossen,حوسن,Хосен
12,חוסן,29.10.2024,10:38:33,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47755,חוסן,Hossen,حوسن,Хосен
13,חוסן,29.10.2024,10:38:31,2024-10-29T10:39:00,1,ירי רקטות וטילים,1,47768,חוסן,Hossen,حوسن,Хосен
14,חוסן,29.10.2024,10:38:23,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47693,חוסן,Hossen,حوسن,Хосен
15,חוסן,29.10.2024,10:38:21,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47697,חוסן,Hossen,حوسن,Хосен
16,חוסן,29.10.2024,10:38:20,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47716,חוסן,Hossen,حوسن,Хосен
17,חוסן,29.10.2024,10:38:01,2024-10-29T10:38:00,1,ירי רקטות וטילים,1,47623,חוסן,Hossen,حوسن,Хосен
18,חוסן,27.10.2024,21:10:24,2024-10-27T21:10:00,2,חדירת כלי טיס עוין,6,47448,חוסן,Hossen,حوسن,Хосен
19,חוסן,21.10.2024,08:23:33,2024-10-21T08:24:00,1,ירי רקטות וטילים,1,45872,חוסן,Hossen,حوسن,Хосен
20,חוסן,21.10.2024,08:22:50,2024-10-21T08:23:00,1,ירי רקטות וטילים,1,45858,חוסן,Hossen,حوسن,Хосен
21,חוסן,17.10.2024,08:12:30,2024-10-17T08:13:00,1,ירי רקטות וטילים,1,45191,חוסן,Hossen,حوسن,Хосен
22,חוסן,17.10.2024,08:11:48,2024-10-17T08:12:00,1,ירי רקטות וטילים,1,45180,חוסן,Hossen,حوسن,Хосен
23,חוסן,17.10.2024,07:29:29,2024-10-17T07:29:00,1,ירי רקטות וטילים,1,45100,חוסן,Hossen,حوسن,Хосен
24,חוסן,17.10.2024,03:28:33,2024-10-17T03:29:00,1,ירי רקטות וטילים,1,44973,חוסן,Hossen,حوسن,Хосен
25,חוסן,13.10.2024,07:05:34,2024-10-13T07:06:00,1,ירי רקטות וטילים,1,43889,חוסן,Hossen,حوسن,Хосен
26,חוסן,07.10.2024,08:52:16,2024-10-07T08:52:00,1,ירי רקטות וטילים,1,42518,חוסן,Hossen,حوسن,Хосен
27,חוסן,07.10.2024,06:53:00,2024-10-07T06:53:00,1,ירי רקטות וטילים,1,42492,חוסן,Hossen,حوسن,Хосен
28,חוסן,06.10.2024,17:27:44,2024-10-06T17:28:00,1,ירי רקטות וטילים,1,42379,חוסן,Hossen,حوسن,Хосен
29,חוסן,01.10.2024,16:11:39,2024-10-01T16:12:00,1,ירי רקטות וטילים,1,39558,חוסן,Hossen,حوسن,Хосен
30,חוסן,28.09.2024,13:42:37,2024-09-28T13:43:00,1,ירי רקטות וטילים,1,38884,חוסן,Hossen,حوسن,Хосен
31,חוסן,28.09.2024,10:42:57,2024-09-28T10:43:00,1,ירי רקטות וטילים,1,38797,חוסן,Hossen,حوسن,Хосен
32,חוסן,28.09.2024,09:36:21,2024-09-28T09:36:00,1,ירי רקטות וטילים,1,38627,חוסן,Hossen,حوسن,Хосен
33,חוסן,28.09.2024,08:01:08,2024-09-28T08:01:00,1,ירי רקטות וטילים,1,38303,חוסן,Hossen,حوسن,Хосен
34,חוסן,23.09.2024,08:26:53,2024-09-23T08:27:00,2,חדירת כלי טיס עוין,6,36957,חוסן,Hossen,حوسن,Хосен
35,חוסן,23.07.2024,14:31:41,2024-07-23T14:32:00,1,ירי רקטות וטילים,1,34350,חוסן,Hossen,حوسن,Хосен
36,חוסן,22.07.2024,22:44:30,2024-07-22T22:45:00,1,ירי רקטות וטילים,1,34317,חוסן,Hossen,حوسن,Хосен
37,חוסן,22.07.2024,22:43:47,2024-07-22T22:44:00,1,ירי רקטות וטילים,1,34312,חוסן,Hossen,حوسن,Хосен
38,חוסן,13.06.2024,20:01:48,2024-06-13T20:02:00,2,חדירת כלי טיס עוין,6,33090,חוסן,Hossen,حوسن,Хосен
39,חוסן,06.06.2024,20:07:09,2024-06-06T20:07:00,2,חדירת כלי טיס עוין,6,32341,חוסן,Hossen,حوسن,Хосен
40,חוסן,31.05.2024,18:40:16,2024-05-31T18:40:00,1,ירי רקטות וטילים,1,31949,חוסן,Hossen,حوسن,Хосен
41,חוסן,30.03.2024,16:33:50,2024-03-30T16:34:00,2,חדירת כלי טיס עוין,6,28969,חוסן,Hossen,حوسن,Хосен
42,חוסן,11.03.2024,16:00:25,2024-03-11T16:00:00,1,ירי רקטות וטילים,1,28637,חוסן,Hossen,حوسن,Хосен
43,חוסן,06.01.2024,08:07:25,2024-01-06T08:07:00,2,חדירת כלי טיס עוין,6,27330,חוסן,Hossen,حوسن,Хосен
44,חוסן,11.12.2023,07:14:38,2023-12-11T07:15:00,1,ירי רקטות וטילים,1,26418,חוסן,Hossen,حوسن,Хосен
45,חוסן,01.12.2023,19:23:58,2023-12-01T19:24:00,2,חדירת כלי טיס עוין,6,25781,חוסן,Hossen,حوسن,Хосен
46,חוסן,11.10.2023,18:21:34,2023-10-11T18:22:00,2,חדירת כלי טיס עוין,6,21576,חוסן,Hossen,حوسن,Хосен
