,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חוף בצת,24.11.2024,13:03:32,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52183,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
1,חוף בצת,24.11.2024,13:00:40,2024-11-24T13:01:00,1,ירי רקטות וטילים,1,52169,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
2,חוף בצת,24.11.2024,10:49:30,2024-11-24T10:50:00,1,ירי רקטות וטילים,1,52078,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
3,חוף בצת,24.11.2024,06:17:45,2024-11-24T06:18:00,2,חדירת כלי טיס עוין,6,51935,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
4,חוף בצת,22.11.2024,22:40:44,2024-11-22T22:41:00,1,ירי רקטות וטילים,1,51858,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
5,חוף בצת,22.11.2024,21:05:00,2024-11-22T21:05:00,2,חדירת כלי טיס עוין,6,51802,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
6,חוף בצת,21.11.2024,06:26:14,2024-11-21T06:26:00,2,חדירת כלי טיס עוין,6,51626,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
7,חוף בצת,21.11.2024,06:25:14,2024-11-21T06:25:00,2,חדירת כלי טיס עוין,6,51624,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
8,חוף בצת,18.11.2024,17:00:47,2024-11-18T17:01:00,2,חדירת כלי טיס עוין,6,51187,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
9,חוף בצת,17.11.2024,18:47:14,2024-11-17T18:47:00,1,ירי רקטות וטילים,1,51110,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
10,חוף בצת,17.11.2024,18:43:33,2024-11-17T18:44:00,1,ירי רקטות וטילים,1,51108,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
11,חוף בצת,17.11.2024,18:42:33,2024-11-17T18:43:00,1,ירי רקטות וטילים,1,51106,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
12,חוף בצת,16.11.2024,08:18:46,2024-11-16T08:19:00,2,חדירת כלי טיס עוין,6,50956,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
13,חוף בצת,16.11.2024,08:17:44,2024-11-16T08:18:00,2,חדירת כלי טיס עוין,6,50950,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
14,חוף בצת,16.11.2024,07:05:52,2024-11-16T07:06:00,2,חדירת כלי טיס עוין,6,50945,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
15,חוף בצת,14.11.2024,12:08:31,2024-11-14T12:09:00,1,ירי רקטות וטילים,1,50737,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
16,חוף בצת,14.11.2024,10:07:22,2024-11-14T10:07:00,2,חדירת כלי טיס עוין,6,50728,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
17,חוף בצת,13.11.2024,10:35:58,2024-11-13T10:36:00,1,ירי רקטות וטילים,1,50466,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
18,חוף בצת,13.11.2024,05:15:10,2024-11-13T05:15:00,2,חדירת כלי טיס עוין,6,50450,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
19,חוף בצת,12.11.2024,14:18:51,2024-11-12T14:19:00,2,חדירת כלי טיס עוין,6,50311,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
20,חוף בצת,12.11.2024,13:52:23,2024-11-12T13:52:00,2,חדירת כלי טיס עוין,6,50300,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
21,חוף בצת,12.11.2024,09:20:41,2024-11-12T09:21:00,2,חדירת כלי טיס עוין,6,50253,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
22,חוף בצת,11.11.2024,15:40:55,2024-11-11T15:41:00,1,ירי רקטות וטילים,1,50125,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
23,חוף בצת,08.11.2024,23:52:27,2024-11-08T23:52:00,2,חדירת כלי טיס עוין,6,49792,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
24,חוף בצת,08.11.2024,15:31:25,2024-11-08T15:31:00,2,חדירת כלי טיס עוין,6,49750,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
25,חוף בצת,08.11.2024,06:44:21,2024-11-08T06:44:00,1,ירי רקטות וטילים,1,49594,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
26,חוף בצת,07.11.2024,13:54:29,2024-11-07T13:54:00,1,ירי רקטות וטילים,1,49486,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
27,חוף בצת,06.11.2024,18:19:03,2024-11-06T18:19:00,2,חדירת כלי טיס עוין,6,49429,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
28,חוף בצת,05.11.2024,17:19:30,2024-11-05T17:20:00,1,ירי רקטות וטילים,1,49115,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
29,חוף בצת,04.11.2024,11:00:50,2024-11-04T11:01:00,1,ירי רקטות וטילים,1,48989,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
30,חוף בצת,02.11.2024,08:08:10,2024-11-02T08:08:00,1,ירי רקטות וטילים,1,48516,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
31,חוף בצת,31.10.2024,04:19:57,2024-10-31T04:20:00,2,חדירת כלי טיס עוין,6,48253,חוף בצת,Betzet Beach,شاطئ بتست,Пляж Хоф Бецет
