,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חורשים,24.11.2024,18:31:06,2024-11-24T18:31:00,1,ירי רקטות וטילים,1,52398,חורשים,Horashim,حورشيم,Хорашим
1,חורשים,18.11.2024,20:46:39,2024-11-18T20:47:00,1,ירי רקטות וטילים,1,51257,חורשים,Horashim,حورشيم,Хорашим
2,חורשים,06.11.2024,11:21:53,2024-11-06T11:22:00,1,ירי רקטות וטילים,1,49238,חורשים,Horashim,حورشيم,Хорашим
3,חורשים,23.10.2024,20:33:22,2024-10-23T20:33:00,1,ירי רקטות וטילים,1,46859,חורשים,Horashim,حورشيم,Хорашим
4,חורשים,14.10.2024,17:33:56,2024-10-14T17:34:00,1,ירי רקטות וטילים,1,44467,חורשים,Horashim,حورشيم,Хорашим
5,חורשים,07.10.2024,23:13:22,2024-10-07T23:13:00,1,ירי רקטות וטילים,1,42917,חורשים,Horashim,حورشيم,Хорашим
6,חורשים,07.10.2024,17:44:06,2024-10-07T17:44:00,1,ירי רקטות וטילים,1,42810,חורשים,Horashim,حورشيم,Хорашим
7,חורשים,01.10.2024,18:37:32,2024-10-01T18:38:00,1,ירי רקטות וטילים,1,39614,חורשים,Horashim,حورشيم,Хорашим
8,חורשים,01.10.2024,11:03:35,2024-10-01T11:04:00,1,ירי רקטות וטילים,1,39422,חורשים,Horashim,حورشيم,Хорашим
9,חורשים,05.11.2023,20:01:52,2023-11-05T20:02:00,1,ירי רקטות וטילים,1,24567,חורשים,Horashim,حورشيم,Хорашим
10,חורשים,28.10.2023,18:10:41,2023-10-28T18:11:00,1,ירי רקטות וטילים,1,23828,חורשים,Horashim,حورشيم,Хорашим
11,חורשים,14.10.2023,21:01:12,2023-10-14T21:01:00,1,ירי רקטות וטילים,1,22268,חורשים,Horashim,حورشيم,Хорашим
