,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,"חיפה - כרמל, הדר ועיר תחתית",24.11.2024,13:03:52,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52189,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
1,"חיפה - כרמל, הדר ועיר תחתית",22.11.2024,16:34:41,2024-11-22T16:35:00,1,ירי רקטות וטילים,1,51758,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
2,"חיפה - כרמל, הדר ועיר תחתית",22.11.2024,02:09:53,2024-11-22T02:10:00,1,ירי רקטות וטילים,1,51713,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
3,"חיפה - כרמל, הדר ועיר תחתית",16.11.2024,19:44:15,2024-11-16T19:44:00,1,ירי רקטות וטילים,1,51042,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
4,"חיפה - כרמל, הדר ועיר תחתית",14.11.2024,18:55:50,2024-11-14T18:56:00,2,חדירת כלי טיס עוין,6,50801,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
5,"חיפה - כרמל, הדר ועיר תחתית",14.11.2024,15:53:15,2024-11-14T15:53:00,1,ירי רקטות וטילים,1,50751,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
6,"חיפה - כרמל, הדר ועיר תחתית",12.11.2024,12:55:24,2024-11-12T12:55:00,1,ירי רקטות וטילים,1,50293,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
7,"חיפה - כרמל, הדר ועיר תחתית",11.11.2024,15:43:13,2024-11-11T15:43:00,1,ירי רקטות וטילים,1,50164,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
8,"חיפה - כרמל, הדר ועיר תחתית",08.11.2024,07:44:50,2024-11-08T07:45:00,1,ירי רקטות וטילים,1,49642,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
9,"חיפה - כרמל, הדר ועיר תחתית",07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49496,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
10,"חיפה - כרמל, הדר ועיר תחתית",05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49021,"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Downtown Lower City",حيفا - الكرمل، الهدار والبلد التحتى,"Хайфа - Кармэль, Хадар и Нижний город"
