,data,date,time,alertDate,category,category_desc,matrix_id,rid,NAME_HE,NAME_EN,NAME_AR,NAME_RU
0,חיפה - מערב,24.11.2024,13:03:58,2024-11-24T13:04:00,1,ירי רקטות וטילים,1,52191,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
1,חיפה - מערב,22.11.2024,16:34:41,2024-11-22T16:35:00,1,ירי רקטות וטילים,1,51759,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
2,חיפה - מערב,16.11.2024,19:44:15,2024-11-16T19:44:00,1,ירי רקטות וטילים,1,51043,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
3,חיפה - מערב,12.11.2024,12:55:24,2024-11-12T12:55:00,1,ירי רקטות וטילים,1,50294,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
4,חיפה - מערב,10.11.2024,17:21:49,2024-11-10T17:22:00,2,חדירת כלי טיס עוין,6,49923,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
5,חיפה - מערב,07.11.2024,15:03:53,2024-11-07T15:04:00,1,ירי רקטות וטילים,1,49497,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
6,חיפה - מערב,05.11.2024,06:38:26,2024-11-05T06:38:00,1,ירי רקטות וטילים,1,49022,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
7,חיפה - מערב,03.11.2024,16:55:47,2024-11-03T16:56:00,1,ירי רקטות וטילים,1,48885,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
8,חיפה - מערב,25.10.2024,09:02:06,2024-10-25T09:02:00,1,ירי רקטות וטילים,1,47091,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
9,חיפה - מערב,22.10.2024,18:23:38,2024-10-22T18:24:00,2,חדירת כלי טיס עוין,6,46427,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
10,חיפה - מערב,22.10.2024,04:51:36,2024-10-22T04:52:00,1,ירי רקטות וטילים,1,46224,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
11,חיפה - מערב,20.10.2024,21:09:37,2024-10-20T21:10:00,2,חדירת כלי טיס עוין,6,45836,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
12,חיפה - מערב,20.10.2024,16:02:11,2024-10-20T16:02:00,2,חדירת כלי טיס עוין,6,45770,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
13,חיפה - מערב,20.10.2024,15:56:22,2024-10-20T15:56:00,2,חדירת כלי טיס עוין,6,45767,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
14,חיפה - מערב,20.10.2024,15:40:50,2024-10-20T15:41:00,1,ירי רקטות וטילים,1,45698,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
15,חיפה - מערב,20.10.2024,09:50:17,2024-10-20T09:50:00,1,ירי רקטות וטילים,1,45584,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
16,חיפה - מערב,20.10.2024,09:37:42,2024-10-20T09:38:00,1,ירי רקטות וטילים,1,45554,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
17,חיפה - מערב,19.10.2024,08:02:52,2024-10-19T08:03:00,1,ירי רקטות וטילים,1,45375,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
18,חיפה - מערב,17.10.2024,07:28:17,2024-10-17T07:28:00,1,ירי רקטות וטילים,1,45078,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
19,חיפה - מערב,15.10.2024,07:27:51,2024-10-15T07:28:00,1,ירי רקטות וטילים,1,44688,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
20,חיפה - מערב,14.10.2024,09:31:44,2024-10-14T09:32:00,1,ירי רקטות וטילים,1,44178,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
21,חיפה - מערב,14.10.2024,07:08:40,2024-10-14T07:09:00,1,ירי רקטות וטילים,1,44172,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
22,חיפה - מערב,13.10.2024,23:03:56,2024-10-13T23:04:00,1,ירי רקטות וטילים,1,44167,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
23,חיפה - מערב,13.10.2024,08:59:54,2024-10-13T09:00:00,1,ירי רקטות וטילים,1,43920,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
24,חיפה - מערב,12.10.2024,13:07:41,2024-10-12T13:08:00,1,ירי רקטות וטילים,1,43771,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
25,חיפה - מערב,08.10.2024,12:14:43,2024-10-08T12:15:00,1,ירי רקטות וטילים,1,43054,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
26,חיפה - מערב,06.10.2024,23:22:25,2024-10-06T23:22:00,1,ירי רקטות וטילים,1,42424,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
27,חיפה - מערב,06.10.2024,08:29:57,2024-10-06T08:30:00,1,ירי רקטות וטילים,1,42317,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
28,חיפה - מערב,05.10.2024,13:26:43,2024-10-05T13:27:00,1,ירי רקטות וטילים,1,42150,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
29,חיפה - מערב,04.10.2024,10:52:15,2024-10-04T10:52:00,1,ירי רקטות וטילים,1,41942,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
30,חיפה - מערב,29.09.2024,21:14:48,2024-09-29T21:15:00,1,ירי רקטות וטילים,1,39227,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
31,חיפה - מערב,27.09.2024,08:33:41,2024-09-27T08:34:00,1,ירי רקטות וטילים,1,38104,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
32,חיפה - מערב,23.09.2024,19:42:46,2024-09-23T19:43:00,1,ירי רקטות וטילים,1,37311,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
33,חיפה - מערב,11.06.2024,09:51:49,2024-06-11T09:52:00,1,ירי רקטות וטילים,1,32614,חיפה - מערב,Haifa - West,حيفا غرب,Хайфа - запад
